id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
DO001,Branch Strategy,Trunk-Based Development,"Small-to-mid teams shipping continuously, especially with feature flags to hide incomplete work — the default recommendation for most of this skill's target projects","Large teams with long release-certification cycles (regulated industries) that genuinely need a stabilization branch","Fast integration, minimal merge conflicts, forces small PRs — but requires feature flags or very short-lived branches to hide incomplete work from production","trunk-based|branching|ci-cd",2026-07-03
DO002,Branch Strategy,Git Flow (develop/release/main),"Teams shipping scheduled releases (not continuous deploy), or software with a real 'release candidate' testing phase before general availability","Web apps deploying continuously — the extra branch overhead has no payoff when every merge to main ships within minutes anyway","Clear separation between in-progress and released code, at the cost of merge overhead and integration delay compared to trunk-based","gitflow|branching|release-cycle",2026-07-03
DO003,CI Pipeline,Lint + Typecheck + Test + Build as Required PR Checks,"Every project, without exception — these four gates catch the overwhelming majority of preventable regressions before merge","Never skip — even a solo-developer project benefits from catching type errors and broken builds before they reach main","Every PR is provably lint-clean, type-safe, tested, and buildable before merge — the floor, not the ceiling, of a CI pipeline","ci|pr-checks|quality-gate",2026-07-03
DO004,CI Pipeline,Cache Dependencies Between CI Runs,"Any CI pipeline installing npm/pip/etc. packages — cache the package manager's store keyed on the lockfile hash","A pipeline with so few runs that caching setup cost isn't recouped — rare in practice once a team has more than a couple PRs a week","Cuts CI run time significantly (often the single biggest CI speed win), at the cost of occasionally needing to bust a stale/corrupted cache","ci|caching|performance",2026-07-03
DO005,CI Pipeline,Matrix Builds Across Node/Python/OS Versions,"Libraries or tools that must support multiple runtime versions/platforms and need to verify compatibility on every PR","A single-deployment-target app where you control the exact runtime version in production — testing a matrix of versions you'll never actually run adds CI time for no real signal","Catches version-specific compatibility bugs before users hit them, at a real CI-minutes cost multiplied by the matrix size","ci|matrix-builds|compatibility",2026-07-03
DO006,CI Pipeline,Monorepo — Only Build/Test Affected Packages,"Monorepos of meaningful size (Turborepo/Nx/pnpm workspaces) where running the full test suite on every PR regardless of what changed wastes significant CI time","A small monorepo where the full suite already runs in under a minute or two — the affected-package detection setup isn't worth it yet","Dramatically faster CI as the monorepo grows, at the cost of needing correct dependency-graph tooling (Turborepo/Nx) to determine 'affected' correctly","monorepo|turborepo|nx|ci-performance",2026-07-03
DO007,Deployment Strategy,Continuous Deployment (every merge to main auto-deploys),"Small-to-mid teams with strong CI gates (DO003) and feature flags for anything not ready for users — the default for most SaaS/agency-site projects on this skill's default stack","Regulated industries requiring a formal, auditable release-approval step before production changes","Fastest feedback loop from merge to production, but requires trusting the CI gate completely — there's no human 'are you sure' step by design","continuous-deployment|ci-cd|default",2026-07-03
DO008,Deployment Strategy,Manual Approval Gate Before Production Deploy,"Regulated environments, high-stakes production systems, or teams not yet confident enough in their CI test coverage to fully trust continuous deployment","Teams that have this gate purely as a rubber-stamp with no real review happening — that's continuous deployment with extra latency and no actual safety benefit","Adds a deliberate human checkpoint before production changes, at the cost of deploy latency and a real person needing to be available to approve","manual-approval|deployment-gate|compliance",2026-07-03
DO009,Deployment Strategy,Preview Deployments per Pull Request,"Any team where reviewing a PR benefits from seeing it actually running (frontend changes especially) rather than just reading a diff — Vercel/Netlify/Cloudflare Pages all support this natively","A backend-only change with no visual/behavioral surface a reviewer would benefit from clicking through","Reviewers test the real thing instead of imagining it from a diff, catching visual/UX issues before merge — essentially free on platforms that support it natively (part of the reason Vercel/Netlify/Cloudflare are the default recommendation)","preview-deployments|pr-review|vercel|netlify",2026-07-03
DO010,Deployment Strategy,Blue-Green Deployment,"Traditional server/container deployments (not serverless/edge) where you want zero-downtime cutover and instant rollback by flipping traffic back to the old environment","Serverless/edge platforms (Vercel, Cloudflare Workers) — they handle this pattern for you automatically; don't hand-roll it there","Instant rollback (just flip traffic back) and zero-downtime cutover, at the cost of running two full production environments simultaneously during the switch","blue-green|zero-downtime|containers",2026-07-03
DO011,Deployment Strategy,Canary Deployment (gradual traffic shift),"High-traffic production systems where you want to catch a bad deploy's impact on a small percentage of traffic before it reaches everyone","Low-traffic apps where a canary population is too small to produce a statistically meaningful signal before you'd have just rolled back anyway","Limits blast radius of a bad deploy to a small traffic percentage, at the cost of needing real-time metrics/alerting sensitive enough to detect a problem in a canary slice","canary-deployment|gradual-rollout|risk-mitigation",2026-07-03
DO012,Deployment Strategy,Feature Flags Instead of Long-Lived Branches,"Any trunk-based-development team (DO001) — merge incomplete work behind a flag, deploy continuously, toggle the feature on when ready","A one-line, low-risk change with no real 'incomplete state' to hide — flagging that is unnecessary ceremony","Decouples 'deployed' from 'released to users,' enabling true continuous deployment without exposing half-finished features — but flags left un-cleaned-up become tech debt of their own","feature-flags|trunk-based|continuous-deployment",2026-07-03
DO013,Database in CI/CD,Migrations Run as an Automated Pipeline Step,"Every project with a database — migrations apply automatically as part of the deploy pipeline (see DB064), triggered after a successful build/test but before traffic shifts to the new version","Never skip automating this — manual migration application is exactly the kind of error-prone, unaudited step CI/CD exists to eliminate","Consistent, auditable, and repeatable across environments, but requires the zero-downtime migration discipline from database-schema-design.md so a migration mid-rollout doesn't break in-flight requests","migrations|ci-cd|automation",2026-07-03
DO014,Post-Deploy,Automated Smoke Test After Deploy,"Every production deploy — hit a handful of critical endpoints/pages immediately after deploy and auto-rollback (or alert) if they fail","A deploy target with no meaningful 'is it actually working' check available (rare) — even a single health-check endpoint hit is better than nothing","Catches a deploy that passed CI but fails against real production config/environment (missing env var, DNS issue, etc.) within seconds instead of waiting for a user report","smoke-test|post-deploy|monitoring",2026-07-03
DO015,Post-Deploy,Automatic Rollback on Failed Health Check,"Platforms/pipelines that support it (most managed platforms do) — configure an automatic rollback if the post-deploy health check fails, rather than requiring a human to notice and act","A deploy pipeline with no reliable health-check signal to trigger on — build that first, then add auto-rollback on top of it","Fastest possible recovery from a bad deploy (seconds, not however long until a human notices), but requires trusting the health check's accuracy — a flaky health check causes false-positive rollbacks","auto-rollback|health-check|reliability",2026-07-03
DO016,Versioning,Semantic Versioning + Automated Changelog,"Libraries, packages, or APIs with external consumers who need to understand what changed between versions","Internal-only apps deploying continuously with no external version consumers — a changelog nobody reads for an app with no versioned releases is overhead without payoff","Consumers can assess upgrade risk from the version number alone (major = breaking), and automated changelog generation (from commit messages/PR titles) removes the manual changelog-writing burden","semver|changelog|versioning",2026-07-03
DO017,Dependency Management,Automated Dependency Update PRs (Dependabot/Renovate),"Every project — security patches for dependencies should never wait for someone to remember to check for them manually","Never skip entirely, though tune the frequency/scope (e.g. security-only auto-merge, feature updates batched weekly) to avoid PR-review fatigue","Keeps dependencies current with minimal manual effort, especially for security patches, at the cost of some PR-review overhead that needs its own triage policy (auto-merge patch versions, review major versions)","dependabot|renovate|dependency-updates|security",2026-07-03
DO018,Secrets in CI,"CI Secrets Stored in the Platform's Secret Store, Never in the Repo","Every CI pipeline — API keys, deploy tokens, and database credentials used during CI/CD live in GitHub Actions Secrets / GitLab CI Variables / the platform's equivalent, never committed or hardcoded in a workflow file","Never applicable to skip — a secret committed to a repo (even a private one) should be treated as compromised and rotated immediately","Keeps credentials out of git history entirely; pair with least-privilege scoping (a CI deploy token should only be able to do what the pipeline actually needs)","secrets|ci-secrets|security",2026-07-03
DO019,Monorepo,Independent Deploy per App/Package,"Monorepos hosting multiple independently-deployable apps (a web app + an admin panel + a marketing site) where each should deploy on its own schedule based on what actually changed","A monorepo where everything genuinely deploys together as one unit — added complexity with no benefit there","Each app deploys only when its own code (or shared dependencies it uses) changes, avoiding unnecessary redeploys of unrelated apps, at the cost of needing correct change-detection tooling","monorepo|independent-deploys|turborepo",2026-07-03
DO020,Testing in Pipeline,Run the Full Test Suite Before Any Deploy Step Starts,"Every pipeline — deployment steps are gated strictly behind a fully green test suite, never run in parallel with or before tests complete","Never skip this ordering — deploying before tests finish defeats the entire purpose of having CI tests as a gate","Guarantees nothing broken by the test suite ever reaches production, at the cost of total pipeline duration being test-time-plus-deploy-time rather than running them in parallel","test-gate|pipeline-ordering|quality",2026-07-03
DO021,Infrastructure as Code,"Declare Infrastructure in Version-Controlled Config, Not Manual Dashboard Clicks","Any infrastructure beyond what a fully-managed platform (Vercel/Netlify/Supabase) auto-provisions — Terraform, Pulumi, or the platform's own config-as-code (vercel.json, wrangler.toml)","A fully-managed platform where the platform's own git-integrated config (vercel.json, netlify.toml) already covers 100% of the needed configuration — that config-in-repo already satisfies this principle","Infrastructure changes are reviewable, versioned, and reproducible instead of tribal knowledge trapped in a dashboard someone configured once","iac|terraform|config-as-code",2026-07-03
