id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
UX105,Entrance,"Staggered section reveal (children fade+rise 12-16px, 60-80ms stagger, 400-500ms total, ease-out cubic-bezier(0.16,1,0.3,1))","Landing pages and dashboards where content arriving in reading order guides the eye through hierarchy","Dense app screens users revisit constantly — repeated entrance animation on every visit becomes friction, gate it to first load","Communicates order and polish cheaply; must respect prefers-reduced-motion and never delay interactivity — content is clickable before the animation finishes","stagger|entrance|reveal|landing",2026-07-04
UX106,Feedback,"Button press depth (scale 0.97 on active, 80-120ms, ease-out; distinct from hover which shifts color/elevation only)","Every interactive product — this is the cheapest possible 'the click registered' signal","Nothing — but keep active distinct from hover and focus states (UX046) rather than reusing one transform for all three","Sub-perceptual polish that users feel rather than notice; at 0.97 the scale reads as depth, below ~0.93 it reads as shrinking away from the cursor","button|press|feedback|micro-interaction",2026-07-04
UX107,Loading,"Content-shaped skeleton with single shimmer sweep (1.2-1.6s linear loop, low-contrast gradient)","Any content area with predictable shape (cards, lists, tables) loading in under ~5s","Truly indeterminate long waits (report generation) where a skeleton promises imminent content that isn't coming — use progress reporting instead","Reserves user attention and reduces perceived wait versus spinners (UX047); skeleton layout must actually match the loaded content's shape or the swap jars","skeleton|shimmer|loading|perceived-performance",2026-07-04
UX108,Streaming,"Token-stream cursor (pulsing block or bar at text insertion point, 500-700ms pulse, removed on completion)","AI chat and generation UIs where users need to distinguish 'still writing' from 'finished'","Non-streaming responses — a fake typing cursor on content that arrived all at once is dishonest motion","The streaming-era equivalent of the typing indicator; cursor must terminate cleanly on completion or error, a forever-pulsing cursor reads as a hang","streaming|cursor|ai-chat|generation",2026-07-04
UX109,Transition,"View crossfade+lift (outgoing fades, incoming fades+rises 8px, 200-250ms, both eased; no horizontal slides between unrelated views)","Route/tab changes within an app where spatial continuity doesn't exist anyway","Hierarchical navigation with real spatial metaphor (drill-in lists, wizards) where directional slides genuinely communicate depth","Fast enough to never feel like waiting while removing the hard-cut flash; horizontal slides between unrelated views imply a spatial relationship that doesn't exist","transition|crossfade|routing|spatial",2026-07-04
UX110,Feedback,"Optimistic state change with settle pulse (UI updates instantly on action, subtle 150ms confirmation pulse when server confirms)","High-frequency actions (likes, toggles, checklist items) where waiting for round-trips would make the product feel sluggish","Destructive or financial actions where showing un-confirmed success is a lie — those wait for the server, full stop","Perceived speed of a local app with eventual consistency; requires a designed rollback state for server rejection, which is the part teams skip","optimistic-ui|feedback|latency|settle",2026-07-04
UX111,Hover,"Elevation-shift hover for cards (translateY -2 to -4px + shadow deepen, 150-200ms ease-out; border-color shift as the flat-design variant)","Grids of clickable cards where hover needs to say 'this whole surface is one link'","Touch-first products where hover doesn't exist — the same affordance must come from visible structure instead","Communicates whole-card clickability without underlining anything; keep lift under ~4px or cards feel detached and float over their siblings","hover|card|elevation|affordance",2026-07-04
UX112,Emphasis,"Scroll-triggered counter/progress animation (numbers count up, bars fill, 600-900ms ease-out, triggered once at ~40% viewport entry)","Stats sections and social-proof bands on marketing pages where the movement draws the eye exactly once","Anywhere in-app — animated numbers in dashboards users monitor read as data instability, and re-triggering on every scroll is noise","One-shot emphasis that makes static claims feel alive; must fire once per pageview only and show final values immediately under prefers-reduced-motion","scroll-trigger|counters|marketing|emphasis",2026-07-04
UX113,Error,"Input shake-and-settle (horizontal 4-6px shake, 2-3 oscillations, ~300ms, paired with color + message change)","Inline form validation where the field needs to grab attention at the moment of rejection","As the only error signal — motion alone is invisible to screen readers and missable; the text/color change carries the information, shake only points at it","Borrowed from a physical 'no' headshake so it needs zero learning; more than 6px or 3 oscillations tips from firm into slapstick","error|shake|form-validation|feedback",2026-07-04
UX114,System,"Motion token scale (2-3 duration tokens: fast ~120ms / base ~200ms / slow ~400ms, 1-2 easing tokens, defined once as CSS variables)","Any product with more than a handful of animated elements — the motion equivalent of a spacing scale (UX042)","Nothing — even expressive motion identities benefit from tokens; one-off durations scattered per-component is the anti-pattern this replaces","Consistent motion rhythm across the product with trivial global tuning; prefers-reduced-motion handling lives in one place instead of per-component","motion-tokens|design-system|duration|easing",2026-07-04
