id,category,check,description,why_it_matters,severity,tags,last_verified
SEC056,General,"No secrets, even test ones, hardcoded in source","Test/dummy API keys, sample passwords, and placeholder tokens are never committed either — use clearly-fake values (e.g. sk_test_XXXXXXXX) or env vars even for local dev fixtures","A committed secret is compromised regardless of whether it's 'just a test key' — attackers can't distinguish intent, and habits around this leak into production code paths","Critical","secrets|hardcoded-credentials|general",2026-07-03
SEC057,General,"Dependencies pinned to specific versions, not open ranges in production builds","Lockfiles (package-lock.json, poetry.lock, etc.) are committed and CI installs from the lockfile, not a fresh resolve — an open version range can pull in an unreviewed, potentially compromised update automatically","An open dependency range means a compromised or broken new release of a transitive dependency can enter your build without any code change on your part","High","dependency-pinning|supply-chain|general",2026-07-03
SEC058,Node.js/TypeScript,"No use of eval(), new Function(), or vm module on untrusted input","Dynamic code execution constructs are avoided entirely for anything touching user input — if truly needed for a specific feature, it's sandboxed and reviewed as a special case","eval() and its equivalents on untrusted input is one of the most direct paths to remote code execution in a Node.js application","Critical","nodejs|eval|rce",2026-07-03
SEC059,Node.js/TypeScript,"Prototype pollution vectors avoided (no unchecked merge of user input into objects)","Deep-merge or object-assign operations on user-supplied JSON don't blindly merge into application objects without checking for `__proto__`/`constructor`/`prototype` keys, or use a library with pollution protection built in","Prototype pollution can let an attacker modify the behavior of unrelated code by polluting Object.prototype, a class of vulnerability fairly specific to and common in Node.js/JS applications","High","nodejs|prototype-pollution",2026-07-03
SEC060,Node.js/TypeScript,"npm packages audited before adding, especially ones with install scripts","New dependencies are checked for reasonable maintenance activity and download count before adoption; packages with postinstall scripts get extra scrutiny since those execute code at install time","A malicious or typosquatted npm package with a postinstall script can execute arbitrary code the moment `npm install` runs, before your application code even starts","Medium","nodejs|npm|supply-chain",2026-07-03
SEC061,Python,"No use of eval(), exec(), or pickle.loads() on untrusted input","Dynamic execution and Python's native pickle deserialization are never applied to data from an untrusted source (user input, an external API response not fully trusted)","pickle.loads() on untrusted data is a well-known, direct remote-code-execution vector in Python — arbitrary object deserialization can execute arbitrary code as a side effect","Critical","python|pickle|rce",2026-07-03
SEC062,Python,"SQL built via the ORM or parameterized queries, never % or f-string formatting into raw SQL","Even 'just this one query' shortcuts avoid string-formatting user input directly into a raw SQL string — the ORM's query builder or a parameterized cursor.execute() call is used instead","This is the Python-specific restatement of SEC009 — the temptation to hand-write 'just one query' with f-string formatting is a common way this rule gets violated despite the team otherwise using an ORM correctly elsewhere","Critical","python|sql-injection|orm",2026-07-03
SEC063,Python,"YAML loaded with yaml.safe_load(), never yaml.load() with the default Loader","Any YAML parsing of external/untrusted input uses safe_load specifically — the default Loader in PyYAML can construct arbitrary Python objects and execute code","yaml.load() without SafeLoader has the same class of vulnerability as pickle — it can be made to instantiate arbitrary objects, including ones with dangerous side effects, from crafted YAML content","High","python|yaml|deserialization",2026-07-03
SEC064,Framework — Next.js,"Server-only code never imported into a file that ships to the client bundle","Database clients, service-role credentials, and server-only logic live in files that are never imported (even transitively) by client component code — use the framework's server-only import boundaries where available","A server-only module accidentally bundled client-side can leak its secrets or logic directly into the browser-visible JavaScript, even without a URL exposing an API route","Critical","nextjs|server-client-boundary",2026-07-03
SEC065,Framework — Next.js,"Middleware auth checks don't rely solely on client-readable cookies for authorization decisions","Next.js Middleware making auth/authorization decisions verifies a signed/httpOnly session token, not a plain client-readable cookie value that could be forged","A non-httpOnly, unsigned cookie can be trivially set/modified by client-side JavaScript or a browser extension — middleware trusting it for authorization is a bypassable check","High","nextjs|middleware|cookie-security",2026-07-03
SEC066,Framework — Express/Nest.js,"Security-relevant middleware (helmet, rate limiting, CORS) applied globally, not per-route opt-in","Baseline security middleware is registered once at the app level so new routes get it automatically, rather than requiring each route to remember to opt in","A per-route opt-in model guarantees that eventually a new route gets added without the security middleware, since it depends on every future developer remembering an extra step","High","express|nestjs|middleware|helmet",2026-07-03
SEC067,Framework — Django,"DEBUG=False and ALLOWED_HOSTS explicitly set in production settings","Django's DEBUG flag is confirmed False in production (verified, not just assumed from environment), and ALLOWED_HOSTS lists only the actual production domains","Django's DEBUG=True mode leaks extremely detailed error pages including settings values and stack traces — a classic, high-impact Django-specific misconfiguration","Critical","django|debug-mode|misconfiguration",2026-07-03
SEC068,Framework — Django,"CSRF protection left enabled, not globally disabled for convenience","Django's CSRF middleware remains active for all state-changing views; any @csrf_exempt usage is scoped to a specific, reviewed reason (e.g. a webhook endpoint verified by signature instead)","CSRF protection is on by default in Django specifically because cookie-based session auth is vulnerable to cross-site request forgery without it — disabling it broadly removes a load-bearing default","High","django|csrf|session-security",2026-07-03
SEC069,Database,"Least-privilege database credentials per service/purpose","The application's database user has only the permissions it actually needs (no unnecessary DROP/ALTER/superuser rights) — a reporting/read-replica connection uses a read-only credential","A compromised application with an overprivileged database credential can do far more damage (schema changes, data destruction) than one scoped to only what it needs","High","database|least-privilege|credentials",2026-07-03
SEC070,Database,"Row-Level Security or equivalent enforced for multi-tenant data, not solely application-layer filtering","On Postgres/Supabase, tenant isolation is enforced via RLS policies (DB015) as the actual boundary, with application-layer filtering as defense-in-depth on top, not the sole mechanism","An application-layer-only filter (a forgotten WHERE tenant_id = ? in one endpoint) is a single missed line away from a cross-tenant data leak — a database-enforced boundary doesn't have that single point of failure","Critical","multi-tenancy|rls|database-security",2026-07-03
SEC071,Client-Side,"No sensitive business logic or validation-only-on-client","Anything the client validates (form rules, pricing logic, permission checks) is re-validated/re-enforced server-side — client-side logic is a UX convenience, never a security boundary","Client-side code and network requests are fully visible and modifiable by the user running them — any security-relevant logic implemented only there provides zero actual protection","Critical","client-side-security|defense-in-depth",2026-07-03
SEC072,Client-Side,"Sensitive data not stored in localStorage/sessionStorage if avoidable","Session tokens and sensitive data prefer httpOnly cookies over localStorage where the auth pattern allows it, since localStorage is readable by any JavaScript running on the page (including an XSS payload)","localStorage has no built-in protection against JavaScript access, meaning a successful XSS attack can trivially exfiltrate anything stored there — httpOnly cookies are inaccessible to JS even if XSS occurs","Medium","xss|token-storage|client-side",2026-07-03
SEC073,Dependency Hygiene,"Unused dependencies removed periodically, not left accumulating","A codebase's dependency list is periodically reviewed and pruned of packages no longer actually used","Every dependency, used or not, is part of the supply-chain attack surface and the vulnerability-scanning noise floor — unused ones provide zero value for their ongoing risk","Low","dependency-hygiene|attack-surface",2026-07-03
SEC074,Code Review,"Security-sensitive changes (auth, payments, access control) get a second reviewer specifically for security implications","PRs touching authentication, authorization, payment processing, or data access get review attention specifically framed around 'what could go wrong here,' not just functional correctness","Functional code review catches 'does this work' — a security-specific review lens catches 'could this be misused,' which is a different question that's easy to skip without deliberately asking it","Medium","code-review|security-review",2026-07-03
SEC075,Environment Parity,"Production-equivalent security controls also apply in staging","Staging/preview environments handling anything resembling real data have the same access controls, encryption, and auth requirements as production — not a deliberately looser 'it's just staging' posture","Staging environments are a common, lower-scrutiny target that often has a copy of production-like data with weaker protections — attackers specifically look for this gap","Medium","staging|environment-parity|security",2026-07-03
