id,category,check,description,why_it_matters,severity,tags,last_verified
ADS065,Creative Diversity,Multiple distinct creative concepts running per ad set not just color/copy variants,"At least 3-5 genuinely different creative concepts (not palette swaps of one idea) live per audience/ad set, especially on platforms using entity-level retrieval (Meta Andromeda, TikTok)",Algorithmic delivery systems increasingly retrieve by creative entity not just targeting; low concept diversity caps how much of the addressable audience the system can actually reach,High,creative-diversity|entity-retrieval|concepts,2026-07-03
ADS066,Creative Fatigue,Frequency and CTR-decay monitored as fatigue signals,Frequency trending upward alongside declining CTR/CVR on a specific creative tracked as an explicit fatigue signal not discovered only when ROAS drops,Waiting for ROAS to visibly drop before refreshing creative means weeks of degraded spend efficiency already happened,High,fatigue|frequency|monitoring,2026-07-03
ADS067,Creative Fatigue,Creative refresh cadence defined per spend tier,A concrete refresh cadence (e.g. new creative every 2-4 weeks for top-spend campaigns) rather than refreshing reactively whenever someone notices,High-spend campaigns burn through audience saturation fastest and need the most proactive refresh discipline,Medium,refresh-cadence|fatigue|process,2026-07-03
ADS068,Format Coverage,Vertical/native-aspect video present not only static or horizontal assets,Vertical 9:16 or platform-native aspect creative present for any platform with a Stories/Reels/For-You-feed placement,Static or horizontal-only creative in a vertical feed placement reads as low-effort and gets algorithmically and visually deprioritized,High,vertical-video|native-format|placements,2026-07-03
ADS069,Format Coverage,UGC-style or platform-native creative included in the mix,At least some creative styled to look native to the platform (not obviously produced/branded) alongside polished brand creative,Platform-native-looking creative consistently outperforms overtly polished ads on TikTok/Reels/Stories placements,Medium,ugc|native-style|creative-mix,2026-07-03
ADS070,Budget Allocation,70/20/10 budget split applied across proven scaling and test spend,"Roughly 70% of budget on proven winning campaigns, 20% on campaigns showing early promise, 10% on new tests — not concentrated entirely on either extreme",All-in on proven winners misses the next winner; all-in on tests wastes budget that should be scaling what already works,Medium,budget-allocation|70-20-10|scaling,2026-07-03
ADS071,Kill Criteria,3x Kill Rule applied to underperforming campaigns,A campaign spending 3x the target CPA/CAC with zero conversions is paused or restructured rather than left running on hope,Undefined kill criteria is how budget quietly bleeds into campaigns that were never going to convert,High,kill-rule|cpa|budget-discipline,2026-07-03
ADS072,Scaling Discipline,Budget increases capped at roughly 20% per adjustment,Budget scaled up in increments of about 20% rather than large jumps that reset the learning phase or destabilize delivery,Large budget jumps push campaigns back into an unstable learning phase and can spike CPA temporarily,Medium,scaling|learning-phase|budget-increments,2026-07-03
ADS073,Compliance,Platform ad policy review completed before launch for regulated categories,"Campaigns in regulated categories (health, finance, housing, employment) reviewed against platform-specific policy restrictions before launch not discovered via rejection",Regulated-category violations can trigger account-level restrictions beyond just the individual ad being rejected,High,compliance|regulated-categories|policy,2026-07-03
ADS074,Compliance,Required disclosures and disclaimers present per platform and region,Political financial or health-adjacent ads carry the specific disclosure format each platform and region requires,Missing required disclosures is both a policy violation and in some categories a legal compliance gap independent of the platform,Medium,disclosures|disclaimers|compliance,2026-07-03
