id,category,check,description,why_it_matters,severity,tags,last_verified
SEC108,Preparedness,"A written incident response plan exists before an incident happens","A short document (even one page) covers who to contact, what the first steps are, and where to coordinate (a dedicated channel/call) — written and agreed on before it's needed under pressure","Deciding a response process for the first time during an actual incident wastes critical early minutes/hours and increases the chance of a mistake made under pressure","Critical","ir-plan|preparedness",2026-07-03
SEC109,Preparedness,"Roles are assigned in advance (who leads, who communicates, who does technical remediation)","At least an incident commander role and a communications role are identified in advance, even on a small team, so there's no ambiguity about who's driving during an actual incident","Without pre-assigned roles, an incident tends to either have no clear leader (slow, uncoordinated response) or multiple people independently trying to lead (conflicting actions)","High","ir-roles|preparedness",2026-07-03
SEC110,Preparedness,"Rotation capability for every credential type is verified before it's needed","The team has actually confirmed (not just assumed) that database passwords, API keys, and signing secrets can be rotated quickly, ideally rehearsed at least once","Discovering during a real incident that a credential rotation process doesn't actually work, or takes hours you don't have, turns a containable incident into a prolonged one","High","credential-rotation|preparedness",2026-07-03
SEC111,Detection,"Alerting exists for the security-relevant signals identified in the OWASP/monitoring checklists","Anomalous auth failures, unexpected access patterns, and infrastructure-level anomalies (SEC028, SEC103) actually page or notify someone, not just get written to a log nobody watches","An incident that isn't detected can't be responded to — detection is the precondition for every other step in this checklist","Critical","detection|alerting",2026-07-03
SEC112,Detection,"A way exists for users/researchers to report a suspected security issue","A visible, low-friction path exists (a security@ email, a security.txt file, a bug bounty/disclosure page) for someone who finds a vulnerability to report it responsibly","Without a reporting path, a well-intentioned researcher who finds a real vulnerability may either give up trying to report it or, in the worst case, disclose it publicly first because there was no better option","Medium","responsible-disclosure|security-txt",2026-07-03
SEC113,Triage,"Initial severity assessed quickly using a consistent framework (e.g. the severity scale already used in this module's checklists)","When a suspected incident is reported or detected, an initial severity/impact assessment happens within a defined short window (e.g. under an hour for anything potentially critical), using the same Critical/High/Medium/Low framing as the rest of this module","A consistent severity framework (already established across owasp-checklist.csv, api-security-checks.csv, etc.) means the team doesn't have to invent a new scale under pressure, and severity assessments are comparable across incidents","High","triage|severity-assessment",2026-07-03
SEC114,Containment,"Containment actions are documented as they happen, not reconstructed afterward","Whoever is doing technical remediation notes what they changed and when (credential rotated, service isolated, traffic blocked) in real time, in the incident channel, not from memory after the fact","A reconstructed-afterward timeline is unreliable and makes both the post-mortem and any required breach-disclosure reporting harder and less accurate","High","containment|documentation",2026-07-03
SEC115,Containment,"Compromised credentials are rotated immediately upon confirmed or strongly suspected compromise","This is the incident-response application of DO051 — rotation happens the moment compromise is confirmed or strongly suspected, not after investigation is 'complete'","Delaying rotation to finish investigating first extends the window an attacker has valid credentials — rotate first, investigate the how/why in parallel or after","Critical","credential-rotation|containment",2026-07-03
SEC116,Containment,"Affected systems isolated without destroying forensic evidence","Containment (blocking an IP, disabling an account, isolating a service) is done in a way that stops ongoing harm without wiping logs/state that would help understand what happened (e.g. don't immediately redeploy over a compromised instance before capturing its state)","Acting too fast in a way that destroys evidence can prevent understanding the actual scope of a breach, which matters both for fixing the root cause and for any legal/disclosure obligations","High","containment|forensics",2026-07-03
SEC117,Communication,"Internal stakeholders informed proportionally to severity, without unnecessary delay","Leadership/relevant stakeholders are informed as soon as severity is reasonably understood, calibrated to actual severity — not withheld out of a desire to have 'the full picture' first, and not blasted org-wide for a low-severity, contained issue","Delayed internal communication reduces the organization's ability to make informed decisions (legal, PR, resourcing) while the incident is still active, when that input often matters most","High","internal-communication|incident-response",2026-07-03
SEC118,Communication,"User/customer notification follows applicable legal requirements and honest, clear communication","If user data was affected, notification follows whatever legal/regulatory disclosure timeline applies (varies by jurisdiction and data type) and is written in clear, honest language about what happened and what users should do","Delayed or unclear breach notification is both a potential legal liability and a significant trust/reputation cost beyond the technical impact of the incident itself","Critical","breach-notification|legal-compliance",2026-07-03
SEC119,Communication,"A single source of truth for incident status is maintained during the response","One document/channel is the authoritative, continuously updated status during an active incident, rather than status being scattered across DMs/threads that go stale","Fragmented status information leads to duplicated effort, contradictory actions, and confusion about what's already been done versus what's still needed","Medium","incident-coordination|communication",2026-07-03
SEC120,Eradication,"Root cause is identified and actually fixed, not just the symptom","Before declaring the incident closed, the underlying vulnerability/misconfiguration that enabled it is identified and remediated — not just the immediate symptom (e.g. rotating a leaked key without also finding and fixing how it leaked)","Fixing only the symptom (rotate the key) without the root cause (why was it exposed) means the same class of incident is very likely to recur","Critical","root-cause-analysis|eradication",2026-07-03
SEC121,Recovery,"Systems are verified clean before being fully restored to normal operation","Before lifting containment measures fully, there's explicit verification (not just assumption) that the affected system is actually clean and the vulnerability is actually closed","Restoring to normal operation before verification risks the same attacker (or the same vulnerability) causing a repeat incident almost immediately","High","recovery|verification",2026-07-03
SEC122,Post-Mortem,"A blameless post-mortem is conducted after every incident above a defined severity threshold","A structured post-incident review happens (what happened, timeline, what worked, what didn't, concrete action items with owners), explicitly framed as blameless — focused on systemic fixes, not individual fault","A blame-focused post-mortem culture discourages honest reporting of near-misses and mistakes in the future, which is precisely the information needed to actually improve — blameless framing is what makes the post-mortem produce real learning instead of defensiveness","High","post-mortem|blameless|continuous-improvement",2026-07-03
SEC123,Post-Mortem,"Action items from the post-mortem are tracked to actual completion, not just documented","Concrete follow-up items (fix X, add monitoring for Y, update the IR plan for Z) are tracked in the team's normal work-tracking system with an owner and, ideally, revisited to confirm they were actually done","A post-mortem whose action items are never actually completed provides the appearance of learning without the substance — this is what turns 'lessons learned' into an actual reduction in future risk","High","action-items|follow-through|post-mortem",2026-07-03
SEC124,Continuous Improvement,"The incident response plan itself is updated based on what the post-mortem revealed","If the post-mortem surfaces a gap in the IR plan itself (a role that was unclear, a rotation step that didn't work as expected), the plan (SEC108) is updated to reflect that","An IR plan that's never revised based on real incident experience stays theoretical — the whole value of running a post-mortem is feeding back into making the next response better","Medium","ir-plan-maintenance|continuous-improvement",2026-07-03
