id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
AN013,Taxonomy,object_action event naming,"A single enforced convention: `signup_completed`, `checkout_started` — lowercase snake_case, past-tense verb, no per-page variants","Free-form names added ad hoc by whoever ships the feature","Analyses stay queryable for years; requires one owner who reviews every new event name",naming|taxonomy|convention,2026-07-03
AN014,Taxonomy,Track plan as code,"Events defined in a typed module (one function per event, typed properties) reviewed via PR — `scripts/analytics/generate.py` scaffolds this","Letting every dev call `track('anything', {...})` with raw strings","Typos become compile errors and the track plan is diffable; adds one small layer of indirection",track-plan|typed|code-review,2026-07-03
AN015,Identity,Explicit identify at auth boundary,"Calling identify(userId) exactly at login/signup and reset() at logout; anonymous IDs merge into the user then","Identifying with email as the ID, or identifying on every page load","Funnels survive the anonymous→known transition; getting merge behavior right per platform takes reading their docs once",identity|identify|user-id,2026-07-03
AN016,Event Design,Track state changes not clicks,"Business-meaningful transitions: `subscription_upgraded`, not `upgrade_button_clicked` — clicks are implementation details","UI-coupled events that break with every redesign","Events survive redesigns and map to revenue questions; needs a moment of modeling thought per feature",events|state-changes|durability,2026-07-03
AN017,Event Design,Property standards on every event,"A shared property set (plan, role, source) attached via super-properties/context, not re-derived per event","Stuffing PII into properties because it's convenient (see AN021)","Segmentation works uniformly across all events; standards doc must exist and be enforced in review",properties|super-properties|segmentation,2026-07-03
AN018,Funnels,Funnel from activation question backwards,"Define the product's activation moment first, then instrument the 3-6 steps leading to it","Instrumenting 40 steps and hoping insight emerges","Every funnel step maps to a decision someone will actually make; requires agreeing what activation means",funnels|activation|instrumentation,2026-07-03
AN019,Retention,Cohort retention on the core action,"Weekly cohorts retained on the action that defines product value (not mere logins)","Calendar-week vanity retention that mixes cohorts","The one chart that says whether the product works; painful to admit when it's flat",retention|cohorts|core-action,2026-07-03
AN020,Metrics,One north-star + 3-5 input metrics,"A single metric the team optimizes (e.g. weekly active teams) with input metrics each squad can move","Dashboard sprawl where 40 charts each have zero owners","Focus; picking the wrong north star misdirects quarters — revisit it explicitly",north-star|metrics|focus,2026-07-03
AN021,Server Events,Server-side events for revenue truth,"Emitting `order_completed`, `subscription_renewed` from the backend (webhook/DB layer), not the browser","Trusting client-side purchase events that ad blockers and closed tabs eat","Revenue events become exact; client events remain for UX behavior — two streams, clearly named",server-side|revenue|accuracy,2026-07-03
AN022,QA,Event QA before every release,"A staging check that new events fire once, with expected properties, under consent-granted and denied states","Shipping instrumentation untested then discovering three weeks of silent nulls","Data you can trust; one more checklist item per release (fold into the Testing module's flow)",qa|validation|release-gate,2026-07-03
