id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
IN001,Framework Integration,next-intl,"Next.js App Router projects wanting official-feel i18n: type-safe messages, server component support, built-in per-locale routing",Non-Next.js stacks,Mature and well-documented for Next.js; message files can grow large without a TMS,i18n|nextjs|next-intl,2026-07-03
IN002,Framework Integration,Paraglide JS,"Compile-time-checked, tree-shaken translations (Inlang ecosystem) with zero runtime overhead across frameworks",Teams already committed to a framework-native i18n convention,Smallest bundle impact of the mainstream options; younger ecosystem than next-intl or react-i18next,i18n|paraglide|inlang|compile-time,2026-07-03
IN003,Framework Integration,react-i18next / i18next,"Framework-agnostic React (CRA, Vite, React Native) or non-Next stacks with the widest plugin ecosystem",Next.js App Router where next-intl's server-component support fits better,Huge ecosystem and plugin support; more configuration surface than newer compile-time tools,i18n|react-i18next|react,2026-07-03
IN004,Framework Integration,FormatJS / react-intl,Teams standardizing on the ICU MessageFormat spec directly across React and vanilla JS with strict pluralization/gender rules,Wanting the simplest possible setup since ICU syntax has a learning curve,Spec-correct ICU handling for plurals and gender; more verbose message authoring than simpler key-value tools,i18n|formatjs|icu|react-intl,2026-07-03
IN005,Content Model,Static UI strings in message files,"Interface chrome such as buttons, labels, nav, and error messages kept as JSON/YAML per locale and reviewed via PR",Content that changes independently of a deploy,Type-safe and deploy-atomic; every UI string change requires a code deploy,i18n|static-strings|message-files,2026-07-03
IN006,Content Model,Database-stored localized content,"CMS-driven or user-facing dynamic content that non-developers edit, with locale as a column or table rather than a message file",Interface chrome where a message file is simpler,Content editors work independently of deploys; needs a defined fallback-locale query pattern and its own schema discipline,i18n|cms|database|dynamic-content,2026-07-03
IN007,Translation Workflow,TMS (Crowdin / Lokalise / Phrase),Teams with three or more locales and non-developer translators who need translation memory and context screenshots,A single extra locale maintained directly by the dev team,Removes translators from the git workflow and reduces mistranslation; adds a vendor and a sync step,i18n|tms|crowdin|lokalise|workflow,2026-07-03
IN008,Translation Workflow,Machine translation plus human review,Fast initial coverage for a new locale before a native-speaker reviewer approves the draft,Legal medical or brand-critical copy shipped without review,Cuts initial translation time dramatically; unreviewed MT output damages trust faster than missing translations do,i18n|machine-translation|review,2026-07-03
IN009,Translation Workflow,In-repo human translation only,Small locale counts where team members already speak the target languages or copy is highly technical or brand-sensitive,Scaling past a handful of locales,Full control and zero vendor cost; throughput is capped by team bandwidth not tooling,i18n|manual|small-scale,2026-07-03
IN010,Formatting,Intl API (native) for dates/numbers/currency,"All locale-aware formatting including Intl.DateTimeFormat, Intl.NumberFormat, Intl.ListFormat, and Intl.PluralRules with zero dependencies",Needing a format the Intl API genuinely does not cover which is rare,Ships in every modern runtime with no bundle cost; more verbose than a wrapper library,i18n|intl-api|formatting|native,2026-07-03
