id,category,check,description,why_it_matters,severity,tags,last_verified
SEC125,Dependency Auditing,Automated dependency vulnerability scanning enabled,Dependabot/Snyk/npm audit or equivalent runs on every PR and on a schedule not just manually when someone remembers,Known-vulnerable dependencies are the most common real-world breach vector and scanning is nearly free to automate,Critical,dependencies|scanning|automation,2026-07-03
SEC126,Dependency Auditing,Lockfiles committed and enforced in CI,package-lock.json/pnpm-lock.yaml/poetry.lock committed and CI fails on lockfile drift (npm ci not npm install),Without a locked and enforced lockfile a compromised transitive dependency can be silently pulled in on any install,High,lockfile|reproducibility|ci,2026-07-03
SEC127,Dependency Auditing,New dependencies reviewed before merge,"A lightweight review step (maintainer count, download trend, last publish date, install scripts) before adding a new package not just before major ones",Most supply-chain compromises land through a small unreviewed package not a headline framework,High,dependency-review|process,2026-07-03
SEC128,Package Integrity,Package installs pinned to exact versions for security-sensitive dependencies,Auth crypto and payment-adjacent packages pinned to exact versions rather than caret ranges so an update requires a deliberate action,Caret ranges auto-accept patch updates which is how several real npm supply-chain attacks propagated silently,High,pinning|versioning|crypto,2026-07-03
SEC129,Package Integrity,Provenance or signature verification used where available,npm provenance attestations Sigstore or equivalent checked for critical dependencies where the ecosystem supports it,Verifies a package actually came from its claimed source and build rather than a hijacked publish,Medium,provenance|signing|sigstore,2026-07-03
SEC130,CI/CD Pipeline Security,CI secrets scoped to the minimum required per job,CI/CD pipeline credentials scoped per job/environment rather than one broad token available to every workflow step,A compromised or malicious PR-triggered workflow step should not have access to unrelated production secrets,Critical,ci-cd|secrets|least-privilege,2026-07-03
SEC131,CI/CD Pipeline Security,Third-party GitHub Actions pinned to a commit SHA not a mutable tag,Actions from the marketplace pinned to a full commit SHA (or first-party actions only) rather than a floating tag like @v3,A tag can be silently repointed to malicious code by the action's own maintainer account being compromised,High,github-actions|pinning|ci-cd,2026-07-03
SEC132,CI/CD Pipeline Security,Build artifacts verified before deployment,Deployed artifacts traced back to a specific reviewed commit and CI run rather than deployed from an untracked local build,Prevents a compromised local machine or unreviewed change from reaching production outside the normal pipeline,High,build-integrity|deployment|traceability,2026-07-03
SEC133,Post-Compromise Readiness,Software Bill of Materials generated for production builds,An SBOM (CycloneDX/SPDX) generated per release so the full dependency tree is known without re-deriving it during an incident,When a dependency is disclosed vulnerable an SBOM answers am I affected in minutes instead of hours,Medium,sbom|inventory|incident-response,2026-07-03
SEC134,Post-Compromise Readiness,Dependency update and patch process has a defined SLA,A documented target (e.g. Critical CVEs patched within 72 hours) for acting on a disclosed dependency vulnerability not an ad hoc response,Scanning without an SLA to act on findings just produces an ignored backlog of known vulnerabilities,Medium,sla|patch-process|vulnerability-management,2026-07-03
