id,category,check,description,why_it_matters,severity,tags,last_verified
ADS035,LinkedIn — Tracking,"LinkedIn Insight Tag installed with conversion actions mapped to real business outcomes","The Insight Tag fires site-wide and conversion actions map to genuine B2B outcomes (demo request, qualified lead, signup), not just page visits","Same principle as `ADS001` applied to LinkedIn — optimization quality is bottlenecked by conversion signal quality regardless of platform","Critical","linkedin|insight-tag|conversion-tracking",2026-07-03
ADS036,LinkedIn — Campaign Structure,"Campaign Groups used to organize by business objective (post-Oct-2025 terminology: Campaign Groups → Campaigns → Ad Sets)","Account structure uses the current three-tier hierarchy deliberately, organizing Campaign Groups around real business objectives rather than treating the tiers as arbitrary folders","Getting the hierarchy's organizing logic right (mirroring `ADS004`'s Google Ads guidance) makes budget allocation and performance analysis tractable as the account grows","Medium","linkedin|campaign-structure|account-organization",2026-07-03
ADS037,LinkedIn — Lead Gen,"Lead Gen Forms pre-filled fields verified accurate, form length matched to lead quality needs","Native Lead Gen Forms use LinkedIn's pre-fill data accurately and ask for only the fields genuinely needed to qualify a lead, balancing conversion rate against lead quality","Overly long forms hurt conversion rate; overly short forms produce high-volume but low-quality/unqualified leads — this tradeoff should be a deliberate choice tied to sales capacity, not a default","Medium","lead-gen-forms|linkedin|lead-quality",2026-07-03
ADS038,LinkedIn — Audience,"ABM (Account-Based Marketing) matched audiences used for high-value target account lists where applicable","For B2B accounts with a defined target account list, LinkedIn's Matched Audiences (company list upload) targets those specific accounts directly rather than relying solely on broad firmographic/interest targeting","ABM-matched targeting is one of LinkedIn's most distinctive B2B-specific capabilities — underusing it in favor of generic firmographic targeting leaves a real precision advantage on the table for accounts with a defined target list","Medium","abm|matched-audiences|linkedin",2026-07-03
ADS039,LinkedIn — Creative,"Thought Leader Ads used to promote genuine employee/executive content, not treated as a generic ad unit","Thought Leader Ads promote real organic posts from employees/executives with genuine engagement, rather than being used as just another ad format for standard promotional creative","Thought Leader Ads specifically benefit from and are evaluated partly on the authenticity of the underlying organic content — using it for generic promotional creative forfeits the format's distinct advantage","Low","thought-leader-ads|linkedin|authenticity",2026-07-03
ADS040,LinkedIn — Predictive Audiences,"Predictive Audiences (lookalike-style expansion from a seed list) tested for scaling beyond a narrow ABM list","Where the target account list is narrow and limiting reach, LinkedIn's Predictive Audiences feature is tested as an expansion mechanism rather than accepting a hard reach ceiling","Predictive Audiences can meaningfully extend reach from a proven seed list while retaining much of its targeting precision — an underused lever for accounts hitting a reach ceiling on pure ABM targeting","Low","predictive-audiences|linkedin|reach-expansion",2026-07-03
ADS041,TikTok — Tracking,"TikTok Pixel and Events API both implemented with deduplication (mirrors Meta CAPI pattern)","Server-side Events API supplements the browser Pixel with deduplication via a shared event identifier, following the same pattern as `ADS021`'s Meta CAPI guidance","Signal loss from ad blockers and privacy restrictions affects TikTok tracking the same way it affects Meta — server-side tracking is equally necessary here, not a Meta-specific concern","Critical","tiktok|events-api|deduplication",2026-07-03
ADS042,TikTok — Creative,"Creative built platform-native from the start, not repurposed from other platforms","TikTok creative is produced specifically for the platform's native format and pacing (fast cuts, native sound/trends, vertical-first), not a repurposed Meta Reels or YouTube Shorts asset reused as-is","Platform-native content consistently and measurably outperforms visibly repurposed content on TikTok specifically — this is one of the most emphasized, well-evidenced platform-specific creative principles in paid social","Critical","tiktok|platform-native|creative-strategy",2026-07-03
ADS043,TikTok — Creative Diversity,"Multiple distinct creative concepts tested for retrieval diversity (same principle as Meta's Andromeda-era guidance)","Creative variation represents genuinely different concepts/hooks, not minor edits of the same underlying asset, mirroring `ADS024`'s creative-diversity-for-retrieval principle","TikTok's delivery system similarly benefits from and evaluates creative diversity as a retrieval signal — the same underlying principle as Meta's applies here, just on a different platform","High","creative-diversity|tiktok|retrieval",2026-07-03
ADS044,TikTok — Safe Zones,"Text and key UI elements kept within platform-specific safe zones, avoiding native UI overlap","Creative respects TikTok's specific safe-zone guidelines (avoiding areas where native UI elements like captions, usernames, and engagement buttons overlay the video)","Text or key visual elements placed in areas the native UI covers become invisible/unreadable to real viewers — this is a simple, mechanical spec-compliance check that's still commonly missed","Medium","safe-zones|tiktok|spec-compliance",2026-07-03
