id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
DO026,Hosting,Vercel,"Next.js apps (built by the same team, first-class support), or any frontend framework needing zero-config deploys, preview URLs per PR, and edge/serverless functions — the default recommendation for this skill's default stack","Long-running background jobs, WebSocket servers needing persistent connections, or workloads needing more compute/timeout than serverless functions allow","Fastest path from git push to a globally-distributed deploy with almost no config, native Next.js optimizations, but serverless function timeouts/cold-starts apply and costs scale with usage in ways worth monitoring at high traffic","vercel|nextjs|serverless|default",2026-07-03
DO027,Hosting,Netlify,"Static sites and JAMstack apps across many frameworks (not Next.js-specific), teams wanting a mature, framework-agnostic build/deploy platform with strong forms/functions add-ons","Deep Next.js-specific optimizations (ISR nuances, etc.) where Vercel's first-party support has an edge","Very similar developer experience to Vercel (git-integrated, preview deploys, edge functions) with a longer track record on static/JAMstack specifically, and a generous free tier for small projects","netlify|jamstack|static-sites",2026-07-03
DO028,Hosting,Cloudflare Pages / Workers,"Latency-sensitive global apps, or projects wanting to stay within the Cloudflare ecosystem (Workers, D1, KV, R2) for one unified platform and billing surface","Apps needing a traditional Node.js runtime with full npm ecosystem compatibility — Workers run on a V8 isolate, not full Node, and some packages don't work unmodified","Best-in-class global edge latency and a genuinely generous free tier, but the Workers runtime constraint (no filesystem, limited CPU time per request, partial Node API compatibility) requires checking package compatibility before committing","cloudflare|edge|workers|d1",2026-07-03
DO029,Hosting,Railway / Render / Fly.io,"Full backend services needing a persistent process (WebSocket servers, long-running workers, traditional Express/Nest.js/Django apps) without managing raw VMs/Kubernetes yourself","A purely frontend or serverless-function-shaped workload — those fit Vercel/Netlify/Cloudflare more naturally and cheaply","Simpler than raw cloud infrastructure (Docker-based deploys, managed Postgres add-ons, background workers) while still supporting long-running processes that serverless platforms don't, at a higher baseline cost than pure serverless for low-traffic apps","railway|render|flyio|containers",2026-07-03
DO030,Hosting,Self-Managed VPS / Docker + Kubernetes,"Teams with specific compliance/data-residency requirements, very high and predictable traffic where reserved infrastructure is cheaper than pay-per-use serverless, or workloads needing full OS-level control","Small-to-mid projects, or teams without dedicated infrastructure/DevOps expertise to maintain it — the operational burden is real and ongoing","Full control over the runtime environment and potentially lower cost at high sustained scale, but you own patching, scaling, monitoring, and incident response entirely yourself — a significant ongoing cost most projects this skill targets shouldn't take on prematurely","vps|docker|kubernetes|self-managed",2026-07-03
DO031,Database Hosting,Supabase (managed Postgres + platform),"Any project using Supabase as its BaaS (see backend stacks module) — database, auth, storage, and realtime all managed together with one dashboard and MCP tooling available when connected","A project with no Supabase-platform features in use at all, where a plain managed Postgres (Neon, RDS) is a lighter-weight fit","Database, auth, storage, RLS-based authorization, and realtime subscriptions all in one managed platform with generous free tier, at the cost of the schema/auth model being somewhat Supabase-shaped (though the underlying Postgres remains fully portable)","supabase|managed-postgres|baas",2026-07-03
DO032,Database Hosting,Neon / PlanetScale (serverless Postgres/MySQL),"Projects wanting a plain managed relational database with serverless scaling (scale-to-zero, branching for preview environments) without the rest of a BaaS platform's auth/storage bundled in","A project that would benefit from Supabase's bundled auth/storage/RLS integration anyway — those save real integration work over a bare database","Database branching (a full copy-on-write branch per PR, similar to git) is a standout feature for preview environments, and true serverless scale-to-zero pricing fits spiky/low-traffic workloads well","neon|planetscale|serverless-database",2026-07-03
DO033,Edge Compute,Cloudflare Hyperdrive (pool a traditional DB from Workers),"Projects on Cloudflare Workers needing to reach a traditional Postgres/MySQL database (not D1) without the connection-pooling problems Workers' request-scoped execution model would otherwise cause","Projects already using D1 (Cloudflare's native SQLite-based edge database) with no need to reach an external database","Lets Workers reach a normal external Postgres/MySQL with proper connection pooling and reduced latency via Cloudflare's network, bridging the gap between edge compute and traditional databases","cloudflare|hyperdrive|connection-pooling",2026-07-03
DO034,Storage,"Platform-Native Object Storage (Supabase Storage, Cloudflare R2, Vercel Blob)","Any project already committed to that platform's ecosystem — avoids adding a separate cloud storage vendor and separate billing/auth surface for file uploads","A project with very specific requirements (data residency in a specific region not offered by the platform, extreme scale requiring S3-specific tooling) that a platform-native option doesn't meet","One less vendor to integrate and authenticate against, usually with the platform's own auth/RLS model extending naturally to file access control — R2 specifically has zero egress fees, a meaningful cost difference at scale versus S3","object-storage|r2|supabase-storage|vercel-blob",2026-07-03
DO035,Storage,AWS S3 (or S3-compatible),"Projects with existing AWS infrastructure, needing S3-specific ecosystem tooling, or requiring very specific regional/compliance guarantees","A project on Vercel/Supabase/Cloudflare with no other AWS dependency — adding S3 introduces a second cloud vendor, second auth model, and (unlike R2) real egress fees","The most mature and widely-integrated object storage option with the broadest tooling ecosystem, at the cost of egress fees and being a second vendor/auth surface to manage alongside your primary platform","aws|s3|object-storage",2026-07-03
