id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
UX155,Modernist,"Craigslist (craigslist.org) — decades-stable unstyled-HTML energy, plain blue links, zero visual investment, functional honesty as accidental brutalism","Studying how raw structure alone builds trust through familiarity and speed, with no decoration at all","Don't copy the literal markup — extract 'decoration adds nothing here' as a principle only; confirm current state via scan.py before citing specifics, sites change","Best living proof brutalism doesn't require intent — decades unchanged is itself the design statement","brutalism|style:UX125|flagship|ecommerce-counterexample",2026-07-04
UX156,Modernist,"Balenciaga (balenciaga.com) — intentional brutalist e-commerce redesign: stark black-on-white, oversized system-font nav, exposed grid seams","Studying deliberate brutalism in a luxury/fashion commerce context, proof the style can carry a premium brand","Fashion houses redesign seasonally — confirm the live site still uses this direction via scan.py before quoting it as current","High risk/high reward for luxury branding; works because product photography stays polished while chrome stays raw","brutalism|style:UX125|flagship|luxury-fashion",2026-07-04
UX157,Modernist,"Search source: Awwwards / Dribbble / Land-book tagged 'brutalism' — browse for currently-live examples beyond the two named flagships above","Refreshing beyond named flagships when the trend moves faster than this file gets updated","Don't treat any specific tag URL as guaranteed to exist — search inside the platform, tag slugs and curation change over time","Self-refreshing by design, at the cost of curation effort each time you use it","brutalism|style:UX125|gallery|evergreen",2026-07-04
UX158,Modernist,"Gumroad (gumroad.com) — 2021 neo-brutalist relaunch: thick black borders, hard offset shadows, flat saturated color blocks, widely cited in design press","Studying how hard shadows and thick borders read as confident rather than unfinished","Redesigns happen — verify the live site still carries this look via scan.py before citing it as current","One of the most-referenced case studies for this specific style; the shadow direction must stay consistent across every component or it collapses","neo-brutalism|style:UX126|flagship",2026-07-04
UX159,Modernist,"Cash App (cash.app) — bold blocky marketing pages with hard shadows and saturated flat color, consumer fintech confidence","Studying neo-brutalism applied to a trust-sensitive category (fintech) without losing credibility","Fintech marketing pages get A/B tested and refreshed often — verify current state before quoting specifics","Proof the style can carry financial trust when paired with real product substance underneath the loud chrome","neo-brutalism|style:UX126|flagship|fintech",2026-07-04
UX160,Modernist,"Search source: Awwwards / Dribbble / Land-book tagged 'neo-brutalism' or 'neubrutalism' — browse for currently-live examples","Refreshing beyond named flagships as this extremely current trend keeps evolving fast","Don't treat any specific tag URL as guaranteed — search inside the platform, exact slugs vary by platform","Self-refreshing by design; this style saturates and dates faster than most, so gallery freshness matters more here","neo-brutalism|style:UX126|gallery|evergreen",2026-07-04
UX161,Modernist,"Pentagram (pentagram.com) — legendary design agency site: strict grid, one grotesk family, asymmetric composition, zero ornament","Studying disciplined Swiss/International grid composition from practitioners who define the standard","Agency sites get periodic refreshes — confirm current layout via scan.py before citing exact grid specifics","Never dates because the discipline itself is the point; demands real typographic skill since nothing else on the page hides weak type","swiss|style:UX127|flagship|agency",2026-07-04
UX162,Modernist,"MoMA (moma.org) — museum site with generous whitespace, one strong grotesk, asymmetric editorial grid, zero decoration","Studying how a cultural institution uses grid discipline to signal typographic authority and seriousness","Museum sites redesign every few years for major shows — verify current state before citing specifics","Scales beautifully across a huge, heterogeneous content library without ever feeling decorative","swiss|style:UX127|flagship|cultural-institution",2026-07-04
UX163,Modernist,"Search source: Awwwards / Dribbble / Land-book tagged 'swiss-design' or 'international-typographic-style' — browse for currently-live examples","Finding additional grid-disciplined examples across other sectors beyond agency/museum context","Don't treat any specific tag URL as guaranteed — search inside the platform, exact slugs vary by platform","Self-refreshing; this style ages the slowest of all 30, so older gallery finds stay relevant longer than most","swiss|style:UX127|gallery|evergreen",2026-07-04
UX164,Modernist,"Bauhaus-Archiv Museum (bauhaus.de/en) — primary color blocks, geometric shapes as compositional structure, geometric sans, direct heritage source","Studying the actual constructivist heritage the style borrows from, straight from the source institution","Museum microsites change for exhibitions — confirm current state via scan.py before citing exact layout details","Most historically grounded reference available; risk is treating heritage-accuracy as more important than usability for a modern product","bauhaus|style:UX128|flagship|cultural-institution",2026-07-04
