id,category,check,description,why_it_matters,severity,tags,last_verified
SEO035,Title Tags,"Every page has a unique, descriptive title tag under ~60 characters","Title tags are unique per page, describe the specific page content (not a generic site-wide template), and stay within the length search engines typically display in full","Duplicate or missing titles across pages is a common, high-impact technical SEO issue that directly affects both ranking relevance and click-through rate from search results","Critical","title-tags|uniqueness",2026-07-03
SEO036,Title Tags,"Primary keyword/topic appears naturally near the front of the title","The page's core topic is reflected early in the title tag, phrased naturally rather than keyword-stuffed","Search engines weight earlier terms in a title somewhat more heavily, and users scanning results also read left-to-right — this is a small, cheap optimization that compounds across every page","Medium","title-tags|keyword-placement",2026-07-03
SEO037,Meta Descriptions,"Every page has a unique, compelling meta description under ~155-160 characters","Meta descriptions are written per-page (not templated identically across many pages) and summarize the page's actual value in a way that encourages a click","Meta descriptions aren't a direct ranking factor but materially affect click-through rate from the results page they appear on — an uncompelling or duplicate description leaves ranking potential on the table","Medium","meta-description|click-through-rate",2026-07-03
SEO038,Headings,"Single H1 per page, matching the page's actual topic","Each page has exactly one H1 that accurately describes the page's primary topic — this is `QA033`'s heading-hierarchy requirement with its SEO framing added","Multiple or missing H1s create ambiguity about a page's primary topic for both users and search engines, and often correlate with deeper heading-hierarchy problems","High","h1|heading-structure",2026-07-03
SEO039,Headings,"Heading hierarchy reflects genuine content structure, not visual styling choices","H2s, H3s, etc. are used to reflect actual content organization (sections, subsections), not selected because of how a heading level happens to look visually","Using heading levels purely for visual size (styling an H4 to look bigger because a design needs that size, rather than because it's semantically a subsection) undermines both accessibility (`QA033`) and the structural signal search engines use to understand content","Medium","heading-hierarchy|semantic-structure",2026-07-03
SEO040,URL Structure,"URLs are short, readable, and reflect content hierarchy","URLs use readable words (not IDs/parameters alone) and reflect a logical hierarchy matching the site structure, e.g. /blog/topic-name rather than /p?id=48291","Readable URLs are easier for users to evaluate before clicking, easier to remember/share, and give search engines an additional (weak but real) relevance signal","Low","url-structure|readability",2026-07-03
SEO041,URL Structure,"URLs use hyphens to separate words, not underscores or spaces","Word separation in URLs consistently uses hyphens (-), which search engines parse as word boundaries, unlike underscores which are sometimes treated as a single token","This is a small, easy-to-get-wrong-once-and-propagate-everywhere convention — worth codifying in a URL-generation utility rather than leaving to per-page manual entry","Low","url-structure|hyphens",2026-07-03
SEO042,Image Optimization,"Descriptive, keyword-relevant file names for images","Image file names describe the image content (e.g. red-running-shoes.jpg rather than IMG_4821.jpg) before upload","File names are a minor but real image-search relevance signal, and this is essentially free to get right if established as a pre-upload convention","Low","image-seo|file-names",2026-07-03
SEO043,Image Optimization,"Alt text is descriptive and SEO-relevant, not keyword-stuffed","Alt text (required for accessibility per `QA030`) also reasonably describes the image in a way that supports topical relevance, without unnaturally cramming keywords","Alt text serves both accessibility and SEO simultaneously when written well — keyword-stuffed alt text fails the accessibility purpose and reads as manipulative to search engines besides","Medium","image-seo|alt-text",2026-07-03
SEO044,Internal Linking,"Descriptive anchor text used for internal links, not generic 'click here'","Internal links use anchor text that describes the destination page's topic, giving both users and crawlers context about what the linked page is about","Generic anchor text ('click here', 'read more') wastes a genuinely useful relevance signal that descriptive anchor text provides essentially for free","Medium","internal-linking|anchor-text",2026-07-03
SEO045,Internal Linking,"Important pages receive proportionally more internal links than minor pages","The site's internal linking pattern reflects actual page importance — cornerstone/pillar content receives more internal links than a minor supporting page, not a flat uniform linking pattern","Internal links are one of the strongest signals a site controls directly for communicating relative page importance to search engines — an undifferentiated linking pattern wastes this lever entirely","Medium","internal-linking|link-equity",2026-07-03
SEO046,Internal Linking,"New content is linked from relevant existing pages upon publish","When new content is published, at least a few contextually relevant existing pages are updated to link to it, rather than relying solely on the new page appearing in a blog index/sitemap","Waiting for organic internal links to accumulate naturally leaves new content under-linked and slower to be crawled/understood for weeks or months longer than necessary","Low","internal-linking|content-publishing",2026-07-03
SEO047,Content Structure,"Content answers the query's actual search intent (informational/transactional/navigational/commercial)","Page content and format match what a searcher for the target query actually wants — a transactional query gets a page that supports purchasing, an informational query gets genuinely informative content, not a mismatch between intent and page type","This is search-intent alignment, one of the strongest determinants of ranking success independent of technical optimization — a technically perfect page for the wrong intent still won't rank well","Critical","search-intent|content-strategy",2026-07-03
SEO048,Content Structure,"Content is structured with scannable formatting (short paragraphs, lists, subheadings)","Long-form content uses subheadings, bullet/numbered lists, and reasonably short paragraphs rather than dense unbroken text blocks","Scannable formatting improves both user engagement (reducing bounce) and passage-level extractability for AI Overviews/featured snippets, which favor clearly delineated, directly-answering passages","Medium","content-formatting|scannability|geo",2026-07-03
SEO049,Content Structure,"The primary question/topic is answered directly and early in the content","For content targeting a specific question or informational query, a direct, complete answer appears within the first few sentences/paragraph, with elaboration following","This directly supports featured-snippet and AI-Overview extraction — these surfaces tend to pull from content that answers clearly and early rather than building up to an answer through narrative structure","High","direct-answers|featured-snippets|geo",2026-07-03
SEO050,Content Depth,"Content covers the topic with genuine depth, not a thin restatement of the query","Page content demonstrates real depth/completeness on its topic rather than being a shallow, keyword-targeted page with minimal actual information","Thin content is both a poor user experience and a specific, named quality signal search engines evaluate — this remains one of the most consistent drivers of ranking failure for otherwise technically sound pages","Critical","content-depth|thin-content",2026-07-03
SEO051,Keyword Cannibalization,"No two pages targeting the same primary query without a clear differentiation","The site doesn't have multiple pages competing for the same primary search intent without a deliberate reason (e.g. old content not consolidated with new)","Cannibalization splits ranking signal across competing pages instead of concentrating it on one strong page, often resulting in neither page ranking as well as a single consolidated page would","High","keyword-cannibalization|content-strategy",2026-07-03
SEO052,Keyword Cannibalization,"Overlapping content is consolidated or clearly differentiated by intent","When multiple pages do legitimately cover related territory, each targets a genuinely distinct sub-intent, or the weaker/older page is consolidated (301'd) into the stronger one","Periodic content audits that identify and resolve cannibalization typically recover ranking performance that was being split across competing pages","Medium","content-consolidation|content-audit",2026-07-03
SEO053,Call-to-Action Alignment,"Page CTAs match the content's actual search intent stage","A page targeting an early-stage informational query doesn't push an aggressive 'buy now' CTA mismatched to where that searcher actually is in their journey","A CTA/intent mismatch hurts conversion rate even on pages that are otherwise ranking and getting traffic successfully — the SEO win is wasted if the page doesn't convert the intent it earned","Medium","cta-alignment|conversion|search-intent",2026-07-03
SEO054,Featured Content,"Tables, lists, and comparison content structured for extraction by featured snippets/AI answers","Comparison, list, and definition-style content uses actual table/list HTML markup (not styled divs) so it's structurally extractable","Search engines and AI answer engines specifically favor genuinely structured markup (real <table>, <ol>/<ul>) over visually-similar but semantically generic markup when extracting content for snippets/summaries","Medium","featured-snippets|structured-markup|geo",2026-07-03
SEO055,Content Uniqueness,"Content is original, not substantially duplicated from another source (including AI-generated boilerplate)","Published content offers genuine original value/perspective rather than being a lightly-reworded aggregation of other sources or generic, unedited AI-generated text","Both duplicate content and detectably generic/unedited AI content correlate with weaker ranking performance — the fix isn't avoiding AI assistance entirely, it's ensuring genuine editorial value and originality in what ships","High","content-originality|ai-content-quality",2026-07-03
SEO056,Pagination,"Paginated series use consistent, crawlable navigation, not infinite scroll alone","Multi-page content series (blog archives, product listings) provide crawlable pagination links, even if infinite scroll is also offered for user experience","Infinite-scroll-only pagination can prevent crawlers from discovering content beyond the first page, since crawlers don't reliably trigger scroll-based loading the way a human user does","Medium","pagination|infinite-scroll|crawlability",2026-07-03
SEO057,Above-the-Fold Content,"Meaningful content visible above the fold, not just navigation/hero imagery","The initial visible viewport includes some genuine content relevant to the page's topic, not solely a full-viewport hero image/navigation with no text","Google's page-layout algorithm has historically penalized pages with too little above-the-fold content relative to ads/navigation — meaningful content near the top also improves initial user engagement signals","Low","above-the-fold|page-layout",2026-07-03
