id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
UX051,Anti-Pattern Recognition,"Recognize the 'default AI/template look': centered hero, gradient blob background, Inter font, rounded card grid of 3, generic stock illustration","Auditing an existing page or a first draft for genericness — this specific combination of choices is the most statistically common output of both page builders and unguided AI generation","Never treat this as a checklist to avoid mechanically — the goal is recognizing the pattern, not superstitiously banning gradients/rounded corners/Inter font, which are all fine in the right combination","This combination is common precisely because each individual choice is reasonable — the genericness comes from all of them appearing together with no deviation, not from any single choice being wrong","anti-pattern|genericness|ai-look",2026-07-03
UX052,Layout Distinctiveness,"Break the vertical-stack-of-centered-sections pattern at least once","Instead of every section being full-width-centered-column stacked top to bottom, introduce at least one section with asymmetric columns, an off-center focal point, or overlapping elements","A form-heavy or highly transactional flow (checkout, settings) where predictable, centered, linear layout genuinely serves usability better than novelty","This is `UX034` restated as the flagship technique — it's the single highest-leverage layout-level distinctiveness move because centered-stack is specifically what templates and page builders default to","layout|asymmetry|flagship-technique",2026-07-03
UX053,Layout Distinctiveness,"Let content determine section height, don't force uniform viewport-height sections","Sections are as tall as their content actually needs, producing natural rhythm variation, rather than every section forced to 100vh or a uniform fixed height","A presentation-style single-scroll experience specifically designed around one-section-per-viewport (e.g. a slide-deck-style site) where uniform height is the intended effect","Forcing uniform section heights is a common page-builder default that produces mechanical, evenly-spaced pacing — natural content-driven height variation is what real editorial layouts do","layout|content-driven-height|pacing",2026-07-03
UX054,Grid Systems,"Use an asymmetric or broken grid deliberately for at least one content section","A gallery, feature showcase, or case-study section uses uneven column spans / intentional overlap rather than a perfectly uniform 3-equal-columns grid","Data tables and information-dense UI where a predictable, uniform grid is a usability requirement, not a stylistic constraint","A perfectly uniform grid (equal columns, equal gutters, equal card heights) is the fastest visual tell of a component-library default — one deliberately broken grid section signals a real layout decision was made somewhere on the page","asymmetric-grid|broken-grid|distinctiveness",2026-07-03
UX055,Composition,"Use scale contrast aggressively — one huge element against several small ones, not everything sized moderately","At least one hero moment (a headline, a number, an image) is dramatically larger relative to surrounding content than a 'balanced' composition would suggest","UI/product surfaces (not marketing pages) where predictable, moderate sizing serves task-completion better than dramatic visual hierarchy","Moderate, evenly-sized elements throughout a composition is the safe default that reads as unconfident — real scale contrast (one big thing, several small things) creates a clear focal point and visual energy that moderate sizing can't","scale-contrast|composition|visual-hierarchy",2026-07-03
UX056,Composition,"Let elements bleed off the edge of the viewport/container intentionally","An image, a shape, or a text element deliberately extends past its container's edge rather than every element staying safely contained within padding","Content that needs to remain fully visible/scannable in every viewport size — a bleeding element needs to be genuinely decorative, not load-bearing content","Everything neatly contained within a max-width container with consistent padding is the default, safe choice — one element breaking that containment creates visual interest and signals intentional composition rather than a rigid template being filled in","edge-bleed|composition|containment-break",2026-07-03
UX057,Motion Identity,"Develop one signature transition/easing curve used consistently, not default library easing everywhere","Page transitions, modal opens, and key state changes share a custom-tuned easing curve (not the library default ease-in-out) that becomes recognizable as part of the brand's feel","A utility-focused internal tool where motion consistency matters less than raw task speed — default, fast, unobtrusive transitions may be the right call there instead","A custom easing curve (e.g. a slight overshoot, a specific duration curve) applied consistently is a genuinely underused distinctiveness lever — most products never customize motion timing at all, using whatever a UI library or CSS transition default provides","motion-identity|easing|signature-technique",2026-07-03
UX058,Motion Identity,"Use motion to reveal spatial relationships (where did this come from, where is it going), not just fade-in everything","Modals, dropdowns, and expanding elements animate from their actual trigger point/origin rather than a generic fade-and-scale-from-center applied universally","Simple content updates (a list re-sorting, a counter incrementing) where a spatial-origin animation would be more distracting than a simple fade","Generic fade-in-from-nowhere is easy to implement everywhere but teaches the user nothing about the interface's structure — origin-aware motion (a menu growing from the button that opened it) reinforces the actual spatial model of the UI","spatial-motion|origin-aware-animation|ux-clarity",2026-07-03
UX059,Typography as Layout,"Let display type be a primary layout/composition element, not just text placed in a text box","A large headline's specific line breaks, size, and position are treated as compositional choices (like an image would be), not left to responsive text-wrapping defaults alone","Body copy and any UI text where predictable, accessible text flow matters more than compositional intent — this technique is for hero/display moments specifically","Treating a big headline as 'just text' that autowraps wherever the container happens to break it is a missed opportunity — editorial design treats display type as a shape/composition element with deliberate line breaks and placement","typography-as-layout|display-type|editorial-composition",2026-07-03
UX060,Color as Structure,"Use color-blocking to define zones/sections instead of only borders/whitespace","Distinct content sections are differentiated by a genuine background color change (not just a subtle gray-on-white shift) creating clear color-block zones down the page","A minimal/restrained brand where color-blocking would conflict with an intentionally quiet, whitespace-driven aesthetic — that's a valid alternative distinctiveness direction, not a gap","Most default templates separate sections with whitespace and maybe a 1px border — deliberate color-blocking (genuinely different, considered background colors per section) is a stronger, more memorable structural signal","color-blocking|section-structure|visual-zones",2026-07-03
UX061,Custom Cursors & Micro-Details,"A custom cursor state or cursor-following element on key interactive/hero surfaces","A portfolio, agency, or brand-forward hero section wanting a memorable, slightly playful signature interaction","Any UI where custom cursor behavior could interfere with actual usability/accessibility (this is a hero/brand-moment technique, not a whole-product pattern) — never on task-critical interactive elements","A custom cursor is a small, cheap, highly noticeable signature technique specifically because almost no product bothers to customize the cursor at all — high memorability per unit of implementation effort, used sparingly","custom-cursor|micro-interaction|signature-detail",2026-07-03
UX062,Custom Cursors & Micro-Details,"Custom, on-brand form field/input styling instead of default browser or library chrome","Text inputs, checkboxes, radio buttons, and toggles use a considered, custom visual treatment (matching the brand's shape language) rather than the default OS/library appearance left unstyled","Extremely high-density admin/data-entry UI where speed and absolute familiarity of standard controls outweighs brand expression","Unstyled default form controls are one of the most common places a brand-forward site suddenly reverts to generic browser chrome, breaking an otherwise-considered visual system at exactly the point users interact most directly","form-styling|custom-controls|brand-consistency",2026-07-03
