id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
SEO077,Content Types,"Article / BlogPosting","Blog posts, news articles, editorial content — establishes headline, author, publish/modify dates, and publisher","A page that isn't genuinely article-shaped (a product page, a landing page) — using Article schema there misrepresents the content type","Enables article-specific rich results and reinforces E-E-A-T signals (author, dates) directly in structured form — keep datePublished/dateModified genuinely accurate per `SEO034`","article-schema|blog|content-type",2026-07-03
SEO078,Content Types,"Product","E-commerce product pages — price, availability, SKU, and (paired with Review/AggregateRating) rating information","A product page where price/availability genuinely can't be confirmed accurate at render time — inaccurate Product schema risks a manual action, see `SEO024`","Enables rich results showing price/availability/rating directly in search results, a meaningful click-through-rate lever for e-commerce — must stay synced with real Shopify/inventory data (`EC024`)","product-schema|ecommerce|rich-results",2026-07-03
SEO079,Content Types,"LocalBusiness (or a more specific subtype: Restaurant, Store, etc.)","Any business with a physical location or service area — address, hours, phone, and service area information","A purely online business with no physical location or local service area — LocalBusiness schema doesn't apply there","Powers local pack visibility and Google Business Profile consistency (NAP data) — use the most specific applicable subtype (Restaurant, MedicalBusiness, etc.) rather than the generic LocalBusiness type where one exists","local-business-schema|local-seo|nap",2026-07-03
SEO080,Q&A / How-To,"FAQPage","A genuine list of distinct questions and answers on a page, formatted to match — not content awkwardly reformatted into Q&A shape purely to gain the schema","Content that isn't genuinely question-and-answer structured — retrofitting non-FAQ content into FAQPage markup to chase rich results is against Google's structured data guidelines and risks a manual action","Can produce an expandable FAQ rich result directly in search — genuinely useful for support/documentation content, actively risky when used as a ranking-manipulation tactic on non-FAQ content","faqpage-schema|qa-content|rich-results",2026-07-03
SEO081,Q&A / How-To,"HowTo","Step-by-step instructional content — numbered steps with clear individual actions, ideally with time/materials/tools where relevant","Content that describes a process narratively without genuine discrete steps — forcing narrative content into HowTo's step structure produces poor-quality markup","Well-suited to tutorial/recipe/DIY content specifically — note that HowTo rich results have been scaled back in some search surfaces over time, so treat this as structural clarity value first, rich-result eligibility as a bonus","howto-schema|tutorials|instructional-content",2026-07-03
SEO082,Organization & Site,"Organization","Every site's homepage or a dedicated about page — legal name, logo, social profiles, and contact information for the entity behind the site","A personal blog/portfolio where Person schema (below) is the more accurate entity type","Establishes the entity behind the site clearly for search engines and AI systems building an understanding of who owns/publishes the content — directly supports `SEO063`'s about-page trust signal in structured form","organization-schema|entity|brand-identity",2026-07-03
SEO083,Organization & Site,"WebSite (with SearchAction for sitelinks search box)","A site's homepage, especially one with meaningful internal search functionality worth surfacing directly in search results","Small sites with no meaningful internal search to surface","Can enable a sitelinks search box directly in Google results for branded searches — a small, low-effort addition with real click-through-rate upside for sites that qualify","website-schema|searchaction|sitelinks",2026-07-03
SEO084,Organization & Site,"Person","Personal sites, individual author bio pages, portfolio sites — establishes an individual as the entity, with credentials/social profiles","A business/company site where Organization is the more accurate primary entity — Person schema is typically supplementary there (on author bio pages) rather than the site's primary entity","Directly supports `SEO060`/`SEO061`'s author-expertise E-E-A-T signals in structured, machine-readable form on author bio pages specifically","person-schema|author-pages|eeat",2026-07-03
SEO085,Reviews & Ratings,"Review / AggregateRating","Content featuring genuine reviews or an aggregate rating of a product/service/business — must reflect real, verifiable ratings","Any use of Review/AggregateRating schema without genuine underlying reviews — this is one of the most actively enforced categories for structured-data spam actions","High-value for click-through rate (star ratings visible in search results) but also one of the highest-risk schema types to misuse — never display Review/AggregateRating markup without real reviews backing it (see `SEO066`)","review-schema|ratings|spam-risk",2026-07-03
SEO086,Events & Jobs,"Event","Pages promoting a specific event with a date, location, and (where applicable) ticketing information","Recurring/ongoing content with no specific date-bound event to describe","Enables rich event results including date/location/ticket info directly in search — particularly valuable for local/live-event discovery","event-schema|events|local-discovery",2026-07-03
SEO087,Events & Jobs,"JobPosting","Individual job listing pages — title, description, salary range (where legally required/available), location, and employment type","A jobs listing/index page rather than an individual posting — JobPosting schema applies per-listing, not to an aggregate listings page","Powers Google's dedicated job-search experience — a genuinely distinct, high-intent traffic source separate from standard organic results for sites that hire regularly","jobposting-schema|job-listings|google-jobs",2026-07-03
SEO088,Video & Media,"VideoObject","Any page featuring video content meant to be discoverable — includes thumbnail, duration, and upload date","A page where video is purely decorative/background, not primary content worth surfacing in video search results","Enables video rich results and video search visibility — thumbnail and duration shown directly in results meaningfully affects click-through rate for video-forward content","videoobject-schema|video-seo|rich-results",2026-07-03
SEO089,Software & Apps,"SoftwareApplication","App/software product pages — category, operating system, price, and rating information","A SaaS marketing site where the product isn't distributed as a discrete downloadable/installable application — Product schema may fit better there depending on the actual offering shape","Supports app-specific rich results showing rating/price/platform directly — most directly applicable to mobile apps and desktop software with a clear install/download path","softwareapplication-schema|apps|rich-results",2026-07-03
SEO090,E-commerce Specific,"Offer / AggregateOffer (nested within Product)","Product pages with pricing, especially with multiple price points (variants, quantity tiers) or availability windows","A product with a single, simple price and no variant complexity — a simpler flat price/availability declaration on the Product schema itself may suffice","AggregateOffer specifically handles the common e-commerce case of a price range across variants — using the wrong nesting (a flat Offer for a variant product) produces inaccurate structured data (`SEO024`)","offer-schema|ecommerce|pricing",2026-07-03
