id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
AI015,Endpoint Shape,Streaming SSE chat endpoint,"Any user-facing chat or generation UI — perceived latency drops dramatically when tokens render as they arrive","Backend-to-backend calls where nothing renders incrementally","Better UX; slightly more code (SSE plumbing, partial-message handling, client abort)",streaming|sse|chat|ux,2026-07-03
AI016,Endpoint Shape,Non-streaming request/response,"Short completions, background jobs, structured extraction consumed by code not humans","Long generations a user watches — waiting 20s for a wall of text feels broken","Simplest possible integration; fine whenever no human stares at a spinner",request-response|simple|background,2026-07-03
AI017,Capability Pattern,Tool use (function calling),"Letting the model query your DB, call your APIs, or take actions through a curated tool list","Exposing broad/destructive capabilities without human confirmation gates","Turns the model into an orchestrator; every tool is attack surface — scope to least privilege (AI031)",tools|function-calling|orchestration,2026-07-03
AI018,Capability Pattern,RAG over a vector store,"Grounding answers in private/current data: docs, tickets, product catalogs — pgvector on Supabase/Postgres is the default fit here","Data that fits comfortably in the prompt (just include it); ungoverned corpora (see AI041)","Answers reflect your data not training data; adds chunking, embedding, and retrieval-quality tuning work",rag|pgvector|retrieval|grounding,2026-07-03
AI019,Capability Pattern,RAG chunking & retrieval tuning,"Corpora with structure: chunk by semantic unit (heading/section), embed titles with bodies, retrieve more then rerank","Skipping evaluation — bad retrieval silently produces confident wrong answers","Retrieval quality caps answer quality; measure hit-rate on a golden question set before tuning prompts",rag|chunking|reranking|evals,2026-07-03
AI020,State Management,DB-backed conversation state,"Multi-turn products: store messages in your own DB keyed by conversation, replay a token-budgeted window per call","Stateless one-shot features","You own history, deletion, and export (KVKK/GDPR); replayed history is the main input-cost driver — pair with caching (AI010) and summarization (AI013)",state|conversations|history,2026-07-03
AI021,Prompt Engineering,Versioned prompts in the repo,"System prompts as code: reviewed in PRs, versioned, eval-gated before rollout","Prompts hidden in dashboards or DB rows nobody reviews","Prompt changes become diffable and testable; requires the discipline to run evals on every change",prompts|versioning|code-review,2026-07-03
AI022,Reliability,Retry with backoff + model fallback,"Handling 429/529 and transient errors: exponential backoff, then optionally degrade to a cheaper model to stay up","Retrying non-idempotent side-effectful agent actions blindly","Keeps the feature alive through rate limits and incidents; fallback answers may be visibly weaker",retries|fallback|rate-limits|resilience,2026-07-03
AI023,Quality,Eval suite on a golden set,"Every prompt/model change: a fixed set of real inputs with expected properties, run in CI or pre-deploy","Shipping prompt changes on vibes","Catches regressions humans miss; building a representative golden set is real work — start with 20 cases",evals|golden-set|regression|ci,2026-07-03
AI024,Quality,LLM-as-judge scoring,"Scaling evals beyond exact-match: a second model grades outputs against a rubric","Treating judge scores as ground truth without spot-checking against human labels","Cheap large-scale grading; judges share model biases — calibrate on a human-labeled sample first",evals|llm-judge|rubric,2026-07-03
AI025,Cost Control,Semantic response caching,"High-traffic features where many users ask near-identical questions (FAQ bots, product Q&A)","Personalized or context-dependent answers where cache hits would leak or mislead","Can eliminate a large share of calls; cache-key design (embedding similarity threshold) is the hard part",caching|semantic|cost,2026-07-03
AI026,Architecture,Single-call first then multi-agent,"Start every feature as one well-prompted call; split into orchestrated sub-calls only when one prompt provably can't do the job","Multi-agent as the default architecture — it multiplies cost, latency, and failure modes","Simplest thing that works wins; agents compound errors across steps unless each has evals",architecture|multi-agent|simplicity,2026-07-03
AI027,Build Approach,Prompting + RAG before fine-tuning,"Almost every product need: instruction-following on frontier models with good prompts and grounding beats most fine-tunes","Genuine style/format specialization at scale after prompting is exhausted","No training pipeline to own; fine-tuning adds data prep, drift, and re-training cost for narrow wins",fine-tuning|prompting|rag|strategy,2026-07-03
