id,category,check,description,why_it_matters,severity,tags,last_verified
AN023,Privacy,No PII in event names or properties,"Audit every event and property for emails, names, free-text user input, and tokens. Use opaque user IDs; mask session-replay inputs by default.",PII in analytics tools creates shadow copies of personal data outside your deletion/retention controls,Critical,pii|privacy|properties,2026-07-03
AN024,Privacy,Consent state actually gates tracking,"Verify with the browser devtools: before consent no analytics requests fire (or a documented cookieless basis applies); after denial nothing loads; consent changes propagate to all tools including replay and ads pixels.",A banner that doesn't control the scripts behind it is compliance theater — and a KVKK/GDPR finding,Critical,consent|kvkk|gdpr|gating,2026-07-03
AN025,Privacy,Analytics data retention configured,"Set explicit retention windows in each tool (GA4 defaults to 2 months for some tables), and include analytics tools in the user-deletion runbook.",Deletion requests legally extend to analytics vendors; defaults are rarely what you want,High,retention|deletion|vendors,2026-07-03
AN026,Correctness,Single source of truth per metric,"Every reported metric (signups, MRR, conversion) has one canonical definition and query; dashboards reference it rather than re-deriving.",Two dashboards disagreeing on signups costs more trust than having no dashboard,High,metrics|definitions|truth,2026-07-03
AN027,Correctness,Revenue events reconciled against the payment provider,"Weekly automated or manual check: analytics `order_completed` count/sum vs Stripe/Shopify records within a tolerance (e.g. 2%).",Silent event loss is invisible until someone bets a decision on it,High,revenue|reconciliation|stripe,2026-07-03
AN028,Correctness,Bot and internal traffic filtered,"Enable bot filtering, exclude office/VPN IPs and staging domains, and tag internal users so they're excludable in queries.",Team traffic and bots can dominate small-site stats and flatter every metric,Medium,bots|internal-traffic|filtering,2026-07-03
AN029,Correctness,Deduplicated cross-stream events,"When the same action can arrive from client and server (e.g. purchase), dedupe by a shared event/insert ID — mirrors the Ads module's pixel+CAPI dedup rule.",Double-counted conversions inflate results and misallocate ad spend,High,dedup|event-id|server-side,2026-07-03
AN030,Attribution,UTM hygiene enforced,"A documented UTM convention (lowercase, fixed source/medium vocabulary), campaign links built from a shared sheet/tool, and first-touch UTMs persisted onto the user at signup.",Inconsistent UTMs fragment channels into dozens of unjoinable variants,Medium,utm|attribution|hygiene,2026-07-03
AN031,Operations,Dashboards have owners and review cadence,"Each dashboard names an owner and a cadence (weekly growth review, monthly board pack); orphaned dashboards get deleted.",Unowned dashboards rot into wrong numbers that someone eventually quotes,Low,dashboards|ownership|cadence,2026-07-03
AN032,Operations,Instrumentation documented per event,"The track plan lists every event: name, trigger, properties, added-by, added-on — generated from or verified against code.",Six months later nobody remembers what `flow_completed_v2` means or why it double-fires on Safari,Medium,track-plan|documentation,2026-07-03
AN033,Operations,Alert on metric pipeline breakage,"An automated alert when core event volume drops >50% day-over-day or hits zero — the analytics equivalent of uptime monitoring.",Instrumentation breaks silently on redesigns; you find out during the board meeting otherwise,High,alerts|monitoring|pipeline,2026-07-03
AN034,Experiments,Experiment analysis discipline,"Pre-register the metric and sample size (or use a sequential method); no stopping at first significance; log every experiment and its outcome, including losers.",Peeking and cherry-picking make A/B testing an expensive random-number generator,Medium,ab-testing|statistics|discipline,2026-07-03
