id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
EC001,Checkout Flow,Stripe Checkout (hosted page),"Fastest path to a PCI-compliant checkout — redirect to Stripe's own hosted payment page, minimal frontend work, built-in support for many payment methods","Needing full control over checkout UI/branding, or a fully embedded in-app checkout experience","Stripe hosts the entire card-entry UI so you never touch raw card data (lowest PCI burden), at the cost of less visual control than a custom checkout","stripe-checkout|pci-compliance|hosted-checkout",2026-07-03
EC002,Checkout Flow,"Stripe Elements (embedded, custom UI)","Product needing checkout to feel fully native/embedded in the app's own UI, while still avoiding raw card data touching your server","A team wanting the absolute minimum implementation effort — Checkout (EC001) is simpler to integrate","Full UI control with Stripe handling the sensitive card input fields (via iframes) so raw card numbers still never hit your server, at the cost of more implementation and testing surface than hosted Checkout","stripe-elements|embedded-checkout|custom-ui",2026-07-03
EC003,Checkout Flow,"Payment Intents API (custom flow, SCA-ready)","Building a fully custom payment flow (e.g. a multi-step checkout, marketplace splitting) that needs Strong Customer Authentication (3D Secure) handled correctly","A standard checkout with no unusual flow requirements — Checkout or Elements already implement this correctly with less custom code","Maximum flexibility for complex flows, but you're responsible for correctly handling every intent status (requires_action, requires_confirmation, etc.) — get this wrong and SCA-required payments silently fail","payment-intents|sca|custom-flow",2026-07-03
EC004,Recurring Revenue,Stripe Billing (subscriptions),"SaaS products with recurring revenue — Stripe manages subscription lifecycle, proration, invoicing, dunning (failed payment retry) natively","A pure one-time-purchase product with no recurring billing need","Handles the genuinely hard parts of subscription billing (proration on plan changes, automatic retry on failed renewal, invoice generation) that are error-prone to build correctly from scratch","stripe-billing|subscriptions|saas",2026-07-03
EC005,Recurring Revenue,Usage-Based Billing (metered),"Products charging per-usage (API calls, compute time, seats that fluctuate) rather than a flat recurring fee","Simple flat-rate subscriptions — flat Stripe Billing (EC004) is simpler when usage isn't the pricing basis","Report usage to Stripe via the API and let it handle proration/invoicing based on actual consumption, at the cost of needing reliable usage-reporting infrastructure on your end","usage-based-billing|metered|stripe",2026-07-03
EC006,Webhooks,Verify Every Webhook Signature Before Processing,"Every Stripe webhook endpoint, without exception — this is the payments-specific application of SEC038's signature-verification rule","Never applicable to skip — an unverified webhook endpoint can be triggered by anyone who discovers or guesses the URL, potentially spoofing a 'payment succeeded' event","Verifying the Stripe-Signature header against the webhook secret is cheap and eliminates an entire class of spoofed-event risk — there is no legitimate reason to skip it","webhooks|signature-verification|stripe",2026-07-03
EC007,Webhooks,Handle Webhook Delivery Idempotently,"Every webhook handler — Stripe may deliver the same event more than once (on timeout/retry), so handlers must be safe to run twice for the same event id (BE046)","Never assume single delivery — build idempotent handling from the start rather than retrofitting after a double-processing incident (e.g. double-fulfilling an order)","Use the event id as an idempotency key (store processed event ids, or make the underlying operation itself idempotent) so a duplicate delivery doesn't duplicate the side effect","webhooks|idempotency|stripe",2026-07-03
EC008,Webhooks,"Respond 2xx Quickly, Do Slow Work Asynchronously","Every webhook handler — acknowledge receipt fast (Stripe expects a response within a few seconds) and queue any slow follow-up work (sending emails, updating external systems) rather than doing it inline","A handler whose work is already trivially fast — no need to introduce a queue purely for ceremony if the whole handler reliably completes in milliseconds","A slow webhook handler causes Stripe to consider the delivery failed and retry it, turning a slow-but-successful handler into a duplicate-delivery problem (compounding EC007's idempotency requirement) — this is BE051's async-job pattern applied to webhooks","webhooks|async-processing|stripe",2026-07-03
EC009,Server-Side Amount Handling,"Compute Charge Amounts Server-Side From the Order, Never Trust a Client-Supplied Total","Every payment flow — the amount charged is computed from the actual order/cart contents stored server-side, this is the payments-specific restatement of SEC040/SEC009","Never applicable to skip — a tampered client-side price is the most direct way an attacker can under-pay if the server trusts a client-supplied amount","Recomputing the charge amount server-side from trusted data is a small amount of extra code that closes off an entire exploit class, not an optional hardening step","price-tampering|server-side-validation|stripe",2026-07-03
EC010,Test Mode,"Separate Test and Live API Keys, Never Mixed","Every environment — development/staging use Stripe test-mode keys (sk_test_/pk_test_) exclusively, production uses live keys (sk_live_/pk_live_) exclusively, matching the DO053 environment-separation principle","Never use a live key in a non-production environment even 'just to check something' — test-mode payment methods and real cards behave identically from the API's perspective","Stripe's test mode fully simulates the payment flow (including specific test card numbers for success, decline, and 3DS-required scenarios) without ever touching real money — this discipline is what prevents an accidental real charge","test-mode|api-keys|environment-separation",2026-07-03
