id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
UX021,Pairing,"Distinctive Serif Display + Neutral Sans Body (e.g. a characterful serif for H1/H2, a clean grotesk for body/UI)","Editorial, portfolio, and premium brand sites wanting a headline moment that doesn't read as default SaaS sans-everywhere","Data-dense dashboards where a display serif at small sizes hurts legibility — reserve the serif for genuinely large headline sizes only","The serif carries all the personality/distinctiveness while the sans keeps body text maximally legible — this split does real work instead of using one 'safe' font everywhere","serif-sans-pairing|editorial|display-type",2026-07-03
UX022,Pairing,"Monospace Accents Within a Sans-Serif System (labels, tags, code, metadata in mono; everything else in a humanist sans)","Technical/developer products wanting precision cues without going full monospace-everywhere","Consumer-facing marketing pages where monospace accents can read as 'trying too hard to look technical'","A small, consistent monospace touch (timestamps, tags, version numbers) signals technical precision cheaply, without the readability cost of monospace body text","monospace-accent|technical|developer-tools",2026-07-03
UX023,Pairing,"Single Variable Font, Weight/Width Doing All the Differentiation Work","Products wanting maximum consistency and smaller font-loading payload — one variable font file replaces what would otherwise be 2-4 separate font files","A brand wanting a genuine visual contrast between display and body type — a single typeface family, however varied its weights, has an inherent ceiling on differentiation compared to true pairing","Modern variable fonts (weight, width, sometimes optical size axes) can produce a full type system from one file, improving performance (QA045/QA049) while still allowing real hierarchy through weight/width variation","variable-font|performance|single-family",2026-07-03
UX024,Avoiding Generic,"Skip the Default System/Framework Font Unless Deliberately Choosing It","Any brand-forward surface (marketing site, portfolio) — Inter/system-ui/the framework's bundled default is the single most common tell of an unstyled or templated-feeling site","A genuinely utility-first internal tool where font choice truly doesn't matter to the product's goals — even then, verify this is a deliberate call, not an oversight","Inter and system-ui are excellent, legitimate typefaces — the issue isn't quality, it's that using them with zero customization is the most statistically common choice, so it reads as 'didn't make a type decision' rather than 'made this decision'","default-fonts|distinctiveness|font-choice",2026-07-03
UX025,Avoiding Generic,"Choose a Typeface With at Least One Distinctive Letterform, Not Purely Neutral","Wanting a type choice that's recognizable/memorable at a glance (a distinctive 'g', 'a', or numeral style)","Extremely dense UI text at small sizes where a distinctive letterform could hurt legibility — reserve distinctive faces for headline/display sizes specifically","A typeface that's technically 'neutral' (like many default UI sans fonts) is chosen specifically to disappear — a brand-forward surface benefits from at least one typeface with genuine character that a viewer could recognize again","distinctive-letterforms|brand-recognition|display-type",2026-07-03
UX026,Scale,"Modular Type Scale With an Unusual Ratio (not the default 1.25/1.333), e.g. 1.5 (perfect fifth) for more dramatic size jumps","Brands wanting headline sizes to feel genuinely large/confident rather than incrementally bigger than body text","Dense information UI where a dramatic scale would consume too much vertical space across many heading levels","Most default type scales use the same 1.2-1.333 ratio range — a deliberately larger or smaller ratio produces a visibly different rhythm that's a cheap, systemic distinctiveness lever applied consistently across every heading level","type-scale|modular-scale|hierarchy",2026-07-03
UX027,Scale,"Tighter-Than-Default Line Height on Large Display Text (1.0-1.1 for headlines, 1.5-1.6 preserved for body)","Headline/hero text specifically — default line-height values (often 1.5 universally) look loose and un-designed at very large sizes","Body text and any paragraph content — QA-standard line-height (1.5+) stays important there for readability regardless of what headlines do","Large display text with generous line-height looks like body-text styles were never adjusted for scale — tightening specifically at headline sizes (while keeping body text spacious) is a small, high-visual-impact fix","line-height|display-type|hierarchy",2026-07-03
UX028,Case & Treatment,"Selective Small Caps or Letter-Spaced Uppercase for Labels/Eyebrows Only","Section labels, category tags, and 'eyebrow' text above headlines — a small, consistent typographic treatment that signals structure","Body copy or long-form text — letter-spaced uppercase hurts readability at paragraph length and should never be applied there","A consistent micro-treatment (e.g. 11px, 0.08em letter-spacing, uppercase) used only for structural labels creates a recognizable rhythm throughout a page without touching primary readability","uppercase-labels|letter-spacing|structure",2026-07-03
UX029,Case & Treatment,"Italic or Alternate Style for Emphasis, Not Bold-Everywhere","Editorial and long-form content wanting varied emphasis without every emphasized word shouting via bold weight","UI copy/microcopy where italic can reduce legibility at small sizes — bold remains the right tool for UI emphasis specifically","A body copy system using italics for genuine emphasis (rather than bold for everything) reads as more considered and editorial, reserving bold's higher visual weight for cases that actually need it","italic|emphasis|editorial-typography",2026-07-03
UX030,Numerals,"Tabular Figures for Any Numbers That Align Vertically (tables, prices, stats)","Data tables, pricing displays, dashboards — proportional (default) figures have varying widths that cause numbers to visually misalign in columns","Inline numbers within prose paragraphs, where proportional figures actually read more naturally than tabular ones","A specific, easy-to-miss detail: most fonts default to proportional figures, causing columns of numbers to jitter left/right — enabling tabular figures (a font-feature-settings/OpenType feature) fixes this with zero layout changes needed","tabular-figures|data-tables|typography-detail",2026-07-03
