id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
UX115,Navigation,"Sidebar rail to drawer collapse (persistent rail ≥1024px, overlay drawer with backdrop below; trigger stays top-left in both)","App shells with 5+ navigation destinations (dashboards, chat apps, admin panels)","3-4 destination apps where a bottom tab bar (UX116) serves mobile better than a hidden drawer","The standard app-shell collapse users already know; drawer state must not leak between route changes — navigating closes it","sidebar|drawer|app-shell|collapse",2026-07-04
UX116,Navigation,"Bottom tab bar on mobile, top nav or rail on desktop (3-5 top-level destinations, safe-area-inset-bottom padded)","Consumer products used one-handed on phones where thumb reach beats information density","Products with more than ~5 top destinations — an overflowing 'more' tab is the signal this pattern was force-fit","Best-in-class mobile ergonomics; the desktop/mobile nav split means two nav implementations to keep in sync, which is the maintenance cost","bottom-tabs|mobile|thumb-reach|safe-area",2026-07-04
UX117,Layout,"Multi-column grid to single-column stack with reflowed order (grid-template-areas redefine at breakpoint; source order stays logical)","Marketing pages where the desktop grid pairs text and image side-by-side but mobile needs text-first","Content whose meaning depends on side-by-side comparison (pricing tiers, diff views) — those need horizontal scroll or a picker instead of stacking","grid-template-areas gives full visual reorder without touching DOM order, keeping screen-reader/tab order logical (the accessibility trap CSS 'order' falls into)","grid|stack|reflow|source-order",2026-07-04
UX118,Layout,"Table to card-list transform below tablet width (each row becomes a labeled card; column headers become inline labels)","Data tables with 4+ columns consumed on phones — horizontal-scroll tables on mobile hide everything past column two","Tables where cross-row column scanning is the whole point (comparisons, spreadsheets) — those keep the table with pinned first column and scroll","Every field stays readable without zooming; per-card labels repeat on every row, so long lists get taller — pair with search/filter above","table|cards|data|mobile-transform",2026-07-04
UX119,Typography,"Fluid type scale via clamp() (e.g. clamp(2rem, 5vw + 1rem, 3.5rem) for display; body stays ~16-18px fixed)","Display/headline sizes that should breathe with viewport instead of jumping at breakpoints","Body text — fluid body sizes drift out of comfortable reading range; only display sizes benefit from viewport coupling","Removes the awkward between-breakpoint zone where fixed display sizes look wrong; the vw component must always ride on a rem base or user font-size preferences and zoom break","fluid-type|clamp|display|scaling",2026-07-04
UX120,Interaction,"Hover-dependent actions get persistent mobile equivalents (row actions visible on hover at desktop become always-visible icons or swipe/long-press on touch)","Any list/table/card UI that reveals edit/delete/share on hover","Nothing — hover-only affordances on touch are simply broken, not a tradeoff; the choice is only which touch equivalent to use","Desktop stays clean while touch stays functional; swipe actions are invisible until discovered, so critical actions need a visible affordance too","hover|touch|actions|affordance",2026-07-04
UX121,Layout,"Sticky elements demoted on mobile (desktop sticky sidebars/headers become static or auto-hiding when viewport height is scarce)","Tall sticky sidebars (filters, TOCs) that would eat half a phone screen if left sticky","Small sticky elements that earn their space anywhere (a 48px header with primary actions can stay)","Reclaims scarce vertical space where it matters most; a sticky-header alternative is hide-on-scroll-down/show-on-scroll-up, which keeps access without the permanent tax","sticky|mobile|vertical-space|toc",2026-07-04
UX122,Media,"Art-directed image crops per breakpoint (picture element with different crops, not just downscaled originals; hero 16:9 desktop to ~4:5 mobile)","Hero and brand imagery where the desktop composition's subject shrinks to nothing when scaled down","Simple content images where plain srcset downscaling preserves the subject fine — art direction is per-image editorial work, spend it where it counts","The difference between a hero that still has a subject on mobile and one that's a smear of background; requires producing and maintaining 2-3 real crops per image","art-direction|picture|hero|crops",2026-07-04
UX123,Forms,"Single-column forms with mobile-tuned inputs (full-width fields, correct inputmode/autocomplete per field, 44px+ touch targets, no multi-column field grids)","Every form on every device — single-column consistently measures faster to complete even on desktop","Genuinely paired short fields (city + postal code) may share a row; beyond that, multi-column forms trade completion speed for looking compact","One layout serves all widths (less responsive divergence, not more); inputmode/autocomplete attributes are the highest-value lowest-effort mobile form upgrade and routinely skipped","forms|single-column|inputmode|touch-targets",2026-07-04
UX124,Strategy,"Container queries for reusable components, viewport breakpoints for page shell (@container for cards/widgets that appear in sidebars and main areas alike)","Design-system components that must adapt to their slot, not the screen — the same card in a 300px rail and a 900px main column","Page-level shell decisions (nav collapse, column count) where the viewport genuinely is the right reference","Components become truly context-portable instead of secretly assuming their page position; requires container-type on ancestors and a mental model shift the team has to actually adopt","container-queries|components|breakpoints|design-system",2026-07-04
