id,category,check,description,why_it_matters,severity,tags,last_verified
SEO093,Google Business Profile,GBP fully claimed and verified,Google Business Profile claimed verified and owned by the business not an agency-only login,An unverified or agency-locked GBP is the single biggest local-visibility blocker and a common client handoff failure,Critical,gbp|verification|ownership,2026-07-03
SEO094,Google Business Profile,Primary and secondary categories set correctly,Primary category matches the core service exactly with secondary categories covering real additional services not keyword stuffing,Category selection is one of the strongest Local Pack ranking factors and is frequently set wrong or too broad,High,gbp|categories|local-pack,2026-07-03
SEO095,Google Business Profile,GBP posts and Q&A actively maintained,Weekly posts and proactively answered Q&A section rather than an abandoned profile,Active profiles signal legitimacy to Google and give control over the Q&A narrative before competitors or spam fill it,Medium,gbp|engagement|posts,2026-07-03
SEO096,NAP Consistency,Name Address Phone identical across site and all listings,"Exact-match NAP (formatting, abbreviations, suite numbers) across the website, GBP, and every directory listing",Inconsistent NAP is a direct trust signal failure that measurably suppresses local ranking,Critical,nap|consistency|citations,2026-07-03
SEO097,NAP Consistency,NAP present in crawlable HTML not just an image or embedded map,Address and phone number exist as real text in the page footer or contact page not only inside a Google Maps embed,Search engines cannot extract NAP signal from an image or an iframe-only map,High,nap|crawlable|html,2026-07-03
SEO098,Citations,Core data aggregators and top industry directories listed,Business listed accurately on major data aggregators and the directories that matter for the specific vertical,Aggregator errors propagate to dozens of downstream directories and are expensive to fix retroactively,High,citations|directories|aggregators,2026-07-03
SEO099,Citations,Duplicate or outdated listings suppressed,Old addresses duplicate GBP profiles and stale directory entries identified and merged or removed,Duplicate listings split review count and ranking signal and can trigger GBP suspensions,Medium,citations|duplicates|cleanup,2026-07-03
SEO100,Schema,LocalBusiness or vertical-specific subtype schema implemented,JSON-LD LocalBusiness schema (or the correct subtype like Restaurant/MedicalClinic/LegalService) present with name address geo hours and price range,Generic or missing local schema forfeits rich-result eligibility that competitors with correct schema capture,High,schema|localbusiness|json-ld,2026-07-03
SEO101,Schema,Schema NAP matches visible page and GBP exactly,LocalBusiness schema address and phone fields match the visible page content and GBP listing exactly with no drift,Mismatched schema violates guidelines and is a documented trust signal Google actively checks,High,schema|nap|validation,2026-07-03
SEO102,Reviews,Active review generation process in place,A repeatable process (post-service email/SMS request) generating a steady flow of new reviews rather than a stagnant review count,Review recency and velocity are ranking factors independent of total review count,High,reviews|generation|velocity,2026-07-03
SEO103,Reviews,All reviews responded to including negative ones,Owner responses present on both positive and negative reviews within a reasonable window,Response rate and quality are a visible trust signal to both users and Google's ranking systems,Medium,reviews|responses|reputation,2026-07-03
SEO104,Reviews,Review signals monitored across platforms not just Google,Yelp industry-specific platforms and Facebook reviews tracked alongside GBP not treated as Google-only,Multi-platform review signal feeds local pack and AI-search citability beyond Google's own index,Low,reviews|multi-platform|monitoring,2026-07-03
SEO105,Location Pages,Unique substantive content per location not a template swap,Each location page has genuinely unique content (local team unique photos specific service notes) not just city-name find-and-replace,Near-duplicate location pages at scale are a well-documented thin-content penalty risk,Critical,location-pages|duplicate-content|thin-content,2026-07-03
SEO106,Location Pages,Location page URL and title include city/area naturally,URL slug and title tag include the location in a natural non-stuffed way matching how users actually search,Location-qualified queries are a large share of local search volume and need an explicit on-page match,Medium,location-pages|url|title,2026-07-03
SEO107,Location Pages,Embedded map and driving directions present per location,Each location page includes an accurate embedded map and clear directions not just a text address,Directly supports both user conversion and the crawlable-NAP requirement (SEO097) for that specific location,Low,location-pages|maps|directions,2026-07-03
SEO108,Service-Area Businesses,Service-area business setting configured correctly on GBP,Businesses without a public storefront use the service-area setting with a hidden address rather than a fake or shared storefront address,Fake storefront addresses violate GBP guidelines and risk suspension which erases all accumulated local signal,Critical,service-area|gbp|guidelines,2026-07-03
SEO109,Local Content,Locally relevant content beyond service pages,"Content addressing local context (neighborhood guides, local events, area-specific FAQs) beyond core service/location pages",Local topical depth is a differentiator search engines and AI answer engines use beyond pure NAP/citation signals,Low,local-content|topical-depth|geo,2026-07-03
SEO110,Local Links,Local backlinks from genuinely relevant community sources,"Links from local news chambers of commerce sponsorships or industry associations, not generic low-relevance directories",Locally relevant links carry disproportionate local ranking weight compared to generic link volume,Medium,local-links|backlinks|relevance,2026-07-03
SEO111,Multi-Location,Centralized NAP/citation management for multi-location businesses,"A single source of truth (spreadsheet or listing-management tool) driving NAP across all locations, not each location managed ad hoc",Ad hoc per-location management is how NAP drift (SEO096) accumulates at scale and becomes expensive to unwind,Medium,multi-location|management|nap,2026-07-03
SEO112,Multi-Location,Individual GBP and location page per physical location,"Every physical location has its own GBP profile and its own location page, never one profile representing multiple addresses",One GBP covering multiple locations violates guidelines and caps visibility to a single physical point,High,multi-location|gbp|location-pages,2026-07-03
