id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
UX125,Modernist,"Brutalism — raw unstyled-looking HTML energy: system fonts or harsh grotesks, exposed structure, no decoration, stark black-on-white","Portfolios, zines, dev tools, and brands whose whole point is anti-polish honesty","Any audience that reads rawness as brokenness — e-commerce checkouts and healthcare lose trust here","Unmistakable and cheap to build; the line between deliberate and unfinished is thin, so typography and spacing discipline carry everything","brutalism|anti-polish|radius-none|shadow-hard|border-heavy|density-tight",2026-07-04
UX126,Modernist,"Neo-brutalism — brutalism domesticated: thick black borders, hard offset shadows, saturated flat color blocks, chunky rounded corners","Consumer SaaS, fintech-for-young-users, and marketing sites wanting loud friendly confidence","Premium/luxury positioning or dense enterprise UI — the cartoon boldness caps how serious it can read","Extremely current and screenshot-friendly; trend-tied enough that it will date visibly, and the hard shadows need consistent light direction or it falls apart","neo-brutalism|bold|radius-soft|shadow-hard|border-heavy|density-tight",2026-07-04
UX127,Modernist,"Swiss / International Style — strict grid, generous whitespace, one grotesk family, asymmetric composition, zero ornament","Agencies, architecture, publications, and brands wanting timeless typographic authority","Products needing warmth or playfulness — the style is deliberately impersonal","Never dates and scales beautifully; demands real typographic skill since there is nothing else on the page to hide behind","swiss|international|grid|radius-none|shadow-none|border-hairline|density-airy",2026-07-04
UX128,Modernist,"Bauhaus-geometric — primary color blocks, circles/triangles/squares as compositional elements, geometric sans","Design-literate brands, education, museums, and creative tools honoring constructivist heritage","Subtle or understated brand voices — geometry this loud is a statement, not a backdrop","Instantly art-historical and distinctive; easy to tip into poster-pastiche if the shapes decorate rather than structure the layout","bauhaus|geometric|primary-colors|radius-none|shadow-flat|border-heavy",2026-07-04
UX129,Modernist,"Art-deco — symmetric geometric ornament, metallic accents, high-contrast display type with decorative details","Hospitality, events, cocktail/restaurant brands, and luxury with a heritage angle","Modern-tech positioning or dense functional UI — deco ornament fights information density","Signals glamour and occasion like nothing else; ornament must stay in display/chrome layers, body UI keeps modern bones underneath","art-deco|ornament|heritage|radius-none|shadow-flat|border-hairline|density-tight",2026-07-04
UX130,Editorial,"Editorial / magazine — display serif headlines, multi-column rhythm, pull quotes, generous art-directed imagery, print pacing","Publications, content-led brands, storytelling landing pages, and premium blogs","App-like interactive products — print pacing collapses when everything is a control","Reads as authored and considered; requires genuinely good content and imagery since the style showcases rather than masks them","editorial|magazine|serif|radius-none|shadow-none|border-hairline|density-airy",2026-07-04
UX131,Editorial,"Kinetic typography — type itself is the hero visual: oversized headlines, scroll-driven movement, variable-font weight play","Portfolios, campaign pages, product launches, and brands with strong verbal identity","Content requiring sustained reading or any context where motion sensitivity matters unmitigated","Zero-imagery distinctiveness — the words are the art direction; needs prefers-reduced-motion fallbacks and restraint or it becomes a demo reel","kinetic-type|variable-font|scroll-driven|radius-none|shadow-none|density-airy",2026-07-04
UX132,Editorial,"Collage / zine — torn edges, mixed media, tape/sticker artifacts, typewriter-meets-marker type, deliberate misregistration","Music, fashion drops, counterculture brands, and event promos wanting DIY authenticity","Anything needing perceived reliability (finance, health) — the aesthetic celebrates imperfection","Impossible to mistake for a template; hard to systematize into a reusable component library, so best on campaign surfaces over product UI","collage|zine|diy|radius-none|shadow-hard|border-heavy|density-tight",2026-07-04
UX133,Depth & Material,"Glassmorphism — frosted-glass panels: background blur, translucency, hairline light borders over colorful backdrops","Dashboards-as-hero-shots, macOS/iOS-adjacent products, and dark UIs wanting layered depth","Low-end device audiences (backdrop-filter is GPU-hungry) and text-heavy surfaces where translucency kills contrast","Elegant depth without hard shadows; every glass layer needs a contrast-checked fallback and the backdrop must be interesting or the glass shows nothing","glassmorphism|blur|translucent|radius-soft|shadow-soft|border-hairline|density-airy",2026-07-04
UX134,Depth & Material,"Claymorphism — inflated 3D-soft shapes: big radii, double inner/outer shadows, pastel candy palette","Kids/education products, friendly onboarding flows, and playful consumer apps","Serious/professional contexts and dense UI — clay eats space and reads toy-like by design","Instantly approachable and huggable; the inflated look needs room, so it caps information density hard","claymorphism|soft-3d|pastel|radius-pill|shadow-soft|density-airy",2026-07-04
UX135,Depth & Material,"Neumorphism — soft extruded-from-background controls via paired light/dark shadows, minimal color","Niche showcase pieces and single-purpose utilities (calculators, players) with few controls","Accessibility-critical products — the style's whole mechanism produces low contrast between control and background","Distinctive softness nothing else replicates; fundamentally fights WCAG, so every interactive state needs a non-shadow signal added back","neumorphism|extruded|low-contrast-risk|radius-soft|shadow-soft|border-hairline",2026-07-04
UX136,Depth & Material,"Material-depth — elevation as meaning: consistent shadow scale mapping z-height to importance, ink ripples, bold surfaces","Android-adjacent products, complex apps needing systematic layering rules a team can follow","Brands wanting to not look like Google — unmodified Material is one of the most recognizable defaults alive","The elevation system genuinely aids comprehension; must be re-skinned (color, type, shape) or it reads Google-template","material|elevation|systematic|radius-soft|shadow-soft|density-airy",2026-07-04
UX137,Depth & Material,"Skeuomorphic accents — selective real-world texture: a leather nav, paper cards, physical switches — on otherwise flat bones","Products with a strong physical-world metaphor (reading, music, journaling) wanting warmth","System-wide application — full skeuomorphism died for maintenance and density reasons; accents only","One textured signature element creates huge memorability (UX048 energy); textures need retina-quality assets and dark-mode variants, real production cost","skeuomorphic|texture|metaphor|radius-soft|shadow-soft",2026-07-04
UX138,Structural,"Bento grid — dashboard-of-cards composition: mixed-size rounded tiles in a tight lattice, each tile one fact/feature","Feature overviews, personal sites, and product pages summarizing heterogeneous content","Linear narratives — bento fragments storytelling into disconnected boxes by design","Handles wildly mixed content gracefully and reads current; risks Apple-keynote sameness unless tile contents get real art direction individually","bento|grid|tiles|radius-soft|shadow-flat|density-tight",2026-07-04
UX139,Structural,"Data-dense dashboard — information-first: tabular figures, sparklines, tight line-height, minimal chrome, every pixel earns rent","Trading, analytics, ops tooling, and power-user products where density is the feature","Consumer onboarding or marketing — density before trust is built reads as overwhelm","Experts genuinely prefer it and it signals seriousness; demands typographic precision (tabular nums, aligned columns) or density becomes noise","data-dense|dashboard|power-user|radius-soft|shadow-none|border-hairline|density-tight",2026-07-04
