id,category,check,description,why_it_matters,severity,tags,last_verified
SEC036,Process,"A data-flow diagram exists for any feature handling sensitive data","Before implementation, sketch what data enters the system, where it's stored, what transforms it, and what it leaves as — even a whiteboard-level diagram, not a formal document","You can't reason about spoofing/tampering/disclosure risks for data flows you haven't actually mapped out — this is the prerequisite step for everything else in this checklist","High","data-flow|threat-modeling|process",2026-07-03
SEC037,STRIDE — Spoofing,"Every actor/system in the data flow has its identity verified appropriately","For each entity that sends data into the system (a user, another service, a webhook sender), confirm what mechanism proves it is who it claims to be","An unverified sender identity means anything downstream that trusts 'who sent this' is trusting an assumption, not a verified fact","Critical","spoofing|stride|identity-verification",2026-07-03
SEC038,STRIDE — Spoofing,"Webhook senders are verified via signature, not just source IP or a shared secret in the URL","Inbound webhooks (Stripe, Shopify, etc.) are verified using the provider's HMAC signature scheme, not trust-by-obscurity (a hard-to-guess URL) or IP allowlisting alone","IP allowlists can be spoofed or become stale, and a URL is not a secret once logged anywhere (browser history, proxy logs, referrer headers) — signature verification is the only reliable authenticity check","Critical","webhooks|spoofing|signature-verification",2026-07-03
SEC039,STRIDE — Tampering,"Data integrity verified for anything that crosses an untrusted boundary","Data received from the client (form submissions, API payloads) or from a third party is validated for both shape (schema) and business-rule integrity (e.g. a price the client claims can't simply be trusted) before use","A client can send any value it wants regardless of what the UI allows — server-side integrity checks are the only real trust boundary, not client-side validation","Critical","tampering|stride|data-integrity",2026-07-03
SEC040,STRIDE — Tampering,"Client-supplied prices/quantities/totals are never trusted for payment processing","Payment amounts are computed/verified server-side from the actual order contents in the database, never taken directly from a client-supplied total field","A tampered client-side price is one of the most direct ways an attacker can under-pay for goods/services if the server trusts a client-supplied amount","Critical","tampering|payments|price-manipulation",2026-07-03
SEC041,STRIDE — Tampering,"Audit trail exists for modifications to sensitive records","Changes to sensitive data (user roles, payment records, admin settings) are logged with who changed what and when, ideally in an append-only fashion","Without a tamper-evident audit trail, detecting and investigating unauthorized modification after the fact is far harder — this pairs with SEC026/SEC041's logging requirements","High","tampering|audit-trail|stride",2026-07-03
SEC042,STRIDE — Repudiation,"Actions with real-world consequence are attributable to a specific authenticated principal","Money movements, data deletions, and privilege changes are logged against the specific user/service account that performed them, not just 'the system did X'","Without clear attribution, a disputed action (a user claiming 'I didn't do that') can't be resolved, and internal misuse is harder to detect and hold accountable","High","repudiation|stride|attribution",2026-07-03
SEC043,STRIDE — Repudiation,"Logs are protected from post-hoc modification by the actors they record","Application logs and audit trails are written to a system the logged actor (including an admin) can't retroactively edit or delete from their own access level","A tamperable audit log doesn't actually solve repudiation — an insider threat with access to modify logs can rewrite the record of their own actions","Medium","repudiation|log-integrity|stride",2026-07-03
SEC044,STRIDE — Information Disclosure,"Data exposure mapped explicitly per API response, not assumed minimal","For each endpoint, explicitly list what fields it returns and confirm none are unintentionally over-exposed (e.g. an internal cost field alongside a public price field)","API responses often over-fetch and return more than the frontend actually uses, silently exposing internal data to anyone who inspects network traffic — this needs an explicit check, not an assumption","High","information-disclosure|api-response|stride",2026-07-03
SEC045,STRIDE — Information Disclosure,"Error messages reviewed for what they reveal about system internals","Beyond the general 'no stack traces in production' rule (SEC016), review specific error messages for information leakage — e.g. 'email not found' vs 'invalid credentials' on a login form reveals whether an email is registered","Small information leaks (user enumeration via differing error messages) compound into meaningful reconnaissance value for an attacker planning a targeted attack","Medium","information-disclosure|error-messages|user-enumeration",2026-07-03
SEC046,STRIDE — Denial of Service,"Resource-intensive operations are rate-limited or queued, not directly exposed","Any endpoint triggering expensive work (report generation, bulk export, complex search) is rate-limited per user and/or moved to an async job (BE051) rather than processed synchronously on every request","An unprotected expensive endpoint is a trivial denial-of-service vector — a handful of concurrent requests can exhaust server resources for all users","High","dos|rate-limiting|stride",2026-07-03
SEC047,STRIDE — Denial of Service,"No unbounded loops or recursive operations driven by user input","Pagination, recursive data structures (nested comments, category trees), and batch operations have an enforced maximum depth/size driven by server-side limits, not just client-side assumptions","User-controlled unbounded operations (a maliciously deep comment thread, an unbounded batch size) can degrade or crash the service even without deliberate high-volume traffic","Medium","dos|unbounded-operations|stride",2026-07-03
SEC048,STRIDE — Elevation of Privilege,"Role/permission checks happen server-side at the point of action, not derived from a client-supplied role claim alone","The server independently verifies the acting user's actual current role/permissions from its own source of truth at the moment of the action, rather than trusting a role value the client sent or a stale cached claim","A client-supplied or stale role claim can be tampered with or simply out of date — the server's own authoritative check at action time is the only reliable enforcement point","Critical","privilege-escalation|stride|authorization",2026-07-03
SEC049,STRIDE — Elevation of Privilege,"Mass assignment / over-posting prevented on update endpoints","Update endpoints only accept and apply the specific fields intended to be user-editable (an explicit allowlist), not every field present in the request body (e.g. a user updating their profile can't also set their own isAdmin field)","Mass assignment vulnerabilities let an attacker set fields they were never intended to control simply by including them in a request body that the server naively applies wholesale","Critical","mass-assignment|over-posting|stride",2026-07-03
SEC050,Trust Boundaries,"Trust boundaries explicitly identified between frontend, backend, third parties, and infrastructure","The team can articulate, for a given feature, exactly where 'trusted' data becomes 'untrusted' as it crosses each of these boundaries — not just implicitly assume the whole system is one trust zone","Every threat above depends on correctly identifying where trust boundaries actually are — a feature reviewed without this mapping tends to miss the specific boundary where a real vulnerability lives","High","trust-boundaries|threat-modeling",2026-07-03
SEC051,Trust Boundaries,"Internal service-to-service calls are still authenticated, not implicitly trusted by network location","Services calling each other inside the same VPC/network are still authenticated (mTLS, service tokens, or similar) — 'it's on the internal network' is not treated as sufficient authorization on its own","Network-location-based trust breaks down the moment any part of the internal network is compromised (a vulnerable dependency, a misconfigured service) — an attacker who lands inside the perimeter shouldn't get free rein","High","zero-trust|service-to-service|trust-boundaries",2026-07-03
SEC052,Third-Party Risk,"Third-party libraries with code-execution capability reviewed before adoption","A new dependency, especially one with broad permissions or that executes arbitrary code (build plugins, CLI tools run in CI), is reviewed for maintainer trustworthiness and scope before being added","A compromised or malicious dependency has the same execution context as your own code — supply-chain attacks via popular package registries are an established, growing attack vector","Medium","supply-chain|dependency-review|third-party-risk",2026-07-03
SEC053,Third-Party Risk,"Third-party SDKs embedded client-side are scoped to minimum necessary data access","Analytics, chat widgets, and other client-embedded third-party scripts are configured to collect/access only what's actually needed, and their network requests are periodically reviewed","A client-embedded third-party script runs with the same DOM/data access as your own frontend code — overly broad third-party access is a data-exposure risk independent of any vulnerability in your own code","Medium","third-party-sdk|client-side|data-minimization",2026-07-03
SEC054,Prioritization,"Threats prioritized by realistic likelihood × impact, not treated uniformly","After identifying threats via the categories above, rank them by actual likelihood and business impact rather than treating every theoretical threat as equally urgent to address","Not every identified threat deserves the same remediation urgency — a threat modeling exercise that produces an unprioritized wall of findings tends to result in nothing getting fixed rather than the highest-risk items getting fixed first","Medium","prioritization|risk-assessment|threat-modeling",2026-07-03
SEC055,Prioritization,"Threat model revisited when the feature's data flow changes materially","A threat model isn't a one-time document — when a feature's data flow changes significantly (a new third-party integration, a new user role, a new data type collected), the threat model is revisited","A stale threat model that no longer reflects the actual system gives false confidence — the discipline of revisiting it is what keeps it useful over the feature's lifetime","Medium","threat-model-maintenance|process",2026-07-03
