id,category,check,description,why_it_matters,severity,tags,last_verified
ADS021,Pixel/CAPI Health,"Meta Pixel and Conversions API (CAPI) both implemented, with event deduplication via event_id","Both browser-side Pixel and server-side CAPI fire for the same events, deduplicated via a shared event_id so the same conversion isn't double-counted","This is the direct Meta-specific application of `ads-server-side-tracking` principles — CAPI recovers signal lost to ad blockers and ITP/cookie restrictions, but only pays off if deduplication is correctly implemented (otherwise it inflates reported conversions)","Critical","capi|pixel|deduplication",2026-07-03
ADS022,Pixel/CAPI Health,"Event Match Quality (EMQ) score reviewed and optimized, not ignored","Meta's Event Match Quality diagnostic (found in Events Manager) is checked periodically, and match-quality-improving fields (hashed email, phone, external_id) are added where missing","Higher EMQ directly improves Meta's ability to attribute conversions to the right user, which improves both optimization quality and reported accuracy — an ignored low EMQ score silently degrades performance","High","emq|event-match-quality|capi",2026-07-03
ADS023,Pixel/CAPI Health,"Standard events used correctly (Purchase, Lead, CompleteRegistration) matching actual funnel stages","Standard Meta events are mapped to their actual corresponding business action, not misused (e.g. firing Purchase on a page view, or never firing a genuine Lead event for a lead-gen business)","Advantage+ and campaign optimization rely on accurate standard event signals — misused events degrade optimization quality the same way inaccurate conversion actions do in Google Ads (`ADS001`)","Critical","standard-events|conversion-mapping",2026-07-03
ADS024,Creative Strategy,"Multiple distinct creative concepts tested per ad set, not near-duplicate variations","Ad creative variations within a campaign represent genuinely different concepts/angles (not just color or headline tweaks of the same underlying creative), supporting Andromeda/Entity-ID-era retrieval which rewards genuine diversity","In the current Andromeda-era delivery system, creative diversity itself is a signal the system uses for retrieval — near-duplicate variations don't provide the diversity the algorithm can meaningfully use","High","creative-diversity|andromeda|entity-id",2026-07-03
ADS025,Creative Strategy,"Creative refreshed before fatigue sets in, monitored via frequency and CTR decline","Ad creative is monitored for fatigue signals (rising frequency, declining CTR/CPA over time within a stable audience) and refreshed proactively rather than left running until performance visibly collapses","Creative fatigue is one of the most common, preventable causes of gradually declining Meta ad performance — catching it via leading indicators (frequency, CTR trend) is cheaper than reacting after CPA has already spiked","High","creative-fatigue|frequency|performance-monitoring",2026-07-03
ADS026,Creative Strategy,"Platform-native creative formats used (vertical video for Reels/Stories, not repurposed horizontal video)","Creative assets are produced or adapted specifically for the placement/format they'll run in (vertical 9:16 for Reels/Stories, square/vertical for Feed) rather than a single horizontal video reused everywhere","Platform-native-feeling content consistently outperforms visibly repurposed content across Meta's short-form video placements — this is both a creative-quality and a technical-spec issue","High","platform-native|vertical-video|creative-specs",2026-07-03
ADS027,Advantage+ Campaigns,"Advantage+ Shopping/App campaigns given accurate creative and audience signal inputs, not launched with minimal setup","Advantage+ automated campaign types are launched with genuine creative diversity and accurate catalog/conversion data, since these campaigns lean heavily on automation and need good inputs to optimize well","Advantage+ campaigns are 'creative-as-targeting' by design — the automation's targeting quality is bottlenecked by creative input quality far more than in traditional manual-targeting campaigns","High","advantage-plus|automation|creative-as-targeting",2026-07-03
ADS028,Advantage+ Campaigns,"Campaign objective (Sales/Leads/App) matches actual business goal, not defaulted to whatever was pre-selected","The campaign objective selected at creation genuinely matches the business's actual conversion goal, reviewed deliberately rather than left at a default that happened to be pre-selected in the campaign creation flow","Objective selection determines what Meta's delivery system optimizes toward at a fundamental level — a mismatched objective (e.g. Traffic instead of Sales for an e-commerce account) optimizes toward the wrong outcome entirely regardless of how well everything else is configured","Critical","campaign-objective|asc|aac",2026-07-03
ADS029,Account Structure,"Consolidated campaign/ad set structure (fewer, larger ad sets) rather than heavy fragmentation","Ad sets are structured to concentrate conversion volume (fewer, larger ad sets) rather than heavily fragmented by narrow audience/placement combinations, mirroring the Smart-Bidding-era Google Ads guidance (`ADS005`)","Meta's delivery system, like Google's, needs sufficient conversion volume per ad set to exit the learning phase and optimize effectively — fragmentation starves each ad set of the data needed for good delivery","High","account-structure|consolidation|learning-phase",2026-07-03
ADS030,Account Structure,"Learning phase respected — major changes not made repeatedly before an ad set exits it","Significant edits to an ad set (budget, audience, creative) are avoided during the learning phase (Meta's own diagnostic flags this) since each significant edit resets learning","This mirrors `ADS013`'s Google Ads guidance — repeatedly resetting the learning phase produces consistently mediocre, never-optimized delivery","High","learning-phase|ad-set-edits|patience",2026-07-03
ADS031,Audience Targeting,"Broad or Advantage+ audience targeting used as the default, narrow manual targeting reserved for specific tested reasons","Audience targeting defaults to broad/Advantage+ audiences (Meta's current recommended default, leaning on creative and signal quality to find the right users) rather than heavily narrowed manual interest/demographic targeting by default","Meta's delivery system has consistently shown broad targeting outperforming narrow manual targeting when creative and conversion signal quality are strong — narrow targeting artificially constrains the algorithm's ability to find the best-converting users","Medium","broad-targeting|advantage-audience|targeting-strategy",2026-07-03
ADS032,Audience Targeting,"Retargeting audiences excluded from prospecting campaigns to avoid budget overlap","Custom audiences of recent converters/high-intent visitors are excluded from broad prospecting campaigns so budget isn't spent re-targeting people already captured by a dedicated retargeting campaign","Overlap between prospecting and retargeting campaigns without exclusions means both campaigns compete for the same users, muddying attribution and potentially wasting prospecting budget on already-converted users","Medium","audience-overlap|retargeting|exclusions",2026-07-03
ADS033,Compliance,"Ad copy and creative comply with Meta's advertising policies (health, financial, housing/employment restrictions)","Ads in regulated categories (health claims, financial services, housing, employment, credit) follow Meta's specific policy restrictions for that category, including any required Special Ad Category settings","Policy violations in these categories range from ad rejection to account-level restrictions — Special Ad Category housing/employment/credit ads specifically have targeting restrictions (no age/gender/zip targeting) that must be configured correctly, not just avoided in copy","High","ad-policy|special-ad-category|compliance",2026-07-03
ADS034,Budget & Bidding,"Bid strategy and budget align with actual conversion volume needed to exit learning phase","Daily budget is set high enough relative to target CPA/ROAS that the ad set can realistically generate the ~50 conversions/week commonly cited as needed to exit the learning phase","An underfunded ad set relative to its CPA target can spend indefinitely without ever generating enough conversion volume to optimize properly — this is a root-cause diagnosis worth checking before concluding an audience/creative isn't working","High","budget-allocation|learning-phase|bid-strategy",2026-07-03
