id,category,check,description,why_it_matters,severity,tags,last_verified
AI028,Prompt Injection,Treat all user and retrieved content as untrusted,"Never concatenate user input or RAG documents into the instruction role. Keep instructions in the system prompt, data in user/content blocks, and state explicitly that embedded instructions in data must not be followed.",Prompt injection is the #1 LLM attack (OWASP LLM01); instruction/data mixing is how it happens,Critical,prompt-injection|owasp-llm01|untrusted-input,2026-07-03
AI029,Prompt Injection,Defend against indirect injection via RAG and web content,"Any document, email, or webpage the model reads can carry hostile instructions. Sanitize retrieved content, wrap it in clearly-delimited data blocks, and never let retrieved text trigger tool calls without validation.",Attackers poison the data you retrieve rather than the prompt they can't reach,Critical,indirect-injection|rag|untrusted-content,2026-07-03
AI030,Output Handling,Never render or execute raw model output,"Treat completions as untrusted user input: sanitize markdown/HTML before rendering (no dangerouslySetInnerHTML), never eval generated code server-side, and parameterize any SQL the model produces.",Model output driven by attacker input is an XSS/injection vector into your own app (OWASP LLM02),Critical,output-handling|xss|owasp-llm02,2026-07-03
AI031,Tool Security,Scope tools to least privilege with confirmation gates,"Each tool gets the minimum capability: read-only where possible, row-level scoping to the requesting user, and human confirmation for destructive or irreversible actions (delete, send, pay).",A hijacked model is only as dangerous as the tools it can call (OWASP LLM06),Critical,tools|least-privilege|excessive-agency,2026-07-03
AI032,Data Protection,Enforce access control in retrieval not in the prompt,"Filter RAG results by the requesting user's permissions at query time (RLS or query filters). Telling the model 'only discuss documents the user can access' is not access control.",Retrieval that ignores permissions leaks other tenants' data through helpful answers,Critical,rag|access-control|rls|multi-tenant,2026-07-03
AI033,Data Protection,Keep secrets out of prompts entirely,"API keys, connection strings, and internal URLs never belong in system prompts or few-shot examples. Assume every prompt is extractable by a determined user.",System prompts are routinely exfiltrated; anything in them is public,High,secrets|system-prompt|exfiltration,2026-07-03
AI034,Data Protection,Minimize and redact PII in prompts and logs,"Send only the user data the task needs; redact identifiers where the task allows. Apply the same discipline to prompt/completion logging — logs become a second copy of your most sensitive data.",Prompt logs are a breach amplifier and a KVKK/GDPR retention liability,High,pii|redaction|logging|gdpr,2026-07-03
AI035,Abuse Prevention,Per-user rate limits and spend caps,"Rate-limit AI endpoints per authenticated user (not just per IP), cap max_tokens per request, and set a per-user and global daily spend budget with alerts.",Unmetered LLM endpoints invite denial-of-wallet: attackers or bugs can burn the monthly budget in hours,High,rate-limiting|cost|denial-of-wallet,2026-07-03
AI036,Abuse Prevention,Bound the input before it reaches the model,"Enforce max input length, strip or reject binary/encoded blobs, and validate file uploads (type, size) before they enter a prompt.",Oversized or crafted inputs inflate cost and widen the injection surface,High,input-validation|limits,2026-07-03
AI037,Output Handling,Validate structured output against schema and business rules,"Parse tool-use/JSON output against the schema, then validate business constraints (ranges, ownership, state transitions) before acting on it — schema-valid is not safe.",Acting on unvalidated model output turns hallucinations into real writes and real money,High,structured-output|validation,2026-07-03
AI038,Reliability,Fail closed when the model or a guardrail errors,"If the moderation layer, permission check, or model call fails, the feature degrades to refusal or a safe default — never to 'skip the check and proceed'.",Availability incidents must not silently become security incidents,High,fail-closed|guardrails|resilience,2026-07-03
AI039,Monitoring,Log and monitor for misuse patterns,"Track refusal rates, repeated jailbreak-shaped inputs, anomalous per-user volume, and tool-call patterns. Alert on spikes; review flagged conversations under your privacy policy.",Attacks iterate; without telemetry the first sign of trouble is the invoice or the breach,Medium,monitoring|jailbreak|telemetry,2026-07-03
AI040,Data Governance,Define retention and deletion for prompts and completions,"Decide how long conversation data lives, honor user deletion requests end-to-end (DB + logs + caches + vendor settings), and document the model provider's data-use terms.",Conversation data is user data; KVKK/GDPR deletion rights apply to it fully,Medium,retention|deletion|gdpr|kvkk,2026-07-03
AI041,Data Governance,Govern what enters the RAG corpus,"Review and source-tag documents before indexing; re-scan on update; keep an index-rebuild path so poisoned or stale content can be evicted quickly.",The corpus is executable-ish input to your product — treat additions like code contributions,Medium,rag|corpus|poisoning|governance,2026-07-03
AI042,Supply Chain,Pin SDK versions and verify provider endpoints,"Pin the Anthropic/AI SDK version, review changelogs on upgrade, call only official API endpoints, and keep API keys in the secrets manager with rotation.",AI SDKs and proxy endpoints are a fresh supply-chain surface with privileged credentials,Medium,supply-chain|sdk|api-keys,2026-07-03
AI043,User Trust,Design for hallucination in high-stakes domains,"For legal/medical/financial answers: ground responses in citations, show sources, add human review where errors harm users, and say so when confidence is low.",Confident wrong answers in high-stakes domains are a product and liability failure not just a UX one,Medium,hallucination|citations|high-stakes,2026-07-03
