id,category,check,description,why_it_matters,severity,tags,last_verified
SEO001,Crawlability,"robots.txt exists and doesn't block important content","robots.txt is present at the domain root and its Disallow rules are reviewed to confirm they don't accidentally block pages meant to be indexed","A single overly broad Disallow rule (e.g. blocking /app/ when marketing pages live under it) can deindex an entire site section without any other symptom","Critical","robots-txt|crawlability",2026-07-03
SEO002,Crawlability,"XML sitemap exists, is submitted to Search Console, and stays current","A sitemap.xml lists canonical URLs meant to be indexed, is referenced in robots.txt, submitted via Search Console, and regenerated automatically as pages are added/removed","A stale or missing sitemap slows discovery of new pages and can leave removed pages appearing findable long after they're gone","High","sitemap|indexation",2026-07-03
SEO003,Crawlability,"No orphan pages — every indexable page reachable via internal links","Pages meant to be indexed are reachable through the site's own internal link structure, not only via the sitemap","Search engines weight internal-link-discovered pages differently than sitemap-only pages, and orphan pages get proportionally less crawl attention and less inherited authority","Medium","orphan-pages|internal-linking",2026-07-03
SEO004,Crawlability,"Crawl budget not wasted on low-value URL patterns (faceted navigation, session IDs, infinite filters)","Faceted/filtered navigation and any parameter-driven URL variants are controlled via canonical tags, robots rules, or noindex so crawlers don't spend budget on near-duplicate variants","On large sites, crawl budget genuinely constrains how often important pages get recrawled — wasting it on thousands of filter-combination URLs starves the pages that matter","Medium","crawl-budget|faceted-navigation",2026-07-03
SEO005,Indexability,"No unintentional noindex tags on pages meant to rank","Every page meant to be indexed is checked for an accidental noindex meta tag or X-Robots-Tag header, especially after a staging-to-production deploy","A noindex left over from a staging environment or a CMS default is one of the most common, highest-severity real-world SEO incidents — silent and easy to miss","Critical","noindex|deployment-risk",2026-07-03
SEO006,Indexability,"Canonical tags point to the correct self-referencing or intended URL","Every indexable page has a canonical tag, either self-referencing or pointing deliberately at the preferred version among near-duplicates (with/without trailing slash, http/https, www/non-www)","Missing or incorrect canonicals cause duplicate-content dilution — search engines may index the wrong URL variant or split ranking signals across near-duplicates","High","canonical-tags|duplicate-content",2026-07-03
SEO007,Indexability,"URL parameters handled consistently (canonical, or parameter handling in Search Console)","Tracking parameters, sort/filter parameters, and session identifiers either canonicalize to the clean URL or are explicitly configured in Search Console's parameter handling","Unmanaged parameters multiply the number of near-duplicate URLs search engines encounter, diluting crawl budget and ranking signals across variants","Medium","url-parameters|duplicate-content",2026-07-03
SEO008,Redirects,"301 (permanent) redirects used for moved content, not 302","Content that has permanently moved uses a 301 status code; 302 is reserved for genuinely temporary redirects","A 302 used for a permanent move doesn't reliably pass ranking signal the way a 301 does — this is a common mistake that quietly suppresses ranking transfer after a URL change","High","redirects|301-vs-302",2026-07-03
SEO009,Redirects,"No redirect chains longer than one hop","A redirects directly to its final destination, not through two or three intermediate redirects","Each additional hop adds latency (hurting Core Web Vitals) and some link-equity loss is commonly observed through long redirect chains","Medium","redirect-chains|performance",2026-07-03
SEO010,Redirects,"No redirect loops","No URL redirects to itself or forms a cycle with another URL","A redirect loop makes the page completely inaccessible to both users and crawlers — an unambiguous critical bug when found","Critical","redirect-loops|crawlability",2026-07-03
