id,category,check,description,why_it_matters,severity,tags,last_verified
IN023,Correctness,No hardcoded strings left in UI components,Grep for literal user-facing strings outside the message-file system before considering a locale-ready page done since component libraries and error boundaries are the most commonly missed spots,A single hardcoded string breaks the fully-translated promise the moment that code path runs for a non-default locale,High,hardcoded-strings|coverage|qa,2026-07-03
IN024,Correctness,hreflang tags validated against the actual sitemap,Every hreflang alternate resolves to a real indexable URL that itself declares the reciprocal hreflang back validated with a crawler or the SEO module's technical checks rather than assumed correct,Broken hreflang reciprocity is invisible in the UI but actively misdirects search engines to the wrong regional page,High,hreflang|validation|seo,2026-07-03
IN025,Correctness,No IP-based or browser-only forced locale redirect,Locale is detected and offered never force-redirected without an override the user can change and that persists confirming a visitor can still reach another language version as an explicit choice,Force-redirecting on IP or browser locale can hide entire locale versions from crawlers and trap users,Critical,forced-redirect|seo|user-choice,2026-07-03
IN026,UI Layout,Text expansion room verified for longer languages,German Finnish and Russian UI strings commonly run thirty to one hundred percent longer than English so buttons nav labels and form fields are tested with real translated content rather than English-length placeholders,Layouts only tested in English silently break the moment a real locale ships,Medium,text-expansion|layout|testing,2026-07-03
IN027,Grammar,Plural and gender rules handled via ICU categories not conditionals,Verify translated strings use the library's plural or select syntax rather than a hardcoded two-way conditional that assumes English's plural rules,Languages with more than two plural categories produce grammatically broken output under a naive English-shaped conditional,High,pluralization|grammar|icu,2026-07-03
IN028,Formatting,Dates numbers and currency rendered via the Intl API not manual string building,No hand-rolled date formatting or manual thousand-separator insertion anywhere in the codebase with Intl.DateTimeFormat and Intl.NumberFormat used universally,Manually formatted dates and numbers are wrong by default outside the developer's own locale,High,formatting|intl-api|dates|numbers,2026-07-03
IN029,RTL,RTL rendering tested for every RTL locale shipped,If Arabic Hebrew or Farsi ship the full page gets visual QA in RTL mode rather than assuming logical properties cascade correctly everywhere since custom components and third-party widgets are common holdouts,Partial RTL support where text flips but icons or layout do not reads as broken rather than imperfect to native RTL readers,Medium,rtl|visual-qa|testing,2026-07-03
IN030,Fallback Behavior,Missing translation keys degrade to the fallback locale never a raw key,Confirm the message library is configured to fall through the defined chain to a real language on a missing key since a raw key visible in production is a released bug not a translation gap,Raw keys leaking into production UI are one of the most visible and embarrassing i18n failures and easy to prevent with fallback config,High,fallback|missing-keys|configuration,2026-07-03
IN031,Process,Translation coverage tracked per locale before launch,A simple coverage report showing the percentage of keys translated per locale generated from the message files or TMS is reviewed before adding a new locale to production routing,Shipping a locale at partial coverage without knowing it is how raw keys and English fallback text end up live for paying users,Medium,coverage|process|launch-readiness,2026-07-03
IN032,Metadata,Page titles meta descriptions and OG tags translated per locale,Confirm the title tag meta description and Open Graph tags are generated from the same localized content system as the page body rather than left in the default locale for every page,Untranslated metadata is what shows in search results and social shares which is the exact surface a non-native-language visitor sees first,Medium,metadata|og-tags|seo,2026-07-03
IN033,Testing,Pseudo-localization used in CI to catch untranslatable strings early,A pseudo-locale with accented and expanded placeholder text is run through the UI in CI or preview builds to catch concatenation truncation and hardcoded-string issues before real translations exist,Catches structural i18n bugs automatically instead of waiting for the first real locale to surface them,Low,pseudo-localization|ci|testing,2026-07-03
IN034,Legal,Locale-specific legal and consent text reviewed by someone competent in that market,Terms privacy notices and consent banners for each shipped locale get a review pass by a native or fluent speaker with market context rather than machine translation alone,A mistranslated consent banner can itself be a compliance failure not just an embarrassing one,High,legal|compliance|review|launch-gate,2026-07-03
