id,category,check,description,why_it_matters,severity,tags,last_verified
SEO058,Experience,"Content demonstrates first-hand experience where relevant (reviews, tutorials, comparisons)","For content types where firsthand experience matters (product reviews, how-to guides, comparisons), the content shows evidence of actual use/testing rather than purely synthesized/researched information","This is the 'Experience' addition to E-A-T that Google's guidelines specifically call out — content demonstrating genuine hands-on experience is treated as a distinct, valuable signal from purely well-researched-but-secondhand content","High","experience|eeat|firsthand-content",2026-07-03
SEO059,Experience,"Original photos/media used for experience-based content, not stock imagery","Reviews and hands-on content include original photos/video of the actual product/process rather than manufacturer stock images","Original media is a strong, hard-to-fake experience signal — both for search engines and for reader trust, since stock imagery on a 'review' visibly undermines its credibility","Medium","original-media|eeat|trust-signals",2026-07-03
SEO060,Expertise,"Author bylines identify a real person with relevant credentials","Content, especially YMYL (Your Money or Your Life) topics like health/finance/legal, is attributed to a named author with a bio establishing relevant expertise","Anonymous or generic 'Admin' bylines are a weak trust signal, particularly for topics where incorrect information could cause real harm — this is one of the most consistently emphasized E-E-A-T factors for YMYL content","Critical","author-bylines|eeat|ymyl",2026-07-03
SEO061,Expertise,"Author bio pages exist and are linked from every article","Each author has a dedicated bio page (credentials, other published work, relevant background) linked from their byline on every piece they've written","A byline name with no accessible bio page provides no way for a reader (or a search engine evaluating expertise signals) to verify the claimed expertise","Medium","author-pages|eeat",2026-07-03
SEO062,Authoritativeness,"Site/author is cited or linked by other reputable sources in the topic area","The site or its authors are referenced, linked, or cited by other credible sources within the same topic domain, not existing in isolation","External validation from other authoritative sources in the same field is a core authoritativeness signal that's difficult to fabricate and correspondingly valuable when genuinely earned","High","authoritativeness|external-validation|backlinks",2026-07-03
SEO063,Authoritativeness,"About/company page clearly establishes who is behind the site and why they're credible on this topic","An About page (or equivalent) explains the organization/individual's background, credentials, and connection to the topics covered","This is a foundational trust signal that both users and search engines' quality raters explicitly evaluate — a site with no discoverable answer to 'who made this and why should I trust them' underperforms on trust-dependent topics","Medium","about-page|authoritativeness|trust",2026-07-03
SEO064,Trustworthiness,"Contact information and business details are genuine and verifiable","A real contact method (address, phone, email — appropriate to the business type) is present and accurate, not obscured or missing","This overlaps directly with local SEO/NAP consistency and is a basic trust signal — its absence is disproportionately noticed on YMYL and e-commerce sites specifically","High","contact-info|trustworthiness|nap",2026-07-03
SEO065,Trustworthiness,"Claims backed by citations/sources where appropriate, especially statistics and factual claims","Statistical claims, factual assertions, and non-obvious claims link to or cite their original source rather than being stated as unsupported assertions","Unsupported factual claims are both a trust liability and increasingly scrutinized as AI-generated content (which can hallucinate confident-sounding but unsupported claims) has become more common","High","citations|fact-checking|trustworthiness",2026-07-03
SEO066,Trustworthiness,"Reviews/testimonials are genuine, not fabricated or incentivized without disclosure","Displayed reviews and testimonials are real, and any incentivized reviews (free product, payment) are disclosed per applicable regulations (e.g. FTC guidelines)","Fabricated reviews are both an ethical and regulatory risk (FTC enforcement) and, when discovered, cause disproportionate trust damage relative to the ranking benefit they were meant to provide","Critical","reviews|disclosure|trustworthiness",2026-07-03
SEO067,Content Depth,"Content covers the full scope of what a knowledgeable searcher would expect, not a narrow slice","Comprehensive content addresses the natural sub-questions and related considerations a topic raises, rather than answering only the literal query and stopping","Depth relative to genuine user need (not artificial word-count padding) is a strong quality signal — the goal is completeness of value, not length for its own sake","High","content-depth|comprehensiveness",2026-07-03
SEO068,Content Freshness,"Content is reviewed and updated periodically, especially for time-sensitive topics","Content on topics that change over time (pricing, regulations, best practices, product details) is reviewed on a defined cadence and updated with genuine changes, not just a bumped date","Stale content on a changing topic is both a user-trust liability (outdated information) and a ranking liability as search engines favor demonstrably current information for time-sensitive queries","Medium","content-freshness|maintenance",2026-07-03
SEO069,Content Freshness,"Outdated/incorrect content is updated or removed, not left indefinitely","Content later found to be inaccurate or obsolete is corrected or removed/redirected rather than left live and unaddressed","Accumulating outdated content across a large site both actively misleads users and, in aggregate, can affect a site's overall perceived quality and trustworthiness","Medium","content-audit|accuracy",2026-07-03
SEO070,AI Content Quality,"AI-assisted content is edited for accuracy, originality, and genuine value, not published unedited","Content produced with AI assistance goes through human review confirming factual accuracy, adding genuine perspective/experience, and removing generic filler before publishing","Unedited, generic AI output is both a quality-signal risk and increasingly detectable as a pattern — the fix is not avoiding AI tools, it's ensuring the published result has genuine editorial value added","High","ai-content|editorial-review|quality",2026-07-03
