id,category,check,description,why_it_matters,severity,tags,last_verified
SEC076,Authentication,"Every endpoint's auth requirement explicitly declared, defaulting to required","API routes explicitly declare whether they require authentication, with the default for new routes being 'auth required' — public endpoints are an explicit, reviewed opt-out, not the default","This is the API-specific restatement of default-deny (SEC003) — an API with dozens of routes needs this to be structural, not remembered per-route","Critical","authentication|default-deny|api",2026-07-03
SEC077,Authorization,"Object-level authorization checked on every request touching a specific resource ID","Beyond confirming the caller is authenticated, every request referencing a specific resource ID (order, document, user) verifies the caller is authorized for that specific instance — this is the API-specific form of IDOR (SEC002)","This is consistently ranked as the top API-specific vulnerability class in industry API security research — broad authentication without per-object authorization leaves every ID-based endpoint exploitable","Critical","broken-object-level-authorization|bola|api",2026-07-03
SEC078,Authorization,"Function-level authorization enforced for admin/privileged API operations","Endpoints performing privileged operations (user management, data export, configuration changes) verify the caller's role/permission at the function level, not just that they're logged in","A regular authenticated user hitting an admin endpoint directly (bypassing a hidden UI element) should be rejected server-side — this is distinct from and in addition to object-level checks","Critical","broken-function-level-authorization|bfla|api",2026-07-03
SEC079,Data Exposure,"API responses return only the fields the consumer actually needs, not a full internal object dump","Response serializers/DTOs explicitly define what's returned rather than serializing an entire internal model/ORM object, which tends to over-expose internal fields as the model evolves","Excessive data exposure is a common, easy-to-introduce API vulnerability — a new internal field added to a model automatically leaks through any endpoint that naively serializes the whole object","High","excessive-data-exposure|api-response|dto",2026-07-03
SEC080,Mass Assignment,"Update/create endpoints use an explicit allowlist of user-editable fields","This is the API-security restatement of SEC049 — request bodies are mapped to only the specific fields intended to be user-settable, never bound directly to a full model with all fields writable","An API accepting a full object body and blindly applying every field to a model lets an attacker set fields (role, isAdmin, verified status) that were never meant to be client-controlled","Critical","mass-assignment|api-security",2026-07-03
SEC081,Rate Limiting,"Every public or resource-intensive endpoint is rate-limited","Rate limiting (BE063/BE064) is applied per API key/user/IP as appropriate, on every endpoint that's either public-facing or computationally/financially expensive to call repeatedly","Unlimited API resource consumption (calling an endpoint as fast as possible) enables both denial-of-service and cost-abuse (e.g. hammering an endpoint that triggers a paid third-party API call)","High","rate-limiting|resource-consumption|api",2026-07-03
SEC082,Rate Limiting,"Rate limits scoped appropriately (per-user, not just per-IP, for authenticated endpoints)","For authenticated endpoints, rate limiting considers the authenticated identity, not only source IP — otherwise a single user behind a shared/rotating IP evades the limit entirely, or multiple users behind one NAT are unfairly limited together","IP-only rate limiting is both bypassable (via IP rotation, common in real attacks) and unfair (penalizes legitimate users sharing an IP) — combine both signals for authenticated endpoints","Medium","rate-limiting|api-security",2026-07-03
SEC083,Input Validation,"Every request parameter validated for type, format, range, and length","API request validation (BE080) checks not just presence but type correctness, format (email, UUID, date), reasonable range/length bounds, and rejects anything outside that shape before business logic runs","Loose or absent validation is the entry point for injection attacks, unexpected application errors, and resource-exhaustion attacks (e.g. an unbounded string length field)","Critical","input-validation|api-security",2026-07-03
SEC084,Business Logic,"API-level business logic flaws reviewed, not just technical vulnerabilities","Beyond technical checks (injection, auth), the API is reviewed for logic flaws specific to the business domain — e.g. can a discount code be applied twice, can a quantity go negative, can a state transition skip required steps","Business logic vulnerabilities don't show up in automated scanners the way injection/XSS do — they require domain-aware review of what sequences of valid-looking API calls could produce an invalid or exploitable outcome","High","business-logic|api-security",2026-07-03
SEC085,Inventory,"A complete, current inventory of all API endpoints exists, including internal/deprecated ones","The team can enumerate every exposed endpoint (via OpenAPI docs, route introspection, or a maintained list), including ones no longer actively used by the current frontend","Shadow/undocumented/deprecated-but-still-live endpoints are a common finding in real API breaches — you can't secure or deprecate what you don't know still exists and is reachable","High","api-inventory|shadow-apis|attack-surface",2026-07-03
SEC086,Inventory,"Deprecated API versions are actually decommissioned, not left running indefinitely","When an API version is superseded, the old version is scheduled for and actually undergoes shutdown, rather than being left running 'just in case' with no active maintenance or security patching","An old API version left running unmaintained accumulates unpatched vulnerabilities over time while receiving less security attention than the current version — it's a growing risk with no corresponding benefit","Medium","api-versioning|deprecation|attack-surface",2026-07-03
SEC087,Resource Consumption,"Pagination enforced with a maximum page size, not client-controllable without bound","List endpoints enforce a server-side maximum on page size/limit parameters, regardless of what the client requests (see BE055/BE056)","A client-controlled unbounded limit parameter (?limit=999999999) can be used to force the server to load and serialize an enormous result set in one request, a straightforward resource-exhaustion vector","High","pagination|resource-exhaustion|api",2026-07-03
SEC088,Resource Consumption,"GraphQL query depth and complexity limited, if GraphQL is in use","GraphQL APIs enforce a maximum query depth and/or complexity score, rejecting deeply nested or overly broad queries before execution","GraphQL's flexible query shape makes deeply nested or overly broad queries an easy denial-of-service vector unique to this communication pattern — REST's fixed endpoint shape doesn't have this specific risk","High","graphql|query-complexity|dos",2026-07-03
SEC089,Webhooks & Callbacks,"Outbound webhook payloads don't include more sensitive data than the receiving party needs","Webhook payloads sent to third-party or client-configured endpoints are scoped to what's necessary for that integration, not a full internal object dump","An outbound webhook is effectively an API response sent to a URL you don't fully control the security of — the same data-minimization principle from SEC079 applies","Medium","webhooks|data-minimization|api-security",2026-07-03
SEC090,API Keys,"API keys transmitted only in headers, never in URL query parameters","API keys/tokens are sent via Authorization headers, never as a URL query parameter","URL query parameters are commonly logged (server access logs, browser history, proxy logs, Referer headers to third parties) — a credential there leaks through channels a header-based credential doesn't","High","api-keys|credential-exposure|transport",2026-07-03
