id,category,check,description,why_it_matters,severity,tags,last_verified
ADS051,Server-Side Tracking,"Server-side tagging (sGTM or platform-native CAPI/Events API) implemented for at least the top revenue-driving platforms","Server-side tag management or a platform-native server-side API (Meta CAPI, TikTok Events API, Google Enhanced Conversions) is in place for the platforms receiving the largest ad spend allocation","This is the single highest-leverage fix for tracking accuracy in the current privacy-restricted browser environment — prioritize the platforms with the most spend/decision-weight first if implementing incrementally","Critical","server-side-tracking|sgtm|capi",2026-07-03
ADS052,Server-Side Tracking,"Server-side hit ratio monitored as a health metric, not assumed complete once implemented","The proportion of events successfully received server-side (vs. lost entirely) is monitored on an ongoing basis, since server-side implementations can silently degrade (a broken deployment, an expired token) without an obvious symptom","An initially-correct server-side setup can silently break and no one notices until someone investigates a conversion-tracking discrepancy — proactive monitoring catches this before it distorts weeks of optimization decisions","High","server-side-hit-ratio|tracking-health|monitoring",2026-07-03
ADS053,Event Deduplication,"Every platform with both browser and server-side tracking has verified event deduplication","For every platform running dual browser+server tracking (Meta, TikTok, Google), deduplication (matching event_id or equivalent) is verified to actually work, not just assumed configured correctly","Undetected deduplication failure inflates reported conversions, which can look like a tracking win while actually corrupting every optimization and reporting decision downstream — this needs active verification, not launch-and-forget","Critical","deduplication|event-id|tracking-accuracy",2026-07-03
ADS054,PII Handling,"Personal data (email, phone) hashed before transmission to any ad platform, never sent in plaintext","Enhanced Conversions, CAPI, and Events API payloads hash PII (SHA-256, per each platform's specification) client- or server-side before transmission, never sending raw email/phone","This is both a platform requirement (payloads with unhashed PII are typically rejected or non-compliant) and a genuine privacy/security obligation — this is the ads-specific application of general PII-handling discipline from the Security module","Critical","pii-hashing|privacy|capi",2026-07-03
ADS055,Consent Management,"Consent Mode (or platform equivalent) implemented and correctly reflects actual user consent state","Google's Consent Mode v2 (or the equivalent mechanism for other platforms) is implemented so tracking behavior genuinely adjusts based on the user's actual cookie/tracking consent choice, not left in a default-allow or misconfigured state","Consent Mode misconfiguration is both a compliance risk (GDPR/ePrivacy and similar regulations) and, separately, actively degrades data quality if consent signals aren't being correctly respected and modeled","Critical","consent-mode|gdpr|compliance",2026-07-03
ADS056,Consent Management,"Consent Mode's modeled conversions understood and factored into performance interpretation, not treated as directly-observed data","Where Consent Mode's conversion modeling (statistical estimation for users who didn't consent) is active, this is understood as modeled rather than directly observed data when interpreting campaign performance","Treating modeled conversions with the same confidence as directly observed ones can lead to over-confident optimization decisions based on statistically estimated, not measured, outcomes","Medium","consent-mode|modeled-conversions|data-interpretation",2026-07-03
ADS057,Attribution Model,"Attribution model choice matches the actual customer journey length and complexity, not left at platform default without review","The attribution model used for reporting/optimization (data-driven, last-click, position-based) is deliberately chosen based on the account's actual typical path-to-conversion, not left unreviewed at whatever the platform defaulted to","A short, single-touch-typical customer journey and a long, multi-touch B2B journey need different attribution approaches to fairly credit what's actually driving conversions — a mismatched model can misattribute credit across channels/campaigns","High","attribution-model|data-driven-attribution|reporting",2026-07-03
ADS058,Attribution Model,"Data-Driven Attribution used where available and sufficient conversion volume exists to support it","Google's Data-Driven Attribution (or equivalent statistical model) is used over simpler rule-based models when the account has enough conversion volume for it to be statistically meaningful","DDA generally produces more accurate multi-touch credit distribution than fixed rule-based models, but needs sufficient data volume to be reliable — check both availability and adequacy of underlying data before assuming it's the right default","Medium","data-driven-attribution|statistical-modeling",2026-07-03
ADS059,Cross-Platform Attribution,"A cross-platform view of the customer journey exists (even approximate), not each platform's siloed self-reported attribution taken at face value","Some mechanism (a marketing mix model, a unified analytics platform, or at minimum a directional understanding) exists for reconciling the fact that Google, Meta, and TikTok will each self-report attribution in ways that, summed together, typically overstate total conversions","Every ad platform's attribution is inherently biased toward crediting itself — taking each platform's self-reported numbers at face value and summing them across platforms systematically overstates total marketing-driven conversions","High","cross-platform-attribution|mmm|reporting-accuracy",2026-07-03
ADS060,Cross-Platform Attribution,"MER (Marketing Efficiency Ratio, total revenue / total spend) tracked as a sanity check against platform-reported ROAS","Blended MER is calculated and tracked alongside individual platform ROAS figures as an independent sanity check that isn't subject to any single platform's attribution bias","When platform-reported ROAS collectively implies more revenue than the business actually generated, MER is the ground-truth check that catches this — a discipline every account running multiple ad platforms should maintain","High","mer|marketing-efficiency-ratio|sanity-check",2026-07-03
