id,category,check,description,why_it_matters,severity,tags,last_verified
EM021,Authentication,SPF record covers every sending service,"The sending domain's SPF record includes every provider that legitimately sends as it (transactional, marketing, support tools), stays under the 10-DNS-lookup limit, and ends ~all.",SPF failures or lookup-limit overflows silently push mail to spam,Critical,spf|dns|authentication,2026-07-03
EM022,Authentication,DKIM signing enabled per provider with rotated keys,"Every sending provider has its DKIM CNAME/TXT records installed and verified; keys are 2048-bit; old provider keys are removed when a provider is offboarded.",Unsigned mail fails modern inbox providers' authentication requirements outright,Critical,dkim|signing|authentication,2026-07-03
EM023,Authentication,DMARC published and progressed beyond p=none,"A DMARC record exists with rua reporting; after monitoring alignment, policy moves p=none → p=quarantine → p=reject on a planned schedule.",DMARC at reject is what actually stops others spoofing your domain — p=none forever is just logging,High,dmarc|policy|spoofing,2026-07-03
EM024,Authentication,Custom return-path / bounce domain aligned,"The provider's default bounce domain is replaced with a custom aligned subdomain (e.g. pm-bounces.product.com) so SPF/DMARC alignment passes.",Misaligned return-path quietly fails DMARC alignment even with SPF/DKIM individually passing,High,return-path|alignment|bounce-domain,2026-07-03
EM025,Bulk Sender Rules,Gmail/Yahoo bulk-sender requirements met,"If sending 5k+/day to Gmail: SPF+DKIM+DMARC all pass, one-click unsubscribe present (EM014), and spam-complaint rate held under 0.3% (ideally 0.1%).",Since Feb 2024 these are enforced requirements — violators get rate-limited or rejected outright,Critical,gmail|yahoo|bulk-sender|complaint-rate,2026-07-03
EM026,Reputation,Complaint and bounce rates monitored with alerts,"Dashboards/alerts on complaint rate (>0.1% warning, >0.3% incident) and hard-bounce rate (>2% investigate); Google Postmaster Tools connected for domain reputation.",These two numbers are your sender reputation — finding out late means weeks of recovery,High,monitoring|complaints|postmaster,2026-07-03
EM027,Reputation,Suppression list enforced across all senders,"Hard bounces, complaints, and unsubscribes live in one suppression store consulted by every send path (app, marketing tool, one-off scripts).",Re-mailing a complainer from a different tool is how reputations and legal compliance die,High,suppression|unsubscribes|enforcement,2026-07-03
EM028,List Hygiene,Inactive addresses pruned or re-engaged,"Subscribers with no opens/clicks in 6-12 months get a re-engagement sequence then removal; engagement-based sunset policy is documented.",Mailing dead addresses tanks engagement metrics that inbox providers use to rank you,Medium,list-hygiene|engagement|sunset,2026-07-03
EM029,List Hygiene,Signup protected against list-bombing,"Email-sending signup/subscription endpoints have rate limiting and CAPTCHA-on-abuse so attackers can't weaponize your forms to bomb victims' inboxes.",List-bombing victims mark you as spam in bulk and your forms become an abuse vector,Medium,list-bombing|rate-limiting|abuse,2026-07-03
EM030,Content,No deliverability-hostile content patterns,"Templates avoid URL shorteners, mismatched link text vs href, image-only bodies, and ALL-CAPS/spam-trigger subjects; total size stays under Gmail's ~102KB clipping limit.",Content signals still feed spam filters; clipped mail also hides the unsubscribe link (an EM014 violation),Medium,content|spam-signals|clipping,2026-07-03
EM031,Infrastructure,TLS enforced on delivery,"Provider enforces STARTTLS/TLS for outbound delivery; MTA-STS and TLS-RPT records published for the receiving side of your domain.",Unencrypted email transit leaks content and increasingly costs deliverability trust,Medium,tls|mta-sts|encryption,2026-07-03
EM032,Infrastructure,Sending secrets follow the env-secrets discipline,"Provider API keys live in the secrets manager, scoped per environment, rotated on offboarding — never in code or templates (same rule as env-secrets-management.md).",A leaked email API key lets an attacker send as your domain — reputational and phishing damage,High,secrets|api-keys|rotation,2026-07-03
EM033,Verification,Authentication verified with real tools not assumptions,"After DNS setup and on a quarterly schedule: verify with a round-trip test (mail-tester.com or provider's checker) that SPF, DKIM, DMARC all pass from every stream.","DNS drifts, providers change infrastructure, and silent auth failures look exactly like normal sending",High,verification|testing|dns-drift,2026-07-03
EM034,Compliance,Sender identity and address requirements met,"Marketing mail includes the legally required sender identification (physical address where applicable) and honors regional rules (KVKK/CAN-SPAM/ePrivacy) for the audiences served.",Missing sender-identity requirements is a direct legal exposure independent of deliverability,Medium,compliance|can-spam|kvkk,2026-07-03
