id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
IN011,URL Strategy,Subpath locale prefix (/en/... /tr/...),The default for most sites: one domain with a clean SEO signal per locale and the simplest hosting and deploy story,Truly separate regional businesses needing separate branding or infrastructure per market,Cheapest to run and easiest to reason about; every route needs locale-awareness baked in from the start,url-strategy|subpath|routing,2026-07-03
IN012,URL Strategy,Subdomain per locale (en.product.com),Larger orgs wanting per-region infrastructure or CDN routing flexibility while keeping one brand domain,Small teams where this adds DNS cert and deploy overhead for no real benefit,Independent scaling and caching per region; more infrastructure to provision and keep in sync,url-strategy|subdomain|routing,2026-07-03
IN013,URL Strategy,Country-code TLD per market (product.de),Genuinely separate regional entities with different legal entity pricing or catalog needing the strongest local-market trust signal,A single global product with shared content since ccTLDs fragment SEO authority across domains,Highest local trust and clearest regional signal to search engines; the most expensive and slowest to operate,url-strategy|cctld|regional,2026-07-03
IN014,Content Strategy,Fallback locale chain,"Any product shipping partial translations, defining an explicit fallback order such as tr to en to default so missing keys degrade to a real language never a raw key",Products requiring full translation coverage before any locale ships which is rare and usually not worth the delay,Ships new locales incrementally without breaking the UI; requires discipline to eventually close fallback gaps rather than leave them permanent,i18n|fallback|content-strategy,2026-07-03
IN015,Content Strategy,Locale-aware media and imagery,Marketing pages where imagery carries cultural or legal meaning such as people gestures text-in-image or currency symbols swapped per locale not just text,Purely functional UI icons with no cultural content,Avoids tone-deaf or legally risky imagery per market; multiplies asset production and CMS complexity,i18n|media|localization|marketing,2026-07-03
IN016,Detection & Persistence,Detect via Accept-Language then let the user override and persist the choice,First visit for any product without forced regional routing that should respect browser preference without trapping the user in it,Rarely a poor fit,Good default UX; skipping the override-and-persist step reopens the redirect trap this pattern exists to avoid,i18n|detection|persistence,2026-07-03
IN017,SEO Integration,hreflang tags generated from the same locale source of truth,Every localized route needs hreflang alternates generated programmatically from the routing config rather than hand-maintained per page,A single-locale site with nothing to alternate against,Prevents the hreflang errors that are among the most common international SEO mistakes; one generation function instead of many hand-written tag sets,i18n|hreflang|seo|automation,2026-07-03
IN018,Layout,RTL support via logical CSS properties,Any product shipping Arabic Hebrew or Farsi using margin-inline and padding-inline instead of margin-left and margin-right with dir set per locale,Locale sets with no RTL languages where the extra testing surface is not yet needed,Logical properties make RTL close to free once adopted; retrofitting RTL onto a hardcoded left-right codebase later is expensive,i18n|rtl|css|layout,2026-07-03
IN019,Pluralization,ICU plural rules via the chosen library,Any language beyond English in the locale set since plural rules vary by language and cannot be hardcoded as a two-way conditional,English-only products where the naive two-category assumption already happens to hold,Correct grammar across all target languages; requires messages authored with plural categories rather than string concatenation,i18n|pluralization|icu|grammar,2026-07-03
IN020,Message Authoring,No string concatenation for translated sentences,Every translated sentence built via a single message with placeholders through ICU MessageFormat or an equivalent rather than joining translated fragments,Rarely appropriate to skip,Word order and grammar vary by language so concatenation breaks correctness in most non-English languages not just as an edge case,i18n|string-concatenation|message-format,2026-07-03
IN021,Legal/Compliance Content,Legal and compliance text localized with the same rigor as marketing copy,Terms of service privacy policy pricing and tax disclosures and cookie consent text translated and reviewed with an equal or higher bar than product copy,Marketing-only translation effort that treats legal pages as low priority,Untranslated or poorly translated legal text is both a trust failure and a real compliance gap in some jurisdictions,i18n|legal|compliance|kvkk|gdpr,2026-07-03
IN022,Currency & Commerce,Locale-aware currency and tax display kept separate from the payment-processing currency,E-commerce or SaaS pricing pages where display currency follows the user's locale via Intl.NumberFormat while the actual charged currency follows the payment provider's account configuration,A single-currency single-market product,Prevents the display-versus-charged currency mismatch that erodes trust at checkout; needs explicit handling wherever the two diverge,i18n|currency|ecommerce|stripe,2026-07-03
