id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
AN001,Web Analytics,GA4,"Marketing sites needing Google Ads integration, free tier at scale, and Search Console linkage","Product analytics (funnels by user), teams who need raw event access without BigQuery, strict-privacy positioning","Free and ubiquitous; sampled/modeled data, consent-mode dependency, and a UI everyone struggles with",ga4|google|marketing|free,2026-07-03
AN002,Web Analytics,Plausible,"Privacy-first marketing sites: one script, no cookies, EU hosting, public dashboards","Product analytics, user-level funnels/retention — it's aggregate by design","Cookieless simplicity often removes the consent-banner need for analytics; paid, and deliberately shallow per-user data",plausible|privacy|cookieless|lightweight,2026-07-03
AN003,Web Analytics,Umami (self-hosted),"Plausible-style privacy analytics at zero license cost on your own infra","No ops capacity; needing support/SLAs","Free and self-owned; you run the database, updates, and scaling yourself",umami|self-hosted|privacy|open-source,2026-07-03
AN004,Product Analytics,PostHog,"SaaS product analytics: user-level funnels, retention, session replay, feature flags, A/B tests in one tool — generous free tier, EU cloud option","A pure brochure site (overkill); teams that only need pageview counts","One tool replaces 3-4 point solutions; event volume pricing needs watching once traffic grows",posthog|product-analytics|funnels|flags|replay,2026-07-03
AN005,Product Analytics,Mixpanel / Amplitude,"Mature product orgs standardizing on dedicated behavioral analytics with strong cohort/journey tooling","Early-stage products (PostHog covers it cheaper); marketing-only measurement","Best-in-class analysis UIs; costs climb steeply with event volume and seats",mixpanel|amplitude|cohorts|enterprise,2026-07-03
AN006,Architecture,Warehouse-first events (BigQuery/ClickHouse),"Data teams that want raw, unsampled events under their own SQL and BI stack","No data team — a warehouse without an owner is a swamp","Full control and joinability with business data; you build the dashboards and the pipeline yourself",warehouse|bigquery|raw-events|sql,2026-07-03
AN007,Architecture,Server-side tagging / event proxy,"Ad-blocker resilience, first-party data control, trimming what reaches vendors — pairs with the Ads module's server-side tracking checks","Simple sites where the added infra outweighs signal loss","Recovers 10-30% of events lost to blockers; another service to run and keep consent-compliant",server-side|tagging|first-party|adblock,2026-07-03
AN008,Scope Split,Web + product analytics as two tools,"Marketing site on Plausible/GA4 + app on PostHog: each tool does what it's actually good at","Tiny teams where one tool must serve both (pick PostHog with pageview autocapture)","Clean separation of concerns; two configs, two consent entries, and cross-domain journey stitching to think about",architecture|separation|marketing-vs-product,2026-07-03
AN009,Capability,Session replay,"Debugging UX friction, support escalations, watching real onboarding runs","Recording without masking — replay captures everything users type","High-empathy debugging; strict PII masking and consent coverage are non-negotiable before enabling",replay|ux-debugging|privacy,2026-07-03
AN010,Capability,Feature flags + A/B testing tied to analytics,"Shipping experiments where exposure and outcome live in the same event stream (PostHog/GrowthBook)","Peeking at results daily and stopping at the first significant blip","Same-tool experiments avoid identity-joining pain; statistical discipline still on you (fixed horizon or sequential method)",flags|ab-testing|experiments,2026-07-03
AN011,Attribution,UTM + first-party attribution model,"Knowing which channel drives signups: persist first/last-touch UTMs on the user record at signup","Trusting any single ad platform's self-reported attribution as ground truth","Cheap and platform-neutral; undercounts dark social/direct — treat as directional, cross-check with MER (see data/ads/tracking-attribution-checks.csv)",utm|attribution|channels,2026-07-03
AN012,Compliance,Consent-gated analytics loading,"EU/KVKK traffic: load analytics only after consent, or choose a cookieless tool that documents its no-consent basis","Assuming a cookie banner alone makes GA4 compliant — configuration does","Legal safety and cleaner data contracts; consent refusals create a measurement blind spot to model",consent|kvkk|gdpr|cookieless,2026-07-03
