id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
UX068,Sector Art Direction,Cafe/restaurant: warm earth palette + editorial food photography + asymmetric menu grid,"Local cafes bakeries and restaurants wanting an inviting non-chain feel that still reads premium",A fast-casual chain wanting a clean high-volume ordering flow where warmth would slow conversion,Builds appetite appeal and locality fast; genuinely good food photography is a real production cost not a template swap,cafe|restaurant|food|warm-palette,2026-07-03
UX069,Sector Art Direction,Healthcare/clinic: muted sage-and-clay or cool-clinical palette + generous whitespace + calm serif headings,Clinics wellness practices and healthcare providers needing to signal trust and calm without looking cold or corporate,Emergency or urgent-care contexts where speed-to-action beats calm aesthetics,Reduces the sterile hospital-brochure look competitors default to; whitespace discipline requires real content editing not just CSS,healthcare|clinic|trust|calm,2026-07-03
UX070,Sector Art Direction,Legal/law firm: deep ink palette + serif display type + structured grid signaling authority,Law firms and professional services wanting gravitas and credibility over playful branding,A boutique or consumer-facing legal service wanting approachability over authority,Signals seriousness and competence fast; can tip into generic-corporate if the type pairing isn't deliberately chosen (see UX024),legal|law-firm|authority|serif,2026-07-03
UX071,Sector Art Direction,SaaS/tech: bold accent-on-neutral + product screenshots as hero content + confident type scale,B2B and B2C SaaS wanting the product itself to be the primary visual proof not illustration,Pre-product-market-fit landing pages with nothing real to screenshot yet,Product-as-hero builds credibility fastest for software; requires the actual product UI to already look good,saas|product-led|screenshots|b2b,2026-07-03
UX072,Sector Art Direction,E-commerce/retail: high-contrast product photography grid + urgency-aware color blocking,Retail and e-commerce wanting fast scannability and clear purchase-path visual hierarchy,Luxury retail where urgency tactics undercut the premium positioning (use UX007's jewel-tone approach instead),Optimizes for conversion-path clarity; can read generic-Shopify if the grid and color-blocking aren't customized past the template defaults,ecommerce|retail|conversion|product-grid,2026-07-03
UX073,Sector Art Direction,Real estate: large-format imagery + minimal chrome + map-integrated browsing,Real estate and property listings where the inventory itself is the visual content,A real-estate SaaS tool for agents where the product not listings is the hero (use UX071 instead),Lets genuinely good property photography carry the design; weak photography has nowhere to hide in this pattern,real-estate|property|imagery|listings,2026-07-03
UX074,Sector Art Direction,Fitness/wellness: high-energy duotone or gradient + dynamic diagonal layout + bold sans display type,Gyms fitness apps and wellness brands wanting motion and energy conveyed even in static layouts,A clinical wellness/medical-adjacent brand wanting calm over energy (use UX069 instead),Conveys momentum and motivation visually; diagonal/dynamic layouts need real design discipline to stay legible not chaotic,fitness|wellness|energy|dynamic-layout,2026-07-03
UX075,Sector Art Direction,Finance/fintech: single-hue data-dense palette + tabular numeric precision + restrained motion,Fintech and financial services needing to convey precision and trust through information design itself,A consumer fintech onboarding flow wanting warmth and approachability over pure data precision,Precision-as-aesthetic differentiates from both stuffy legacy-bank and overly playful neobank extremes; requires real data design discipline (tabular figures UX030 numeric alignment),fintech|finance|data-density|precision,2026-07-03
UX076,Sector Art Direction,Education/e-learning: friendly rounded type + progress-forward layout + optimistic color use,"Online courses schools and e-learning platforms wanting approachable, achievement-oriented design",Elite/prestige-positioned academic institutions wanting gravitas over approachability (lean toward UX070's authority pattern instead),Lowers the intimidation barrier to starting and completing courses; can read juvenile if rounded/optimistic choices aren't balanced with real typographic discipline,education|elearning|approachable|progress,2026-07-03
UX077,Sector Art Direction,Nonprofit/cause-driven: authentic documentary photography + restrained single-accent palette + narrative-first layout,Nonprofits and cause-driven organizations needing to build trust and emotional connection without looking exploitative,Any context where the cause itself should not be visually dramatized for effect,Authenticity over polish builds more durable trust in this category than production value; stock-photo shortcuts are especially visible and damaging here,nonprofit|cause-driven|authenticity|documentary,2026-07-03
UX269,Sector Art Direction,Salon/beauty/personal care: soft warm-neutral palette + generous whitespace + before/after or portfolio imagery as hero,"Local salons, barbershops, spas, and aesthetics clinics where the buying decision is visual trust plus booking convenience.",A med-spa or clinical-adjacent service that needs to read as clinically credible -- pull toward the Healthcare/clinic direction (UX069) instead of over-softening it.,"Warm/soft palette builds approachability fast, but reads as a generic 'beauty site' without a distinct type pairing or a real portfolio -- stock photography is more visible/damaging here than in most other sectors, invest in real work photos.",sector|salon|beauty|personal-care|local-business|booking,2026-07-04
UX270,Sector Art Direction,"Trades/home services (contractor, plumber, electrician, cleaning): high-trust utilitarian palette + before/after or job-site photography + prominent phone/quote CTA","Local service businesses booked by phone or quote request more than self-serve checkout, where trust and responsiveness matter more than visual flourish.","The business is premium/design-forward positioning (e.g. high-end renovation, architecture) -- that calls for the Real estate direction's (UX073) editorial restraint instead.","Utilitarian directness converts well for urgent, local-intent searches, but leaning too utilitarian can make an actually-differentiated premium provider look like every competitor -- confirm positioning before defaulting here.",sector|trades|home-services|contractor|local-business|lead-gen,2026-07-04
UX271,Sector Art Direction,Events/weddings/photography: full-bleed editorial imagery + minimal chrome + serif or script accent type for emotional warmth,"Portfolio-driven creative services (wedding planners, photographers, videographers, event venues) where the work itself is the primary sales asset.","The imagery library is thin or inconsistent in quality -- a sparse, low-quality gallery reads worse under a full-bleed treatment than under a smaller-image grid; don't over-commit to a format the content can't fill.","Maximal visual impact when the portfolio is strong, but this direction lives or dies on image quality and consistency more than any other sector here.",sector|events|weddings|photography|portfolio|creative-services,2026-07-04
UX272,Sector Art Direction,"Consulting/professional services: confident neutral palette + credential-forward layout (case studies, logos, results) + direct-response CTA structure","B2B consultants, agencies, coaches, and advisors selling expertise or outcomes rather than a tangible product, where trust signals do the persuasion work.","The business is genuinely product-led (a SaaS tool, not advisory services) -- that's the SaaS/tech direction (UX071) instead, which leans on the product itself as proof rather than case studies.","Credential-forward layouts build trust fast for high-consideration B2B purchases, but overdoing logo walls or testimonials without real specificity reads as generic-agency filler -- insist on named, specific results.",sector|consulting|professional-services|b2b|agency|coaching,2026-07-04
UX273,Sector Art Direction,Pet care/veterinary: warm-approachable palette (not clinical-cold) + candid animal photography + clear service/pricing structure,"Veterinary clinics, groomers, pet sitters, and boarding/daycare businesses -- the emotional bond with the animal is the actual product, don't treat it like generic Healthcare/clinic (UX069).",It's a large multi-location veterinary hospital brand needing a more clinical-credible direction -- pull toward Healthcare/clinic (UX069) at that scale instead of staying purely warm/approachable.,"Warm, candid photography builds emotional trust fast for small local practices, but a hospital-scale operation needs some clinical-credibility signal blended in or it reads as under-serious for a medical service.",sector|pet-care|veterinary|local-business|animal-services,2026-07-04
UX274,Sector Art Direction,"Hospitality/boutique lodging (B&B, boutique hotel, short-term rental): immersive full-bleed environment photography + minimal booking-forward chrome","Boutique hotels, B&Bs, vacation rentals, and small hospitality brands selling an experience or atmosphere as much as a room.","It's a large multi-property hotel chain needing rate/availability search as the primary interaction -- that's a booking-engine-first product need, not an art-direction one; this direction is for the smaller, atmosphere-led end of hospitality.","Immersive photography sells the experience effectively, but needs a genuinely strong location/interior photo set -- weak photography undermines this direction more visibly than a more conservative layout would.",sector|hospitality|boutique-hotel|lodging|short-term-rental|local-business,2026-07-04
UX275,Sector Art Direction,"Auto services (repair, detailing, dealership): bold high-contrast palette + technical/mechanical imagery + trust badges (certifications, warranty) prominent","Auto repair shops, detailing services, and independent dealerships where technical credibility and price transparency drive the decision.",It's a luxury/exotic dealership positioning on prestige rather than value -- that leans toward the luxury-minimal style vocabulary entry (UX143) and a more restrained palette instead of bold/high-contrast.,"Bold contrast and visible certifications build fast technical trust for commodity auto services, but the same treatment undersells a luxury dealership's actual positioning -- confirm which one applies before defaulting to bold.",sector|auto-services|auto-repair|dealership|local-business|trust-signals,2026-07-04
