id,category,check,description,why_it_matters,severity,tags,last_verified
ADS001,Conversion Tracking,"Conversion actions map to real business value, not just page views","Each conversion action tracked in Google Ads represents a genuine business outcome (purchase, qualified lead, signup) with an accurate value, not a proxy like 'page view' that doesn't reflect actual value","Smart Bidding optimizes toward whatever is marked as a conversion — optimizing toward a weak proxy metric actively steers spend toward the wrong outcomes","Critical","conversion-tracking|smart-bidding",2026-07-03
ADS002,Conversion Tracking,"Enhanced Conversions or server-side tagging implemented for conversion accuracy","First-party conversion data (hashed email/phone) is passed via Enhanced Conversions or a server-side tagging setup, not relying solely on browser-side pixel firing","Browser-side-only tracking undercounts conversions due to ad blockers, ITP/cookie restrictions, and consent-mode signal loss — this is the single highest-leverage tracking-accuracy fix available on most accounts today","Critical","enhanced-conversions|server-side-tracking",2026-07-03
ADS003,Conversion Tracking,"Conversion values reflect real revenue/LTV, not a flat placeholder value","Where possible, conversion value passed to Google Ads reflects actual order value or an LTV-informed estimate, not a static placeholder value applied to every conversion","Value-based Smart Bidding strategies (Target ROAS, Maximize Conversion Value) are only as good as the value data they optimize against — flat placeholder values make ROAS bidding meaningless","High","conversion-value|troas|ltv",2026-07-03
ADS004,Account Structure,"Campaigns organized around a clear business logic (product line, funnel stage, or geography), not ad-hoc","Campaign structure reflects a deliberate organizing principle that maps budget/bidding decisions to real business priorities, not campaigns created ad hoc over time with no consistent logic","A tangled, ad-hoc account structure makes budget allocation and performance analysis genuinely difficult — this compounds over time and is expensive to untangle later, worth getting right from the start","High","account-structure|campaign-organization",2026-07-03
ADS005,Account Structure,"No excessive campaign/ad group fragmentation limiting Smart Bidding's learning data","Campaigns/ad groups aren't split so finely that each one gets too little conversion volume for Smart Bidding to exit the learning phase effectively","Modern Smart Bidding needs sufficient conversion volume per campaign to optimize well — over-segmentation (a legacy keyword-match-type-driven structure habit) starves each campaign of the data it needs","High","account-structure|smart-bidding|fragmentation",2026-07-03
ADS006,Keywords,"Broad match paired with Smart Bidding and strong negative keyword hygiene, not broad match alone","If using broad match (Google's current recommended default for Smart Bidding campaigns), it's paired with automated bidding toward a real conversion value and active negative keyword management","Broad match without Smart Bidding or without negative keyword discipline can waste spend on irrelevant queries — the current best-practice pairing (broad match + Smart Bidding + negatives) is different from older exact-match-heavy conventions","High","broad-match|negative-keywords|smart-bidding",2026-07-03
ADS007,Keywords,"Search terms report reviewed regularly, negative keywords added proactively","The search terms report is reviewed on a recurring cadence (not just when performance drops) to catch irrelevant query matches and add negatives before they accumulate wasted spend","Waiting to review search terms only after noticing a budget/performance problem means wasted spend has already accumulated — proactive review catches it earlier","Medium","search-terms|negative-keywords|wasted-spend",2026-07-03
ADS008,Quality Score,"Landing page experience, ad relevance, and expected CTR all reviewed, not just bid levels","When diagnosing high CPCs or low impression share, Quality Score's three components are checked individually rather than assuming the fix is always 'bid higher'","A low Quality Score driven by poor landing page experience won't be fixed by bidding higher — misdiagnosing which QS component is weak wastes budget chasing the wrong fix","Medium","quality-score|landing-page-experience",2026-07-03
ADS009,Performance Max,"PMax search-term insights and asset group performance reviewed regularly, not treated as a black box","PMax campaigns are actively monitored via search-term insights (where available) and per-asset-group performance, not launched and left unattended on the assumption automation handles everything","PMax's automation reduces manual control but doesn't eliminate the need for oversight — brand exclusions, asset quality, and search-term relevance still need active management (`ADS010`, `ADS011`)","High","performance-max|pmax|automation-oversight",2026-07-03
ADS010,Performance Max,"Brand exclusions configured to prevent PMax from bidding on the advertiser's own branded searches at a wasteful rate","Where a separate branded search campaign already exists, PMax is configured (via brand exclusion lists) to avoid competing with it for branded query traffic at inflated cost","Without exclusions, PMax can cannibalize cheap, high-intent branded traffic that a dedicated branded campaign would capture more efficiently, inflating blended CPA","Medium","performance-max|brand-exclusions|cannibalization",2026-07-03
