id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
AI001,Model Tier,Claude Fable 5 (claude-fable-5),"Hardest reasoning: complex agentic coding, multi-step planning, high-stakes analysis where quality dominates cost","High-volume simple tasks; strict latency budgets; cost-sensitive features","Highest quality and highest cost per token; overkill for classification/extraction",model|frontier|reasoning|agentic,2026-07-03
AI002,Model Tier,Claude Opus 4.8 (claude-opus-4-8),"Flagship general work: coding, long-document analysis, agent loops when Fable access/cost is a constraint","Sub-second latency needs; bulk pipelines","Strong quality just below Fable; supports fast-output mode in some products",model|flagship|coding,2026-07-03
AI003,Model Tier,Claude Sonnet 5 (claude-sonnet-5),"The default product workhorse: chat features, summarization, RAG answers, structured extraction with good quality/cost balance","The task provably needs frontier reasoning, or is trivial enough for Haiku","Best cost/quality ratio for most SaaS features; start here and move up/down on evidence",model|default|workhorse,2026-07-03
AI004,Model Tier,Claude Haiku 4.5 (claude-haiku-4-5),"High-volume low-latency: classification, routing, autocomplete, moderation pre-filter, title generation","Nuanced reasoning, long multi-step agent loops","Cheapest and fastest; quality drops on complex instructions — pair with a tiered fallback",model|fast|cheap|classification,2026-07-03
AI005,Model Strategy,Tiered model routing,"Products with mixed workloads: route simple requests to Haiku and escalate hard ones to Sonnet/Opus by rule or classifier","A single uniform workload where one model fits all","Big cost savings at the price of routing logic to build, test, and monitor",routing|cost|fallback,2026-07-03
AI006,Capability,Extended thinking,"Math, planning, hard debugging, multi-constraint decisions where visible reasoning improves accuracy","Latency-sensitive chat; simple lookups — thinking tokens cost money and time","Higher accuracy on hard tasks; slower and pricier per request; budget thinking tokens explicitly",thinking|reasoning|latency,2026-07-03
AI007,Capability,Vision input,"Document understanding (invoices, receipts, forms), screenshot analysis, image-grounded Q&A","Pure-text products; OCR-only needs where a dedicated OCR API is cheaper at scale","One API for text+image simplifies architecture; large images consume many tokens — resize first",vision|multimodal|documents,2026-07-03
AI008,Capability,Embeddings (external provider),"RAG retrieval, semantic search, clustering, dedup — Anthropic has no embeddings API; use Voyage or similar","Tiny corpora where keyword/full-text search already works","Adds a second vendor; pick one embedding model and version it — mixing models breaks the index",embeddings|rag|search|voyage,2026-07-03
AI009,Model Strategy,Self-hosted open-weights model,"Hard data-residency/compliance constraints; air-gapped deployments","No dedicated ML-ops capacity; quality-sensitive features — hosted frontier models lead","Full data control; you own GPU cost, scaling, safety tuning, and a lower quality ceiling",open-weights|self-hosted|compliance,2026-07-03
AI010,Cost Control,Prompt caching,"Long stable system prompts, big tool definitions, multi-turn chats replaying history each call","Prompts that change every call (cache misses cost slightly more than no cache)","Up to ~90% input-cost cut and faster TTFT on hits; requires stable prompt prefixes — order matters",caching|cost|latency,2026-07-03
AI011,Cost Control,Batch API,"Asynchronous bulk jobs: nightly summarization, backfills, eval runs, bulk classification","Anything interactive — results return within hours, not seconds","~50% cost discount for giving up immediacy; design jobs as idempotent and resumable",batch|cost|async,2026-07-03
AI012,Output Contract,Structured output via tool schema,"Machine-readable results: extraction, form filling, API-consumable JSON — define a tool schema and force its use","Free-form creative text where a schema adds nothing","Reliable parseable output; still validate server-side — schema conformance is not business-rule validity",structured-output|json|tools,2026-07-03
AI013,Context Strategy,Conversation summarization / truncation,"Long-running chats approaching context limits; cost control on replayed history","Short sessions that never approach the window","Keeps cost flat as conversations grow; summarization can drop details users expect the bot to remember",context|memory|summarization,2026-07-03
AI014,Build Approach,Claude Agent SDK vs raw API,"Full agent products (tool loops, file operations, subagents) — the SDK ships the loop, permissions, and context management","A single prompt-in/answer-out feature — the raw Messages API is one HTTP call","SDK saves rebuilding agent plumbing; raw API keeps the dependency surface minimal",agent-sdk|api|architecture,2026-07-03
