id,category,check,description,why_it_matters,severity,tags,last_verified
SEC001,A01 Broken Access Control,"Authorization checked on every request, not inferred from UI state","Every endpoint verifies the authenticated principal may act on the specific resource requested, server-side, regardless of what the UI shows or hides","Hiding a button in the UI is not access control — an attacker can call the endpoint directly; this is consistently the most common real-world vulnerability class","Critical","access-control|owasp-a01|authorization",2026-07-03
SEC002,A01 Broken Access Control,"No insecure direct object references (IDOR)","Resource IDs in URLs/params are checked for ownership before returning data, not just checked for existence (e.g. /orders/123 must verify the caller owns order 123, not just that order 123 exists)","IDOR lets an attacker enumerate sequential/guessable IDs to access other users' data by simply changing a URL parameter","Critical","idor|access-control|owasp-a01",2026-07-03
SEC003,A01 Broken Access Control,"Default deny, not default allow","New endpoints require explicit authorization logic to be added; the default behavior for an unclassified route is to deny, not to serve","A forgotten auth check on a new endpoint should fail closed, not open — this inverts the risk of the single most common access-control mistake","Critical","default-deny|access-control|owasp-a01",2026-07-03
SEC004,A01 Broken Access Control,"CORS configured to an explicit allowlist, never a wildcard on authenticated routes","Access-Control-Allow-Origin is set to specific known origins for any endpoint that reads/writes authenticated data — never * combined with credentials","A wildcard CORS policy on an authenticated endpoint lets any website make credentialed requests on behalf of a logged-in user","High","cors|access-control|owasp-a01",2026-07-03
SEC005,A02 Cryptographic Failures,"No sensitive data transmitted or stored unencrypted","PII, credentials, and financial data are encrypted in transit (TLS everywhere, no plain HTTP) and at rest (database-level or column-level encryption for the most sensitive fields)","Cryptographic failures are the direct cause of many major breaches becoming catastrophic instead of contained — encryption is what limits blast radius when other defenses fail","Critical","encryption|tls|owasp-a02",2026-07-03
SEC006,A02 Cryptographic Failures,"Passwords hashed with a modern memory-hard algorithm (Argon2id), never reversibly encrypted","Password storage uses Argon2id (or bcrypt as an acceptable fallback) — never a fast general-purpose hash (MD5/SHA family) and never reversible encryption","A password should never be recoverable in plaintext by anyone, including the system operator — hashing (not encryption) with a memory-hard algorithm is the only acceptable approach","Critical","password-hashing|argon2|owasp-a02",2026-07-03
SEC007,A02 Cryptographic Failures,"No hardcoded cryptographic keys or secrets in source code","Encryption keys, signing secrets, and API credentials are loaded from environment variables or a secrets manager, never committed to the repository","A hardcoded key in source is compromised the moment the repo is cloned, forked, or leaked — and is the single most common finding in automated secret-scanning tools","Critical","hardcoded-secrets|owasp-a02",2026-07-03
SEC008,A02 Cryptographic Failures,"TLS 1.2+ enforced, weak cipher suites disabled","The server/platform rejects TLS 1.0/1.1 connections and disables known-weak cipher suites — usually a platform-level default to verify rather than a manual configuration on managed hosting","Older TLS versions and weak ciphers have known cryptographic weaknesses that make traffic interception or downgrade attacks feasible","High","tls|cipher-suites|owasp-a02",2026-07-03
SEC009,A03 Injection,"All database queries parameterized, never string-concatenated","Every SQL/NoSQL query uses parameterized queries or an ORM's query builder — raw string concatenation of user input into a query is never used","SQL injection remains a critical, fully preventable vulnerability class — parameterized queries eliminate the entire attack surface by construction, not by filtering","Critical","sql-injection|parameterized-queries|owasp-a03",2026-07-03
SEC010,A03 Injection,"User input never passed to a shell command, eval, or dynamic code execution","Shell commands, eval(), exec(), and similar dynamic-execution constructs never incorporate unsanitized user input; prefer a library call over shelling out entirely where possible","Command injection via string-built shell commands is a critical, often fully exploitable vulnerability — the safest mitigation is avoiding the pattern entirely, not trying to sanitize it safely","Critical","command-injection|eval|owasp-a03",2026-07-03
SEC011,A03 Injection,"Output encoded/escaped for its rendering context (HTML, JS, URL, SQL)","Any user-supplied data rendered into HTML, injected into a script context, or embedded in a URL is encoded appropriately for that specific context, not encoded once generically","Context matters — HTML-escaping alone doesn't prevent injection into a JavaScript string or a URL parameter; each output context has its own encoding requirement","High","output-encoding|xss-prevention|owasp-a03",2026-07-03
SEC012,A03 Injection,"Framework's built-in template auto-escaping left enabled","React/Vue/Django templates/etc. auto-escape interpolated values by default — this is never disabled (e.g. dangerouslySetInnerHTML, |safe filters) without a specific, reviewed reason and explicit sanitization","Auto-escaping is the default defense against XSS in modern frameworks; disabling it removes that defense for exactly the data that most needs it","Critical","xss|auto-escaping|owasp-a03",2026-07-03
SEC013,A04 Insecure Design,"Threat modeling performed for features handling sensitive data or money","New features touching auth, payments, or PII go through an explicit threat-modeling pass before implementation, not just after a vulnerability is found in review","Insecure design vulnerabilities can't be patched the way a code-level bug can — they require rethinking the feature, which is far cheaper to do before implementation than after launch","High","threat-modeling|secure-design|owasp-a04",2026-07-03
SEC014,A04 Insecure Design,"Rate limiting and abuse controls designed in from the start for high-value actions","Signup, login, password reset, and any action with real-world cost (sending SMS/email, processing a payment) have rate limits designed as part of the feature, not bolted on after an abuse incident","Retrofitting rate limiting after an abuse incident is reactive and slower than designing the constraint in from the start — high-value actions are predictable abuse targets","High","rate-limiting|abuse-prevention|owasp-a04",2026-07-03
SEC015,A05 Security Misconfiguration,"No default credentials or example configuration left in production","Default admin passwords, example API keys, and sample configuration from a framework's scaffolding are removed or changed before production deployment","Default credentials are one of the most trivially exploitable misconfigurations — automated scanners specifically probe for known framework defaults","Critical","default-credentials|misconfiguration|owasp-a05",2026-07-03
SEC016,A05 Security Misconfiguration,"Verbose error messages and stack traces disabled in production","Production error responses return a generic message and a correlation id (see BE069), never a stack trace, file path, or internal implementation detail","Verbose errors leak implementation details (library versions, file structure, query fragments) that materially help an attacker plan further exploitation","High","error-handling|information-disclosure|owasp-a05",2026-07-03
SEC017,A05 Security Misconfiguration,"Unnecessary features, ports, and services disabled","Debug endpoints, admin panels not meant for public access, and unused services are disabled or firewalled off in production, not left reachable 'just in case'","Every enabled feature/service is additional attack surface — anything not actively needed in production should not be reachable from it","Medium","attack-surface|misconfiguration|owasp-a05",2026-07-03
SEC018,A05 Security Misconfiguration,"Security headers set on every response (CSP, HSTS, X-Content-Type-Options, X-Frame-Options)","Content-Security-Policy, Strict-Transport-Security, X-Content-Type-Options: nosniff, and X-Frame-Options/frame-ancestors are set via middleware on every response, not per-route ad hoc","These headers are cheap, broad-coverage defenses against XSS, clickjacking, MIME-sniffing attacks, and protocol downgrade — missing them is a common, easily-fixed finding","High","security-headers|csp|hsts|owasp-a05",2026-07-03
SEC019,A06 Vulnerable Components,"Dependencies scanned for known vulnerabilities in CI","An automated dependency-vulnerability scan (npm audit, pip-audit, Dependabot/Snyk alerts) runs on every PR or on a schedule, not just when someone remembers to check manually","Known-vulnerable dependencies are one of the most common breach vectors precisely because the fix (upgrade) is usually available but simply not applied promptly","High","dependency-scanning|vulnerability-management|owasp-a06",2026-07-03
SEC020,A06 Vulnerable Components,"Dependencies kept reasonably current, not years out of date","Automated dependency-update PRs (DO017) are actually merged on a regular cadence, not left accumulating indefinitely","A vulnerability scanner finding a known CVE is only useful if the resulting update actually gets applied — an ignored Dependabot backlog provides no real protection","Medium","dependency-updates|patch-management|owasp-a06",2026-07-03
SEC021,A07 Auth Failures,"No credential stuffing/brute-force vulnerability on login","Login endpoints have rate limiting and/or progressive delays by account and by IP (DB040), and ideally CAPTCHA or similar after repeated failures","Automated credential-stuffing attacks specifically target unprotected login endpoints at scale using leaked password lists from other breaches","Critical","credential-stuffing|brute-force|owasp-a07",2026-07-03
SEC022,A07 Auth Failures,"Session tokens invalidated on logout and on password change","Logging out actually invalidates the session/token server-side (not just clearing it client-side), and a password change invalidates all other active sessions (DB039)","A session that remains valid server-side after logout or password change means the 'security action' the user took didn't actually close the exposure it was meant to close","Critical","session-invalidation|owasp-a07",2026-07-03
SEC023,A07 Auth Failures,"MFA available for accounts, required for privileged/admin accounts","Multi-factor authentication is offered to all users and required, not optional, for admin/high-privilege accounts specifically","Admin accounts are the highest-value target for credential-based attacks — MFA there is the single highest-leverage auth control available","High","mfa|privileged-accounts|owasp-a07",2026-07-03
SEC024,A08 Data Integrity Failures,"CI/CD pipeline verifies artifact integrity before deploy","Build artifacts are verified (checksums, signed commits, or a trusted build pipeline with no manual intervention) before being deployed to production","An attacker who can tamper with the build/deploy pipeline can inject malicious code without touching the reviewed source — pipeline integrity is as important as code review","High","supply-chain|ci-cd-integrity|owasp-a08",2026-07-03
SEC025,A08 Data Integrity Failures,"Deserialization of untrusted data avoided or strictly validated","Untrusted data is never deserialized into native objects/classes without strict schema validation — prefer plain data formats (JSON with schema validation) over language-native serialization for anything crossing a trust boundary","Insecure deserialization of untrusted data can lead directly to remote code execution in several languages' native serialization formats","High","deserialization|untrusted-data|owasp-a08",2026-07-03
SEC026,A09 Logging Failures,"Security-relevant events logged (auth failures, access-control failures, high-value actions)","Failed login attempts, authorization failures, password changes, and admin actions are logged with enough context (who, what, when, from where) to investigate an incident after the fact","Without security event logging, detecting an ongoing attack or investigating a suspected breach after the fact is far slower or entirely impossible","High","security-logging|audit-trail|owasp-a09",2026-07-03
SEC027,A09 Logging Failures,"Logs don't contain sensitive data (passwords, full card numbers, tokens)","Log statements are reviewed/redact sensitive fields before writing — a password or full credit card number should never appear in a log line, even at debug level","Logs are often less tightly access-controlled than the primary database, and are frequently retained longer — sensitive data there is a second, often-overlooked exposure surface","High","log-hygiene|pii-in-logs|owasp-a09",2026-07-03
SEC028,A09 Logging Failures,"Alerting configured on anomalous security events, not just infrastructure metrics","A spike in failed logins, a burst of 403s, or repeated access-control failures from one source triggers an alert, not just uptime/latency monitoring","Infrastructure monitoring alone won't catch a credential-stuffing attack or an authorization-bypass attempt in progress — that requires security-event-specific alerting","Medium","security-alerting|anomaly-detection|owasp-a09",2026-07-03
SEC029,A10 SSRF,"Server-side requests to user-supplied URLs are validated against an allowlist","Any feature where the server fetches a URL provided by the user (webhook registration, URL preview, image fetch by URL) validates the destination against an allowlist and blocks internal/private IP ranges","Server-Side Request Forgery lets an attacker use your server as a proxy to reach internal infrastructure (cloud metadata endpoints, internal services) that wouldn't otherwise be reachable from outside","Critical","ssrf|url-validation|owasp-a10",2026-07-03
SEC030,A10 SSRF,"Cloud metadata endpoint access blocked from application code paths","Requests to the cloud provider's internal metadata endpoint (a well-known link-local address) are blocked at the network level for any process that fetches user-influenced URLs","The cloud metadata endpoint frequently holds IAM credentials — SSRF-to-metadata-endpoint is one of the most damaging real-world SSRF exploitation patterns","Critical","ssrf|cloud-metadata|owasp-a10",2026-07-03
SEC031,General,"Input validated at every trust boundary, not just the first one","Validation happens at each system boundary where untrusted data enters (API request, message queue consumer, webhook receiver, file upload) — not assumed to have already been validated upstream","A validation check performed once at the edge doesn't protect an internal service that's reachable through another path (a queue consumer, an internal API) — every entry point is its own trust boundary","Critical","input-validation|trust-boundaries|general",2026-07-03
SEC032,General,"File uploads validated by content, restricted by type and size, stored outside the web root","Uploaded files are validated by actual content (not just the claimed extension/MIME type), size-limited, and stored somewhere that can't be directly executed if uploaded content turns out to be malicious","An unrestricted file upload is a common path to remote code execution (uploading an executable script disguised as an image) or storage abuse (unbounded uploads)","High","file-upload|content-validation|general",2026-07-03
SEC033,General,"Admin/internal tools require stronger authentication than customer-facing surfaces","Internal admin panels and support tools require MFA and/or are only reachable from a VPN/allowlisted network, not just the same login as customer accounts","Admin tooling has disproportionately high blast radius if compromised (access to all customer data, ability to impersonate users) and deserves a correspondingly higher authentication bar","High","admin-security|privileged-access|general",2026-07-03
SEC034,General,"Third-party integrations reviewed for the data access they're granted","Every third-party SDK/service integrated (analytics, chat widgets, payment processors) is reviewed for what data it can access and scoped to the minimum needed","Each third-party integration is effectively code execution or data access granted to an external party — unreviewed integrations are a common, underappreciated source of data exposure","Medium","third-party-risk|data-access|general",2026-07-03
SEC035,General,"Regular dependency and configuration review, not just at launch","Security review of dependencies, configuration, and access grants happens on a recurring cadence (quarterly or similar), not only during initial launch hardening","Security posture decays over time as new dependencies are added, permissions accumulate, and new attack techniques emerge — a one-time launch review doesn't stay valid indefinitely","Medium","recurring-review|security-posture|general",2026-07-03
