id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
EC018,Store Architecture,"Shopify as the Full Storefront (Liquid themes)","A merchant wanting the fastest path to a fully working store — checkout, inventory, payments, and storefront all in one managed platform","A brand needing a highly custom, non-templated frontend experience beyond what Liquid theming comfortably supports","Everything (hosting, PCI compliance, checkout, payments) is managed by Shopify, at the cost of frontend flexibility being bounded by the Liquid templating system","shopify|liquid|hosted-storefront",2026-07-03
EC019,Store Architecture,"Headless Shopify (Storefront API + custom frontend)","A brand wanting full control over the frontend experience (custom Next.js/etc. storefront) while keeping Shopify's backend (inventory, checkout, admin) as the commerce engine","A merchant wanting the fastest possible setup with no custom frontend work — hosted Liquid themes (EC018) get there faster","Complete frontend freedom and the ability to build genuinely distinctive storefronts (pairs with the UI/UX module's distinctiveness focus), at the cost of building and maintaining a custom frontend instead of using a theme","shopify|headless|storefront-api",2026-07-03
EC020,Checkout,"Shopify-Hosted Checkout, Not a Custom-Built Checkout Flow","Nearly every Shopify integration — Shopify's checkout is PCI-compliant, conversion-optimized, and includes Shop Pay/accelerated checkout out of the box","A very specific enterprise plan (Shopify Plus) explicitly licensing checkout customization beyond the standard extensibility points","Rebuilding checkout from scratch forfeits Shopify's PCI compliance, fraud protection, and conversion-tested UX for essentially no benefit on standard plans — use Shopify Functions/checkout extensibility for customization instead of a full rebuild","shopify-checkout|pci-compliance|conversion",2026-07-03
EC021,Data Access,"GraphQL Admin API Over the Legacy REST Admin API for New Integrations","New integrations being built today — Shopify's GraphQL Admin API is the actively developed, more efficient interface for reading/writing store data","Maintaining an existing REST-based integration where a full migration isn't yet justified by a specific need","GraphQL lets you fetch exactly the fields needed in one request and is where Shopify ships new features first; the REST Admin API is in maintenance mode for many resource types","shopify|graphql|admin-api",2026-07-03
EC022,Webhooks,"Verify Every Shopify Webhook's HMAC Signature","Every Shopify webhook endpoint — verify the X-Shopify-Hmac-SHA256 header against your app's shared secret before trusting the payload, same principle as EC006 for Stripe","Never applicable to skip — an unverified webhook endpoint can be triggered by anyone who discovers the URL, potentially spoofing an order/inventory event","This is SEC038's webhook-signature-verification rule applied to Shopify specifically — cheap to implement, closes off a real spoofing vector entirely","shopify-webhooks|hmac|signature-verification",2026-07-03
EC023,Webhooks,"Handle Shopify Webhook Delivery Idempotently","Every webhook handler — Shopify may redeliver the same webhook (on timeout/error), so handlers must be safe to process the same event twice, using the event id or a similar dedup key","Never assume single delivery — this is EC007's Stripe idempotency guidance applied identically to Shopify webhooks","Deduplicating on Shopify's webhook id (or a combination of topic + resource id + timestamp where no single id is provided) prevents a redelivered webhook from duplicating a side effect like re-sending an order confirmation","shopify-webhooks|idempotency",2026-07-03
EC024,Product Data,"Product Schema Markup (schema.org Product) Kept in Sync With Shopify Inventory","Any Shopify storefront wanting Google Shopping/rich-result visibility — structured data on product pages (price, availability, reviews) must reflect real-time Shopify inventory, not a stale snapshot","A B2B or wholesale storefront not aiming for public search visibility — schema markup investment is lower priority there","Stale structured data (showing 'in stock' for a sold-out product) actively hurts both SEO trust signals and user experience — this needs to be wired to real Shopify inventory state, not set-and-forget at launch","product-schema|seo|inventory-sync",2026-07-03
EC025,Inventory,"Shopify as the Single Source of Truth for Inventory, Not a Duplicated Count","Any integration touching inventory — read/write inventory through Shopify's API rather than maintaining a separately-synced inventory count that can drift","A genuinely offline/POS-integrated business already using Shopify POS to keep inventory synced automatically — that's still Shopify being the source of truth, just via a different sync path","A duplicated, independently-maintained inventory count is a classic source of overselling (selling a product that's actually out of stock) — always read the live count from Shopify or a properly webhook-synced cache, never a manually maintained mirror","inventory|source-of-truth|overselling",2026-07-03
EC026,Apps & Extensions,"Shopify Functions for Custom Checkout/Discount Logic Over Custom Checkout Rebuilds","Custom business logic at checkout (custom discount rules, custom shipping logic, custom payment customizations) on eligible plans — Shopify Functions extend checkout without forfeiting EC020's PCI/conversion benefits","Logic needs are fully covered by Shopify's built-in discount/shipping configuration — don't reach for custom Functions before checking if native configuration already covers the need","Extends checkout behavior within Shopify's managed, PCI-compliant checkout rather than requiring a full custom rebuild (EC020) — the right escape hatch for custom logic without losing the platform's built-in guarantees","shopify-functions|checkout-extensibility",2026-07-03
EC027,Authentication,"Shopify App OAuth Flow for Third-Party App Access, Never Sharing Store Admin Credentials","Building an app or integration that needs store access — use Shopify's OAuth flow to get a scoped access token, never ask a merchant for their actual admin login credentials","Never applicable to skip — this is the only legitimate way a third-party integration should authenticate against a Shopify store","Scoped, revocable access tokens mean a merchant can revoke your app's access without changing their own password, and your app never handles or stores their actual login credentials","shopify-oauth|app-authentication|scoped-access",2026-07-03
EC028,Rate Limiting,"Respect Shopify's API Rate Limits With Backoff, Not Aggressive Retries","Every integration calling the Shopify API — implement exponential backoff (BE071) when hitting rate-limit responses (leaky-bucket algorithm for REST, cost-based throttling for GraphQL), rather than retrying immediately in a tight loop","A very low-volume integration making infrequent calls well under any rate limit — still worth implementing defensively, but less urgent","Aggressive retry-without-backoff behavior against a rate-limited API makes the throttling worse and can get an app's API access further restricted — proper backoff is both good citizenship and better for your own integration's reliability","shopify-api|rate-limiting|backoff",2026-07-03
EC029,Multi-Channel,"Shopify as the Central Inventory/Order Hub for Multi-Channel Selling (Amazon, retail, etc.)","Merchants selling across multiple channels — route all channel orders and inventory updates through Shopify as the central system rather than reconciling separate systems manually","A single-channel storefront with no other sales channels to reconcile — this consideration doesn't apply yet","Centralizing through Shopify (via its multi-channel integrations or a middleware/iPaaS tool) avoids the overselling and reconciliation headaches of treating each channel as an independent inventory source","multi-channel|inventory-hub|shopify",2026-07-03
