id,category,check,description,why_it_matters,severity,tags,last_verified
UX034,Layout,"Break the centered-single-column default deliberately somewhere on the page","At least one section uses an asymmetric, off-grid, or full-bleed layout rather than every section being a centered max-width column stacked vertically","A page where literally every section is centered-column-stacked is the single most recognizable 'templated' pattern — one deliberate break in the rhythm signals a real layout decision was made","Medium","layout|asymmetry|distinctiveness",2026-07-03
UX035,Layout,"Vary section rhythm — not every section the same height/padding","Sections have intentionally different vertical rhythm (some tight, some spacious) rather than uniform padding applied mechanically throughout","Uniform section padding applied via a single component/token everywhere is efficient but reads as unconsidered — real editorial layouts vary pacing deliberately","Low","layout|rhythm|pacing",2026-07-03
UX036,Layout,"Use a grid where content genuinely has more than one dimension, not force-fit a list into a grid","Grids are used for content with a real 2D relationship (a gallery, a comparison, a dashboard); ordered/sequential content stays in a list or single column","Forcing sequential content into a 3-column grid because grids look 'more designed' obscures the actual reading order and hurts comprehension","Medium","grid|content-structure|comprehension",2026-07-03
UX037,Motion,"Motion has a purpose beyond decoration — conveys state change, spatial relationship, or feedback","Every animation on the page can be described in terms of what it communicates (this appeared from here, this state changed, this action was received) — not 'it looked cool'","Decorative-only motion adds visual noise and performance cost without earning it — this is `ui-ux-pro-max`'s own animation guidance restated, and remains true regardless of how original the rest of the system is","Medium","motion|purposeful-animation|feedback",2026-07-03
UX038,Motion,"At least one micro-interaction feels custom, not the framework/library default","A hover state, a button press, a page transition, or a loading state uses timing/easing that's been deliberately tuned rather than left at a UI library's default spring/duration","Default library transitions (a generic 200ms ease-out on everything) are invisible in isolation but collectively signal 'unmodified template' across a whole product — one deliberately-tuned interaction changes that impression disproportionately","Low","micro-interactions|motion-design|distinctiveness",2026-07-03
UX039,Imagery,"Original or genuinely curated photography/illustration over generic stock or default AI-gen look","Hero images and key brand moments use photography/illustration with a specific, consistent art direction — not visibly generic stock photos or unedited default-style AI generations","Generic stock photography (or unstyled AI-generated imagery with no consistent art direction) is one of the fastest ways a page reads as templated, regardless of how original the layout/type/color choices are","High","imagery|art-direction|stock-photos",2026-07-03
UX040,Imagery,"Apply a consistent visual treatment across all imagery (color grade, crop style, or illustration style)","Every image on a page/product shares a deliberate, consistent treatment (a duotone overlay, a specific aspect ratio/crop convention, a consistent illustration line weight) rather than each image looking independently sourced","Inconsistent imagery treatment (different color temperatures, aspect ratios, and styles side by side) undercuts an otherwise-considered design system more than almost any other single factor","Medium","imagery|consistency|visual-treatment",2026-07-03
UX041,Icons,"Custom or consistently-styled icon set, not mixed icon libraries","All icons across the product come from one consistent set/style (stroke width, corner radius, fill style) — never mixed from multiple icon libraries with visibly different visual weights","Mixed icon styles (a thin-stroke icon next to a filled icon next to a differently-cornered icon) is a subtle but consistent 'unfinished' signal, and is surprisingly common when icons get added ad hoc over time","Medium","icons|consistency|visual-system",2026-07-03
UX042,Spacing,"Spacing follows a defined scale (e.g. 4px/8px base), not arbitrary pixel values","Every margin/padding value in the codebase traces back to a small, defined spacing scale rather than one-off pixel values chosen per-component","Arbitrary spacing values accumulate into a visually inconsistent rhythm across a product even when no single instance looks wrong in isolation — a defined scale is what keeps a large product feeling like one system","High","spacing|design-tokens|consistency",2026-07-03
UX043,Layout,"Generous, not cramped, whitespace around key content/CTAs","Primary calls-to-action and key content have noticeably more surrounding space than secondary content — whitespace itself is used as an emphasis tool","Cramming interface elements together to 'fit more' reduces the perceived value/confidence of a product — generous space around what matters most is a cheap, high-impact premium signal","Medium","whitespace|emphasis|premium-feel",2026-07-03
UX044,Content Strategy,"Headlines/copy are specific to this product, not generic template copy ('Powerful features for your business')","Marketing copy references the product's actual value proposition, actual users, or actual mechanism — not interchangeable placeholder-style copy that could describe any SaaS product","Generic template copy is as strong a 'templated' signal as generic visual design — copy is part of the design system, not a separate concern handled later","High","copywriting|content-strategy|distinctiveness",2026-07-03
UX045,Content Strategy,"Empty states, error states, and edge cases have the same design attention as the happy path","Loading states, empty states (no data yet), and error states are explicitly designed, not left as framework defaults or afterthoughts","These states are disproportionately visible to new users specifically (empty state) and frustrated users specifically (error state) — under-designing exactly the states that matter most for first impressions and trust is a common, costly oversight","High","empty-states|error-states|edge-cases",2026-07-03
UX046,Interaction,"Hover/focus/active states are visually distinct from each other, not just a generic brightness change","Interactive elements have deliberately different treatments for hover vs. focus (keyboard) vs. active (pressed) states, not the same generic opacity/brightness shift applied to all three","Undifferentiated states make an interface feel less responsive and less crafted — this is also directly connected to `QA029`'s focus-indicator accessibility requirement, which needs a genuinely visible (not just slightly-different) focus state","Medium","interaction-states|hover|focus|distinctiveness",2026-07-03
