id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
EM011,Reliability,Queue-backed sending,"Any email triggered by a request path: enqueue (DB table, QStash, SQS) and send from a worker with retries — the user's request never waits on SMTP","Truly fire-and-forget internal notifications where loss is acceptable","Survives provider blips and traffic spikes; adds a queue component and a worker to operate",queue|retries|async,2026-07-03
EM012,Reliability,Idempotent sends,"Retry-safe email: an idempotency key per logical send (order_id+template) checked before dispatch, so retries and double-clicks can't double-send","—","No duplicate receipts/resets after a retry storm; one uniqueness check per send to implement",idempotency|duplicates|retries,2026-07-03
EM013,Reliability,Bounce and complaint webhooks wired to suppression,"Every provider: consume bounce/complaint webhooks, hard-bounces and complaints go on a suppression list the send path always checks","Trusting the provider's internal suppression alone when you send via multiple providers/streams","Protects sender reputation automatically; one webhook endpoint + one table (verify webhook signatures — same rule as Stripe, EC checks)",webhooks|bounces|suppression,2026-07-03
EM014,Compliance,One-click unsubscribe headers on all non-transactional mail,"List-Unsubscribe + List-Unsubscribe-Post (RFC 8058) headers — mandatory for bulk senders to Gmail/Yahoo since 2024","Transactional mail (receipts, resets) — unsubscribe there breaks the product","Required for inbox placement at scale; honor within 48h and sync the opt-out to every system that sends",unsubscribe|rfc8058|gmail|compliance,2026-07-03
EM015,Compliance,Explicit consent + double opt-in for marketing,"KVKK/GDPR-clean lists: consent recorded with timestamp/source, double opt-in for newsletters","Purchased lists or auto-opt-in checkboxes — reputation and legal poison","Smaller but real list, dramatically better engagement metrics; adds one confirmation step to signup",consent|double-opt-in|kvkk|gdpr,2026-07-03
EM016,Content,Template versioning + preview discipline,"Templates in the repo, changed via PR, previewed across major clients (Gmail/Outlook/Apple Mail) before ship","Editing production templates live in a provider dashboard","Email regressions become reviewable diffs; preview tooling (React Email preview, Litmus) is the cost",templates|versioning|preview,2026-07-03
EM017,Content,Plain-text alternative always included,"Every HTML email carries a real text/plain part (not an empty one)","—","Better spam-filter scoring and accessibility for free; most frameworks generate it — verify it's not blank",plain-text|multipart|spam-score,2026-07-03
EM018,Operations,Prewarm before volume,"New domains/IPs ramp sending gradually over 2-6 weeks (provider warmup schedules) before full volume","Blasting full volume from a cold domain — instant spam-folder placement","Reputation built deliberately; launch timelines must include the warmup window",warmup|reputation|ramp,2026-07-03
EM019,Operations,Per-purpose sending domains,"Transactional from mail.product.com, marketing from news.product.com — subdomain isolation (pairs with EM007)","Sending everything from the root domain — mixes reputations and complicates DMARC","Blast-radius isolation per stream; a few more DNS records to manage",domains|subdomains|isolation,2026-07-03
EM020,Operations,Localized sending (i18n),"Products with Turkish + English users: template-level locale selection from the user record, localized subject lines","Machine-translating one template inline at send time","Meets users in their language (subject lines drive open rates); one more dimension in the template matrix",i18n|localization|templates,2026-07-03
