id,category,check,description,why_it_matters,severity,tags,last_verified
UX078,Reference Analysis,"Principles extracted, not pixels copied",No literal copying of a reference site's proprietary copy imagery or exact CSS values into the new build -- only the underlying decisions (palette family type pairing layout pattern) are reused,"Copying literal assets or copy is an IP risk and produces a worse, uncredited clone rather than a design that actually fits the new product",Critical,reference-analysis|ip-risk|cloning,2026-07-03
UX079,Reference Analysis,Palette measured not eyeballed,"Colors are pulled from actual computed styles (preview_inspect, browser devtools, or scripts/ui-ux/scan.py's regex scan) rather than guessed by eye from a screenshot",Eyeballed hex values from a screenshot are reliably wrong by enough to shift a whole palette's mood -- measurement is cheap and removes the guesswork,High,reference-analysis|color|measurement,2026-07-03
UX080,Reference Analysis,Typography identified explicitly,"The reference's font pairing style weight contrast and letter-spacing tendency are named explicitly (e.g. 'high-contrast serif display + neutral grotesk body') rather than described as 'looks modern'","Vague typographic descriptions don't survive translation into an actual type choice -- naming the specific pairing logic is what makes the brief actionable",Medium,reference-analysis|typography,2026-07-03
UX081,Reference Analysis,Layout pattern named explicitly,"The reference's layout is described with a specific named pattern (asymmetric hero, broken grid, full-bleed section, sticky nav) rather than a vague 'clean and modern' description",A named pattern can be directly implemented; a vague aesthetic description can't -- this is the difference between a usable brief and a mood board,Medium,reference-analysis|layout,2026-07-03
UX082,Reference Analysis,Motion cues noted or explicitly marked absent,"If motion/interaction detail is visible via a live browser tool it's captured (e.g. 'restrained, only hover-state color shifts'); if only a static fetch was possible this is explicitly marked as unknown rather than silently omitted",Silently omitting motion analysis reads later as if motion was deliberately ignored rather than genuinely unobservable from the available tooling,Low,reference-analysis|motion,2026-07-03
UX083,Reference Analysis,Multiple references reconciled to one direction,"When 2-3 example sites are given, the brief identifies the shared thread they have in common and builds around that -- it does not stitch each site's most distinctive feature into one mismatched collage",A collage of different sites' signature moves reads as incoherent and undermines the credibility of the reference-driven approach entirely,High,reference-analysis|synthesis|multi-reference,2026-07-03
UX084,Reference Analysis,Deliberate divergence documented,"The brief states explicitly what's being changed from the reference and why, not just what's being borrowed",Undocumented full-fidelity copying is indistinguishable from cloning; a stated divergence is what makes the output original design work informed by references rather than a copy,High,reference-analysis|divergence|originality,2026-07-03
UX085,Reference Analysis,Reference checked at mobile viewport too,"The reference site's mobile rendering is checked (via preview_resize or a mobile user-agent fetch), not just its desktop layout",A brief built from desktop-only observation misses how the reference actually handles the layout collapse that the new build will also need to solve,Medium,reference-analysis|mobile|responsive,2026-07-03
UX086,Reference Analysis,Reference's accessibility not inherited blindly,"The reference site's contrast ratios and text sizing are independently checked against this skill's a11y rules rather than assumed acceptable just because the reference site uses them",A reference site being visually appealing says nothing about whether its contrast or type scale actually passes accessibility checks -- inheriting those flaws silently defeats the a11y module's purpose,High,reference-analysis|accessibility|a11y,2026-07-03
UX087,Reference Analysis,Design brief confirmed with user before code generation,The Reference Design Brief is shared with the user (or client) and gets an explicit confirmation before any frontend code is generated from it,A misread reference caught at the brief stage costs a sentence to fix; the same misread caught after a full page is built costs a rebuild,Medium,reference-analysis|confirmation|process,2026-07-03
